


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	jhkim
	31 9
	31 5
	31 2
	34 0
.PEN_UP
.PEN_DOWN
	71 49
	67 47
	62 43
	59 39
	55 34
	52 32
	49 29
	45 27
	42 24
	39 20
	36 17
	36 14
	36 11
	38 9
.PEN_UP
.PEN_DOWN
	47 29
	48 26
	49 23
	52 19
	56 15
	59 12
	62 9
	64 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 48
	36 44
	36 41
	36 38
	36 34
	36 30
	36 23
	37 20
	37 17
	38 14
	39 10
	41 7
	42 4
	42 1
	43 0
.PEN_UP
.PEN_DOWN
	37 50
	39 53
	42 56
	46 58
	50 59
	55 59
	58 57
	63 54
	66 50
	69 46
	71 43
	71 40
	68 37
	64 35
	61 34
	58 33
	53 32
	48 32
	45 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 42
	25 39
	25 36
	27 32
	29 28
	29 25
	29 22
	32 17
	33 12
	33 8
	33 4
	34 0
	36 4
	37 7
	37 10
	39 13
	40 17
	42 21
	43 25
	45 28
	46 31
	47 25
	48 22
	48 18
	50 14
	52 11
	52 8
	55 6
	56 2
	59 1
	61 6
	64 8
	65 11
	67 15
	68 18
	69 21
	70 25
	72 31
	73 35
	73 39
	76 37
.PEN_UP
.PEN_DOWN
	53 46
	51 42
	49 37
	44 32
	42 29
	40 26
	38 23
	35 21
	34 17
	30 13
	28 9
	28 6
	27 3
	29 3
.PEN_UP
.PEN_DOWN
	31 43
	33 37
	35 32
	39 28
	40 25
	43 22
	47 19
	50 17
	54 14
	56 11
	58 8
	60 5
	60 1
	60 0
.PEN_UP
.PEN_DOWN
	26 56
	27 53
	27 50
	28 47
	28 43
	29 39
	29 35
	31 31
	32 28
	35 29
	39 31
	42 34
	45 37
	50 41
	51 44
	55 48
	57 51
	59 54
	62 54
.PEN_UP
.PEN_DOWN
	38 30
	39 26
	39 21
	39 18
	39 14
	39 10
	39 7
	39 4
	39 1
	39 0
.PEN_UP
.PEN_DOWN
	29 46
	32 46
	35 45
	40 43
	43 42
	47 42
	51 41
	52 38
	50 35
	47 33
	44 31
	40 28
	36 25
	35 22
	32 19
	29 15
	29 12
	30 9
	34 7
	37 6
	40 5
	43 5
	47 4
	50 4
	53 2
	56 2
	59 1
	61 0
.PEN_UP
.PEN_DOWN
	34 29
	35 26
	39 23
	42 21
	46 19
	49 19
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	60 29
	56 32
	53 34
	49 34
	44 34
	40 32
	36 29
	34 25
	33 20
	33 16
	33 13
	35 10
	39 5
	42 2
	46 1
	50 0
	54 0
	57 0
	62 0
	66 0
	71 1
	74 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 47
	34 47
	38 47
	41 47
	44 47
	47 47
	52 48
	55 48
	59 48
	62 47
.PEN_UP
.PEN_DOWN
	33 29
	36 29
	39 29
	44 29
	48 30
	52 30
	56 29
.PEN_UP
.PEN_DOWN
	36 42
	36 39
	34 36
	34 32
	34 29
	33 22
	32 18
	32 14
	33 9
	35 6
	36 3
	40 1
	43 0
	47 0
	51 0
	54 1
	57 1
	59 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	38 46
	38 43
	38 39
	38 35
	39 30
	40 26
	40 20
	40 16
	40 12
	40 8
	40 4
	42 3
.PEN_UP
.PEN_DOWN
	40 25
	43 24
	47 24
	51 25
	54 25
	58 25
	62 27
	66 27
	70 27
.PEN_UP
.PEN_DOWN
	69 45
	69 42
	69 39
	69 35
	69 30
	69 27
	69 22
	69 18
	69 14
	69 9
	70 6
	70 3
	72 0
.PEN_UP
.PEN_DOWN
	36 41
	39 41
	42 41
	46 42
	50 42
	53 42
	57 42
	59 41
.PEN_UP
.PEN_DOWN
	45 39
	45 35
	45 30
	45 25
	45 21
	45 18
	45 14
	45 9
	47 5
	47 0
.PEN_UP
.PEN_DOWN
	33 2
	40 2
	43 2
	47 3
	51 3
	54 3
	57 3
.PEN_UP
.PEN_DOWN
	33 50
	38 50
	44 50
	47 50
	51 50
	57 50
	61 51
	62 51
.PEN_UP
.PEN_DOWN
	45 45
	45 41
	45 37
	45 33
	45 30
	45 27
	45 22
	46 18
	46 15
	46 12
	46 9
	44 4
	41 1
	37 0
	34 0
	31 0
	28 1
	25 3
	23 4
.PEN_UP
.PEN_DOWN
	30 48
	30 45
	31 40
	31 35
	31 31
	31 28
	31 25
	32 19
	32 15
	32 12
	32 9
	32 6
	32 3
	34 1
.PEN_UP
.PEN_DOWN
	58 43
	55 43
	50 37
	47 35
	46 32
	42 28
	41 25
	38 21
	34 18
	33 15
	36 13
	39 13
.PEN_UP
.PEN_DOWN
	48 24
	51 21
	53 17
	54 14
	55 11
	58 8
	61 6
	65 3
	70 0
.PEN_UP
.PEN_DOWN
	37 36
	36 32
	36 29
	36 26
	36 23
	36 20
	36 17
	36 14
	36 11
	36 8
	36 4
	36 1
	40 0
	43 2
	46 3
	49 3
	53 2
	59 2
	62 2
	65 2
	68 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 39
	29 36
	29 33
	29 30
	29 27
	29 23
	29 20
	29 17
	29 14
	29 10
	29 7
	28 4
	28 1
	29 0
.PEN_UP
.PEN_DOWN
	36 33
	38 30
	40 27
	44 23
	47 19
	48 16
	52 13
	56 10
	59 8
	62 6
	63 9
	64 12
	64 16
	64 19
	65 23
	66 28
	66 32
	66 36
	66 40
	66 44
	67 42
.PEN_UP
.PEN_DOWN
	39 42
	35 40
	31 37
	29 34
	28 30
	27 26
	27 23
	27 17
	28 10
	28 6
	31 2
	34 0
	39 0
	42 0
	48 1
	54 6
	59 8
	62 10
	65 14
	67 17
	67 21
	67 24
	66 28
	64 31
	63 34
	61 37
	58 40
	57 43
	54 45
	49 47
	46 47
	43 47
	43 44
.PEN_UP
.PEN_DOWN
	36 48
	36 43
	36 40
	36 35
	35 31
	35 26
	35 21
	35 18
	35 15
	36 9
	37 6
	39 3
	42 1
	45 0
.PEN_UP
.PEN_DOWN
	34 41
	34 44
	38 46
	42 46
	47 46
	52 45
	56 44
	61 41
	64 39
	65 36
	64 33
	61 30
	57 28
	53 27
	50 26
	45 26
	42 26
	39 26
	37 26
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	34 43
	34 38
	34 34
	34 30
	34 27
	34 23
	34 19
	35 13
	35 10
	38 7
	40 4
	41 0
	42 0
.PEN_UP
.PEN_DOWN
	37 44
	40 46
	43 46
	45 43
	48 40
	52 37
	55 34
	59 32
	60 29
	60 26
	59 23
	56 21
	52 19
	46 17
	42 16
	39 16
	35 16
	40 16
.PEN_UP
.PEN_DOWN
	52 16
	53 13
	55 10
	57 7
	61 3
	63 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 52
	35 49
	34 45
	34 41
	34 37
	34 34
	34 25
	34 20
	34 17
	34 13
	37 9
	43 9
	47 11
	51 11
	52 14
	55 15
	56 19
	58 24
	60 28
	62 31
	62 34
	63 37
	64 41
	64 44
	64 49
	64 52
	64 48
	63 44
	63 39
	63 32
	63 29
	63 26
	63 23
	63 18
	63 15
	61 11
	61 8
	62 3
	65 0
	68 0
.PEN_UP
.PEN_DOWN
	26 38
	26 35
	27 31
	29 26
	31 22
	35 17
	37 12
	41 8
	42 4
	44 0
	47 2
	49 6
	51 10
	51 13
	53 18
	54 21
	54 24
	56 27
	56 31
	57 34
	59 37
	61 40
	63 43
	65 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 54
	30 50
	31 46
	33 39
	34 35
	35 32
	37 29
	40 30
	40 33
	42 37
	45 41
	48 44
	51 47
	54 48
	56 51
	59 52
	62 54
	63 53
.PEN_UP
.PEN_DOWN
	39 27
	40 22
	40 18
	40 14
	40 11
	40 8
	40 5
	39 2
	39 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 49
	33 45
	33 42
	33 39
	33 35
	33 31
	33 27
	33 23
	34 20
	35 16
	37 12
	37 9
	38 6
	38 3
	36 2
.PEN_UP
.PEN_DOWN
	30 37
	30 41
	31 45
	34 47
	38 49
	42 51
	47 51
	50 51
	55 50
	56 47
	58 44
	58 41
	58 38
	58 35
	54 32
	51 29
	48 28
	45 27
	41 25
	38 25
	35 24
	31 23
	35 22
	38 21
	45 20
	49 19
	54 18
	57 16
	60 14
	61 11
	61 8
	58 5
	54 3
	50 1
	45 0
	42 0
	39 0
	35 0
	31 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 52
	32 46
	32 43
	32 38
	32 35
	32 32
	32 29
	32 25
	32 22
	32 18
	32 15
	33 11
	33 8
	33 5
	33 2
	33 0
.PEN_UP
.PEN_DOWN
	30 39
	33 41
	36 43
	41 43
	44 43
	47 43
	53 41
	57 39
	60 37
	63 36
	66 32
	66 29
	66 25
	65 22
	61 20
	59 17
	54 14
	51 13
	48 11
	45 10
	41 9
	38 8
	35 6
	31 6
	29 5
.PEN_UP
.PEN_DOWN
	31 41
	36 40
	40 39
	47 39
	52 39
	56 39
	57 39
.PEN_UP
.PEN_DOWN
	27 24
	33 24
	36 24
	40 24
	43 24
	47 24
	51 24
	54 24
	58 24
.PEN_UP
.PEN_DOWN
	33 35
	33 32
	33 27
	31 24
	31 21
	31 17
	31 14
	31 11
	31 8
	31 4
	33 1
	36 1
	40 0
	45 0
	48 0
	51 0
	54 0
	57 0
.PEN_UP
.PEN_DOWN
	28 45
	32 44
	35 44
	38 44
	41 44
	47 44
	51 44
	56 44
	59 46
.PEN_UP
.PEN_DOWN
	29 43
	29 38
	29 34
	29 31
	28 28
	28 23
	28 19
	28 16
	28 13
	28 10
	29 7
	30 4
	30 1
	32 0
.PEN_UP
.PEN_DOWN
	32 22
	35 22
	38 22
	41 22
	44 23
	47 23
	50 23
.PEN_UP
.PEN_DOWN
	46 49
	43 49
	39 49
	35 48
	32 45
	29 41
	27 36
	27 33
	26 30
	26 26
	26 19
	28 15
	28 11
	32 8
	37 7
	42 7
	48 7
	49 7
.PEN_UP
.PEN_DOWN
	33 27
	38 28
	41 26
	44 26
	50 25
	56 25
	59 25
	63 25
	69 25
.PEN_UP
.PEN_DOWN
	47 21
	47 18
	48 14
	48 10
	48 6
	50 3
	50 0
.PEN_UP
.PEN_DOWN
	31 52
	32 47
	33 41
	34 37
	34 34
	35 31
	36 27
	36 24
	36 21
	36 18
	36 14
	36 11
	35 8
	35 5
	35 2
	37 0
.PEN_UP
.PEN_DOWN
	37 29
	40 28
	45 28
	48 29
	51 29
	56 30
	60 31
	65 31
.PEN_UP
.PEN_DOWN
	62 51
	62 47
	62 44
	62 38
	62 35
	63 27
	63 24
	63 21
	63 18
	64 14
	65 11
	65 7
	66 4
	68 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 45
	28 44
	31 44
	34 44
	40 44
	43 44
	46 46
	50 46
	55 47
	58 47
	60 47
.PEN_UP
.PEN_DOWN
	41 43
	43 40
	45 36
	46 32
	47 26
	49 22
	49 19
	49 15
	49 12
	47 9
	43 5
	39 2
	35 1
	31 0
	26 3
	27 3
.PEN_UP
.PEN_DOWN
	38 39
	39 32
	39 27
	40 23
	40 19
	41 15
	41 12
	41 7
	41 4
	41 1
	41 0
.PEN_UP
.PEN_DOWN
	64 33
	61 33
	57 31
	54 29
	51 28
	47 25
	43 23
	41 20
	38 20
	36 17
	39 14
	42 13
	46 13
	50 10
	54 10
	57 8
	62 6
	66 4
	69 3
	69 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 39
	22 34
	22 31
	22 27
	21 24
	21 21
	21 16
	21 12
	21 8
	22 4
	23 1
	24 0
.PEN_UP
.PEN_DOWN
	26 34
	29 36
	32 33
	33 30
	35 26
	36 23
	38 19
	41 15
	44 14
	47 14
	49 17
	52 21
	54 24
	55 28
	58 31
	61 35
	63 38
	66 40
	66 37
	66 34
	65 30
	65 26
	65 23
	65 18
	65 15
	65 11
	65 7
	68 5
	69 5
.PEN_UP
.PEN_DOWN
	30 38
	29 33
	29 30
	29 27
	29 23
	29 20
	28 14
	28 9
	27 6
	27 2
	29 0
.PEN_UP
.PEN_DOWN
	37 30
	38 26
	40 22
	43 19
	47 15
	50 12
	53 9
	56 5
	60 4
	61 7
	61 10
	61 14
	61 19
	60 22
	60 25
	60 28
	59 33
	59 36
	60 40
	63 40
.PEN_UP
.PEN_DOWN
	48 29
	44 27
	42 24
	41 21
	39 17
	39 14
	39 10
	39 6
	41 3
	44 0
	48 0
	51 0
	55 1
	58 2
	61 3
	65 6
	68 8
	70 13
	68 17
	65 19
	61 22
	58 24
	54 27
	49 31
	47 34
	50 33
.PEN_UP
.PEN_DOWN
	37 56
	37 51
	37 48
	37 43
	37 35
	37 32
	37 28
	37 25
	38 21
	38 18
	38 14
	40 9
	40 5
	40 2
	42 0
.PEN_UP
.PEN_DOWN
	35 56
	35 59
	38 61
	41 61
	48 59
	53 57
	56 55
	60 53
	63 50
	64 47
	63 44
	61 40
	56 36
	51 33
	48 31
	43 28
	40 27
	34 25
	34 28
	37 31
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	41 57
	40 52
	40 48
	40 42
	40 39
	40 36
	40 31
	41 28
	42 23
	42 19
	42 16
	42 14
.PEN_UP
.PEN_DOWN
	43 55
	46 57
	49 58
	52 58
	55 56
	60 53
	61 50
	63 47
	64 44
	63 40
	60 37
	58 34
	54 32
	49 30
	46 28
	42 27
	39 26
	36 26
	42 24
	45 22
	49 19
	52 17
	55 16
	58 14
	60 9
	61 6
	61 3
	62 0
.PEN_UP
.PEN_DOWN
	62 43
	57 43
	54 43
	51 42
	48 42
	45 42
	42 42
	38 40
	34 38
	34 34
	34 31
	35 28
	37 25
	41 23
	44 21
	47 18
	50 16
	53 14
	56 11
	57 7
	58 4
	56 1
	53 1
	46 0
	42 0
	39 0
	35 1
	31 2
	31 6
.PEN_UP
.PEN_DOWN
	30 43
	35 42
	40 42
	44 42
	47 42
	53 42
	57 42
	62 43
	66 43
	70 43
.PEN_UP
.PEN_DOWN
	46 40
	46 37
	46 33
	46 29
	46 26
	46 23
	46 18
	46 15
	46 11
	46 7
	46 3
	48 0
.PEN_UP
.PEN_DOWN
	31 40
	30 35
	30 31
	29 28
	29 23
	29 18
	29 13
	29 9
	29 6
	32 4
	37 3
	40 4
	44 5
	47 8
	49 12
	53 16
	54 19
	55 25
	58 28
	59 31
	61 37
	61 40
	62 43
	62 46
	61 43
	60 39
	60 35
	60 31
	60 27
	60 22
	61 17
	61 10
	61 7
	61 4
	61 0
	62 0
.PEN_UP
.PEN_DOWN
	28 44
	30 47
	32 44
	33 36
	34 31
	34 28
	35 25
	35 22
	36 19
	37 16
	39 11
	41 8
	45 3
	47 0
	48 3
	51 7
	52 11
	54 16
	56 19
	57 22
	59 25
	59 28
	61 32
	62 36
	64 39
	67 38
.PEN_UP
.PEN_DOWN
	24 51
	24 47
	24 44
	24 40
	24 37
	24 34
	24 27
	24 23
	24 18
	24 15
	25 12
	25 9
	25 6
	26 3
	28 0
	31 3
	31 6
	32 10
	34 15
	36 20
	38 23
	39 26
	42 30
	43 34
	44 30
	45 26
	46 23
	46 17
	47 14
	49 10
	50 7
	50 4
	53 2
	56 5
	58 10
	59 14
	61 19
	62 22
	63 25
	65 31
	67 35
	70 36
	71 33
.PEN_UP
.PEN_DOWN
	59 50
	57 47
	56 44
	53 40
	51 34
	50 30
	48 26
	47 23
	45 20
	44 17
	41 12
	41 9
	38 6
	38 3
	38 1
.PEN_UP
.PEN_DOWN
	37 45
	40 40
	43 38
	45 34
	48 32
	51 29
	56 23
	60 19
	62 16
	64 13
	67 11
	69 8
	70 5
	70 0
.PEN_UP
.PEN_DOWN
	34 49
	35 46
	37 42
	38 39
