


.DATE		08 ? 92
.STYLE		CURSIVE
.WRITER_ID	hykim
	55 26
	59 26
	62 26
.PEN_UP
.PEN_DOWN
	25 21
	23 18
	22 15
	22 12
	22 9
	22 6
	22 3
	23 0
	26 0
	29 1
	31 4
	34 6
	36 9
	39 13
	42 18
	43 22
	44 25
	44 22
	43 18
	43 14
	43 11
	43 8
	43 5
	46 2
.PEN_UP
.PEN_DOWN
	20 22
	21 25
	22 28
	24 31
	25 28
	26 25
	26 22
	27 19
	28 15
	29 12
	31 9
	32 6
	35 3
	38 0
	41 0
	43 3
	44 6
	44 9
	45 12
	45 15
	46 18
	47 21
	47 25
	47 28
	47 31
	46 34
	43 32
	43 29
	46 29
	49 30
	52 31
	57 31
.PEN_UP
.PEN_DOWN
	23 30
	24 27
	25 24
	26 21
	27 15
	27 11
	28 7
	29 4
	30 1
	33 0
	34 3
	37 9
	38 12
	38 15
	39 19
	41 15
	43 11
	43 8
	46 5
	49 3
	53 4
	56 6
	59 9
	61 12
	61 16
	62 19
	62 24
	62 27
	61 30
.PEN_UP
.PEN_DOWN
	20 39
	23 39
	27 38
	30 35
	31 32
	33 28
	33 23
	35 19
	36 15
	39 12
	43 10
	48 10
	52 11
	56 12
	59 13
	64 14
.PEN_UP
.PEN_DOWN
	47 39
	44 35
	41 30
	38 25
	34 23
	30 19
	27 16
	23 12
	20 8
	19 4
	19 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	58 21
	55 24
	52 24
	49 23
	46 22
	44 19
	40 17
	38 13
	38 10
	38 6
	41 3
	44 1
	47 0
	53 0
.PEN_UP
.PEN_DOWN
	46 14
	47 17
	47 21
	44 23
	41 24
	37 24
	34 24
	31 23
	28 21
	25 19
	24 16
	22 13
	20 9
	20 6
	20 2
	24 0
	28 1
	32 2
	35 4
	39 6
	41 10
	43 13
	45 18
	46 23
	46 28
	47 31
	47 34
	49 39
	49 42
	51 47
	51 52
	51 56
	48 54
	48 51
	46 48
	45 43
	44 39
	43 35
	41 32
	41 29
	40 20
	39 17
	39 12
	39 9
	40 6
	44 2
	48 1
.PEN_UP
.PEN_DOWN
	35 9
	38 10
	42 12
	45 13
	48 15
	51 17
	54 21
	54 25
	53 28
	49 31
	46 31
	42 29
	39 27
	36 25
	34 21
	32 17
	30 13
	30 10
	30 5
	32 2
	37 0
	42 0
	45 0
	52 1
.PEN_UP
.PEN_DOWN
	19 43
	22 45
	26 46
	29 48
	32 49
	35 51
	39 53
	42 56
	45 59
	46 63
	48 66
	49 70
	50 75
	51 79
	52 85
	52 89
	52 94
	52 97
	51 100
	47 100
	44 100
	41 96
	37 90
	35 87
	33 83
	31 79
	31 75
	29 70
	28 65
	28 62
	27 59
	27 55
	25 51
	25 47
	25 44
	23 41
	23 37
	23 33
	21 29
	21 26
	20 19
	19 16
	18 13
	17 9
	17 6
	17 3
	17 0
	20 2
	23 5
	26 7
	27 10
	27 13
	26 17
	26 21
	25 25
	22 29
	21 33
	17 35
	23 35
	27 35
	32 35
	36 36
	40 36
	43 36
.PEN_UP
.PEN_DOWN
	51 57
	51 60
	52 64
	53 67
	52 70
	48 69
	43 66
	40 65
	40 62
	41 58
	45 58
	49 58
	52 60
	55 62
	56 59
	56 56
	56 53
	57 49
	57 43
	58 40
	58 37
	58 34
	59 31
	59 28
	61 23
	61 20
	62 15
	63 9
	63 6
	62 3
	58 1
	55 0
	52 0
	48 0
	44 1
	41 1
	36 4
	32 8
	31 13
	31 19
	31 22
	31 27
	32 30
	34 36
	36 39
	40 43
	42 46
	46 48
	51 51
	55 54
	60 54
	66 55
.PEN_UP
.PEN_DOWN
	25 18
	28 20
	32 22
	35 25
	39 28
	42 33
	46 37
	47 40
	50 44
	50 48
	51 51
	53 55
	54 58
	56 63
	56 68
	56 72
	56 75
	56 78
	55 81
	52 83
	48 79
	48 76
	47 71
	45 67
	45 64
	44 59
	44 56
	44 52
	44 48
	42 45
	42 39
	42 35
	40 31
	39 27
	39 24
	38 20
	36 17
	35 14
	33 11
	32 6
	29 3
	28 0
	28 4
	28 8
	28 12
	29 15
	29 18
	31 22
	33 25
	36 27
	38 30
	41 32
	45 33
	48 33
	50 30
	50 25
	49 22
	47 18
	46 14
	45 10
	43 7
	46 5
	49 6
	52 6
	55 9
	59 10
	60 11
.PEN_UP
.PEN_DOWN
	29 3
	32 5
	34 9
	38 14
	38 17
	41 21
	41 25
	42 28
	40 25
	38 18
	38 15
	38 12
	38 9
	38 5
	39 2
	43 0
	47 1
	48 4
	50 4
.PEN_UP
.PEN_DOWN
	40 48
	43 48
	46 47
	49 47
	52 47
	55 48
.PEN_UP
.PEN_DOWN
	21 33
	24 35
	27 36
	30 37
	34 40
	37 44
	38 47
	39 51
	38 54
	35 54
	33 51
	31 47
	31 43
	31 39
	31 36
	31 31
	31 27
	31 21
	31 17
	31 14
	30 10
	30 6
	28 3
	27 0
	24 0
	21 0
	17 0
	14 2
	13 4
.PEN_UP
.PEN_DOWN
	26 67
	28 64
	31 62
	34 61
	37 61
	40 60
.PEN_UP
.PEN_DOWN
	26 9
	31 10
	33 13
	37 15
	41 17
	45 20
	49 24
	53 27
	56 30
	60 34
	62 37
	64 42
	66 46
	68 49
	68 53
	68 56
	68 60
	67 63
	65 66
	62 66
	59 66
	56 66
	55 63
	52 60
	52 57
	52 53
	51 49
	50 45
	50 42
	50 39
	50 36
	50 33
	50 27
	50 21
	49 17
	49 13
	48 9
	47 6
	46 3
	44 0
	41 0
	38 2
	35 3
	35 6
	37 9
	41 12
	44 15
	47 17
	50 20
	55 22
	58 22
	61 21
	62 18
	61 15
	58 13
	55 13
	52 12
	47 11
	50 11
	52 8
	55 7
	57 4
	60 3
	64 3
	68 3
.PEN_UP
.PEN_DOWN
	41 0
	42 3
	46 4
	47 7
	51 10
	53 13
	54 16
	57 17
	58 23
	61 26
	62 29
	64 35
	66 38
	66 41
	66 45
	66 50
	66 53
	66 56
	63 58
	60 59
	57 58
	55 54
	54 51
	53 46
	51 41
	51 35
	51 31
	51 28
	51 24
	51 21
	51 18
	51 14
	51 10
	52 6
	58 2
	63 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	38 26
	35 27
	31 27
	27 24
	25 21
	23 18
	22 14
	22 11
	22 7
	22 4
	23 0
	27 0
	30 0
	35 1
	39 4
	43 8
	46 12
	46 15
	46 19
	46 22
	46 25
	45 28
	44 31
	41 34
	38 34
	35 30
	34 27
	34 23
	36 20
	39 19
	42 18
	45 18
	49 18
	54 18
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 0
	29 3
	32 5
	35 7
	38 10
	43 13
	45 16
	46 19
	48 22
	48 26
	48 29
	48 32
	50 29
	54 26
	55 23
	58 20
	58 17
	58 13
	56 10
	53 7
	50 5
	47 5
	43 7
	39 9
	40 6
	46 5
	49 5
	53 5
	56 4
	63 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 23
	36 20
	36 17
	36 14
	36 11
	35 7
	35 4
	36 1
	39 0
	43 2
	47 5
	47 8
	49 11
	51 15
	51 18
	51 21
	52 25
	51 22
	51 19
	52 15
	53 10
	54 7
	57 5
	61 6
	66 6
.PEN_UP
.PEN_DOWN
	19 30
	19 26
	20 20
	22 16
	22 13
	23 10
	24 7
	26 3
	29 0
	32 0
	36 3
	38 6
	39 10
	40 14
	41 18
	41 21
	41 25
	42 28
	41 31
	38 33
	41 32
	44 32
	47 32
	51 32
.PEN_UP
.PEN_DOWN
	19 25
	19 22
	19 19
	20 15
	22 12
	24 9
	25 6
	28 6
	32 6
	34 9
	37 12
	37 15
	38 18
	38 21
	39 17
	39 13
	41 10
	41 7
	41 4
	44 2
	47 0
	51 0
	54 2
	58 4
	61 7
	63 11
	64 16
	64 19
	64 22
	63 26
	60 30
	59 33
	58 33
.PEN_UP
.PEN_DOWN
	19 32
	22 34
	26 35
	30 35
	33 35
	34 32
	35 28
	35 25
	35 21
	36 17
	37 13
	38 9
	42 6
	44 3
	48 2
	52 1
	55 2
	60 4
	63 5
.PEN_UP
.PEN_DOWN
	50 31
	48 28
	45 24
	42 20
	38 17
	35 13
	31 10
	28 6
	27 3
	27 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 12
	26 9
	31 13
	35 16
	39 19
	43 22
	45 26
	49 29
	49 32
	52 34
	55 37
	56 41
	59 45
	61 49
	63 52
	65 56
	66 59
	66 62
	63 64
	60 64
	58 60
	56 57
	55 53
	54 50
	54 46
	54 43
	52 39
	52 36
	52 33
	50 29
	49 26
	49 23
	48 20
	47 15
	47 11
	46 8
	45 4
	44 1
	41 0
	38 2
	38 5
	40 8
	41 11
	43 14
	45 17
	47 21
	49 24
	52 26
	55 23
	55 20
	55 16
	55 13
	55 8
	54 5
	53 2
	57 1
	61 2
.PEN_UP
.PEN_DOWN
	39 4
	42 6
	43 9
	45 13
	46 16
	47 19
	48 22
	46 18
	46 15
	47 11
	48 7
	49 1
	52 0
	55 0
	56 3
	58 7
	60 8
.PEN_UP
.PEN_DOWN
	45 35
	50 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	16 15
	19 16
	23 18
	27 21
	32 24
	35 26
	38 29
	41 32
	44 34
	48 39
	51 42
	53 46
	54 49
	56 52
	58 55
	58 58
	59 62
	59 66
	59 69
	58 74
	55 76
	52 79
	49 79
	46 78
	43 77
	41 73
	40 69
	38 65
	37 61
	37 57
	36 54
	36 49
	36 46
	36 42
	35 37
	35 34
	35 27
	35 24
	33 20
	33 17
	32 14
	31 10
	30 5
	29 0
	29 3
	29 6
	29 10
	29 14
	29 17
	29 20
	29 23
	32 26
	35 27
	39 31
	43 32
	46 33
	50 34
	53 34
	54 31
	54 28
	51 25
	48 24
	45 22
	42 21
	38 19
	35 19
	32 19
	29 19
	28 16
	31 14
	34 12
	39 10
	43 9
	47 9
	52 9
.PEN_UP
.PEN_DOWN
	43 2
	46 3
	49 6
	51 9
	54 10
	56 14
	57 18
	60 23
	61 27
	62 30
	64 36
	64 39
	65 42
	65 45
	65 49
	65 53
	62 57
	59 59
	56 58
	54 55
	52 52
	49 49
	49 46
	46 41
	45 38
	43 34
	43 30
	42 26
	41 22
	41 15
	41 10
	42 7
	45 3
	49 1
	52 0
	58 0
.PEN_UP
.PEN_DOWN
	21 11
	21 14
	24 18
	29 23
	32 25
	35 27
	38 29
	41 31
	44 31
	47 31
	48 28
	47 23
	45 19
	43 15
	41 12
	39 9
	37 6
	36 3
	38 6
	41 9
	43 13
	46 16
	47 19
	49 22
	53 22
	54 19
	54 16
	54 13
	54 9
	51 7
	51 3
	49 0
	49 3
	50 7
	51 10
	53 13
	54 17
	57 21
	61 24
	64 25
	67 25
	68 21
	68 18
	68 14
	67 11
	66 8
	66 3
	69 2
	72 2
	78 2
.PEN_UP
.PEN_DOWN
	19 11
	20 14
	23 17
	25 21
	28 23
	33 29
	37 32
	40 33
	43 33
	44 30
	44 27
	42 23
	41 18
	39 14
	37 10
	34 8
	33 5
	35 10
	38 13
	39 18
	41 22
	44 25
	48 26
	50 23
	50 18
	49 14
	47 11
	47 7
	46 3
	46 0
	49 0
	52 1
	58 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	42 57
	39 59
	36 59
	33 55
	30 54
	28 51
	25 47
	25 43
	22 39
	22 34
	23 31
	27 29
	30 29
	33 30
	36 32
	40 35
	43 38
	43 41
	43 44
	46 46
	46 49
	47 52
	44 51
	43 48
	42 45
	42 42
	41 39
	41 35
	40 31
	39 23
	38 18
	37 12
	36 8
	36 3
	38 0
	41 2
	44 6
	48 10
	50 13
	51 17
	51 21
	51 24
	49 28
	46 31
	44 35
	41 35
	45 34
	49 34
	53 35
	55 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 8
	24 8
	28 11
	31 13
	34 16
	36 19
	39 22
	39 27
	39 30
	39 33
	39 30
	41 27
	44 23
	46 20
	47 17
	48 11
	48 8
	46 5
	43 2
	40 2
	37 2
	33 4
	29 4
	25 6
	23 9
	26 9
	29 7
	32 5
	35 3
	38 2
	41 0
	45 0
	47 0
.PEN_UP
.PEN_DOWN
	33 5
	36 5
	37 8
	39 11
	41 14
	41 17
	43 21
	44 24
	45 29
	48 35
	49 39
	50 42
	51 45
	51 48
	51 45
	49 42
	48 38
	48 35
	48 32
	47 28
	46 23
	46 20
	46 15
	47 11
	48 5
	49 1
	52 0
	56 1
	58 4
	60 4
.PEN_UP
.PEN_DOWN
	31 30
	36 31
	41 32
	44 33
	47 33
	52 34
	55 35
	59 35
	63 34
	65 34
.PEN_UP
.PEN_DOWN
	27 31
	30 32
	33 32
	33 29
	33 25
	33 22
	33 19
	32 16
	32 13
	32 10
	33 7
	34 2
	37 0
	40 0
	44 3
	46 6
	47 9
	49 13
	50 17
	50 20
	51 23
	52 27
	52 24
	52 21
	53 17
	54 13
	54 9
	57 8
	60 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 27
	20 23
	21 20
	21 17
	21 14
	21 11
	21 8
	22 5
	24 2
	27 2
	30 6
	32 10
	32 13
	33 16
	34 19
	34 22
	34 19
	34 16
	34 13
	36 10
	36 7
	39 4
	40 1
	44 0
	47 0
	50 0
	53 3
	53 6
	53 9
	54 13
	55 17
	56 25
	56 27
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 15
	32 18
	35 20
	38 23
	41 28
	44 32
	47 37
	47 42
	50 44
	52 48
	53 51
	54 54
	55 57
	56 60
	57 63
	57 66
	57 69
	57 72
	54 70
	51 66
	50 63
	48 60
	47 56
	44 51
	43 48
	42 45
	40 39
	38 35
	36 32
	36 29
	35 25
	33 22
	33 19
	32 15
	32 12
	33 7
	34 3
	37 0
	40 0
	43 2
	47 4
	49 7
	50 10
	52 13
	53 16
	53 19
	50 22
	46 23
	43 24
	39 24
	36 23
	39 22
	42 22
	45 22
	50 23
	53 23
	56 24
	60 25
	64 25
.PEN_UP
.PEN_DOWN
	53 19
	53 22
	52 25
	49 27
	46 27
	43 26
	39 23
	35 20
	32 17
	28 11
	26 7
	26 4
	27 1
	31 0
	37 0
	44 0
.PEN_UP
.PEN_DOWN
	45 20
	46 23
	46 26
	43 27
	38 29
	35 29
	31 28
	28 26
	25 23
	22 19
	21 16
	21 13
	22 9
	25 7
	28 7
	31 7
	35 8
	38 9
	40 12
	43 14
	45 18
	45 21
	46 24
	47 27
	47 30
	49 36
	49 39
	50 42
	50 45
	51 51
	52 55
	52 58
	52 61
	52 64
	49 60
	48 57
	47 54
	46 48
	45 45
	43 42
	43 39
	42 35
	41 31
	40 28
	40 24
	40 21
	40 18
	41 11
	44 7
	48 4
	51 0
	54 0
	57 0
	59 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	20 26
	22 29
	26 32
	30 35
	32 38
	37 39
	40 41
	44 44
	49 48
	51 52
	52 55
	55 59
	56 64
	57 67
	58 71
	58 74
	58 77
	58 80
	58 83
	56 86
	56 89
	52 87
	52 84
	51 79
	49 76
	47 72
	46 67
	44 64
	44 59
	43 56
	40 50
	40 43
	38 40
	37 34
	36 31
	35 27
	34 24
	33 21
	32 18
	31 15
	31 12
	30 8
	30 5
	30 2
	33 0
	36 1
	39 5
	43 8
	44 12
	44 15
	44 18
	44 22
	44 25
	42 28
	41 31
	38 33
	35 33
	38 32
	41 33
	46 34
	50 35
	55 37
.PEN_UP
.PEN_DOWN
	56 54
	57 57
	57 60
	57 63
	57 66
	56 69
	52 70
	49 68
	47 64
	44 61
	43 58
	46 57
	49 58
	52 59
	55 61
	56 64
	56 60
	56 57
	56 54
	58 50
	58 46
	60 41
	61 38
	63 33
	63 30
	65 26
	65 22
	65 18
	65 15
	65 11
	63 7
	62 4
	60 1
	57 0
	53 1
	50 3
	47 7
	46 10
	43 13
	42 16
	40 19
	39 22
	39 28
	42 31
	44 34
	45 37
	48 39
	51 41
	55 45
	62 48
	65 49
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 24
	22 24
	25 25
	28 28
	31 29
	35 32
	39 35
	43 39
	46 43
	50 48
	53 53
	53 56
	57 62
	59 68
	62 70
	62 73
	63 76
	65 80
	65 83
	65 86
	58 95
	56 88
	50 79
	49 74
	47 69
	46 66
	45 61
	44 57
	43 51
	41 47
	41 44
	41 40
	40 36
	40 33
	40 29
