


.DATE		07 ? 93
.STYLE		PRINTED
.WRITER_ID	yklyu
	45 7
	46 4
	49 4
	52 5
	55 7
	57 10
	59 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	41 38
	38 36
	35 35
	33 32
	30 30
	29 27
	27 24
	27 21
	26 18
	26 15
	26 12
	25 9
	25 6
	26 3
	27 0
	30 0
	33 0
	36 1
	39 1
	42 2
	45 4
	48 7
	51 10
	52 13
	53 16
	54 19
	54 22
	55 25
	56 28
	56 31
	56 34
	55 37
	54 40
	53 43
	50 43
	47 43
	46 39
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 22
	28 25
	31 26
	34 30
	37 33
	39 36
	42 38
	44 41
	47 42
	50 42
	53 40
	54 37
	55 34
	55 31
	56 27
	56 23
	56 20
	55 17
	54 14
	54 11
	52 8
	50 5
	47 3
	44 0
	41 0
	40 3
	40 6
	40 9
	40 12
	42 15
	43 12
	46 9
	48 6
	51 4
	54 3
	55 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 38
	27 34
	26 30
	26 27
	26 23
	25 18
	25 14
	25 11
	25 8
	25 5
	26 2
	29 0
	32 0
	35 2
	38 6
	41 8
	44 11
	46 14
	49 17
	50 20
	52 24
	53 28
	54 31
	54 34
	55 37
	55 40
	54 36
	53 33
	53 30
	53 26
	53 23
	54 20
	55 15
	55 12
	57 9
	60 8
	63 10
	66 12
	69 12
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 31
	19 34
	23 35
	27 36
	30 36
	33 36
	35 33
	35 30
	35 27
	33 23
	32 20
	31 17
	29 13
	26 10
	24 7
	22 4
	21 1
	18 0
	16 2
.PEN_UP
.PEN_DOWN
	53 38
	50 38
	47 38
	44 37
	42 34
	39 33
	38 30
	38 27
	37 24
	36 21
	35 18
	35 15
	36 12
	37 9
	38 6
	41 3
	44 2
	47 2
	50 2
.PEN_UP
.PEN_DOWN
	24 58
	24 55
	23 52
	23 49
	22 46
	22 43
	22 40
	23 37
	26 35
	30 35
	33 37
	36 39
	39 41
	41 44
	42 47
	44 50
	44 53
	46 56
	47 59
	46 56
	45 53
	45 50
	43 46
	43 42
	42 39
	40 36
	40 33
	39 29
	39 26
	38 23
	37 19
	36 16
	35 13
	34 10
	31 6
	30 3
	28 0
	26 3
	22 7
	19 9
	18 12
	18 15
	19 18
	21 21
	23 24
	25 27
	28 30
	31 32
	34 34
	37 31
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	40 39
	37 39
	34 39
	31 37
	28 35
	25 34
	22 31
	20 28
	18 25
	18 22
	17 19
	17 16
	18 13
	20 10
	23 9
	26 6
	29 8
	32 9
	35 12
	38 14
	39 17
	41 20
	43 23
	44 27
	45 31
	46 34
	46 38
	46 41
	45 38
	44 34
	44 31
	43 28
	43 24
	43 21
	44 18
	44 14
	45 11
	45 8
	45 5
	45 2
	48 0
	51 1
	54 1
.PEN_UP
.PEN_DOWN
	30 29
	31 32
	35 33
	40 37
	42 40
	44 43
	46 46
	49 50
	51 53
	54 57
	55 60
	55 63
	54 60
	53 56
	51 52
	50 48
	48 43
	48 39
	46 36
	45 32
	43 26
	43 21
	41 18
	41 15
	41 12
	41 8
	41 5
	42 2
	45 0
	48 2
	51 6
	54 7
	56 11
	58 14
	61 16
	63 19
	63 22
	64 25
	61 26
	58 26
	58 23
	58 20
	61 19
	64 19
	68 21
	71 21
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 17
	42 17
	45 17
	49 19
	52 21
	55 23
	57 26
	59 29
	59 32
	58 35
	55 37
	52 38
	49 36
	46 34
	43 33
	40 30
	38 27
	35 24
	34 21
	32 18
	32 15
	33 12
	33 9
	35 6
	37 3
	40 1
	43 0
	46 0
	49 1
	52 2
	53 2
.PEN_UP
.PEN_DOWN
	62 48
	63 51
	63 54
	62 57
	59 59
	56 60
	53 60
	50 59
	47 56
	45 53
	44 49
	42 46
	42 43
	41 40
	41 37
	41 33
	41 29
	41 26
	41 23
	41 20
	41 17
	40 13
	39 10
	38 6
	36 3
	34 0
	31 0
	28 0
	27 0
.PEN_UP
.PEN_DOWN
	33 33
	36 34
	39 34
	42 34
	47 34
	50 34
	53 33
	56 33
	59 33
	58 31
.PEN_UP
.PEN_DOWN
	53 55
	50 58
	47 59
	44 59
	40 58
	38 55
	37 52
	36 49
	35 46
	35 43
	37 40
	40 40
	43 41
	46 43
	49 45
	50 48
	53 51
	53 54
	54 57
	54 54
	52 50
	52 47
	51 44
	51 40
	51 37
	50 34
	49 31
	48 27
	48 24
	47 21
	47 18
	46 15
	46 12
	45 9
	44 6
	43 3
	42 0
	39 1
	37 4
	36 7
	33 10
	32 13
	31 16
	31 19
	34 21
	38 25
	41 27
	44 29
	47 31
	50 33
	53 35
	54 33
.PEN_UP
.PEN_DOWN
	12 25
	15 26
	18 27
	23 29
	27 31
	30 32
	34 34
	37 36
	39 39
	42 42
	43 45
	45 48
	47 51
	48 54
	49 59
	50 62
	51 65
	52 68
	51 71
	48 71
	45 70
	43 67
	40 64
	39 61
	38 58
	37 54
	36 51
	35 48
	34 44
	33 41
	33 38
	31 35
	31 32
	29 29
	28 25
	26 21
	25 18
	25 15
	24 12
	23 9
	22 6
	21 3
	21 0
	24 1
	26 4
	29 5
	30 9
	34 13
	35 16
	36 19
	38 22
	39 25
	40 28
	43 29
	46 27
	46 24
	46 21
	44 18
	44 15
	44 12
	44 9
	47 8
	51 8
	54 8
	58 10
.PEN_UP
.PEN_DOWN
	28 33
	31 34
	34 35
	37 36
	37 33
	36 30
	34 27
	34 24
	33 20
	32 17
	31 14
	30 11
	29 8
	29 5
	29 2
	32 0
	36 1
	38 4
	41 6
	44 8
	45 9
.PEN_UP
.PEN_DOWN
	37 57
	38 54
	39 51
	40 48
	42 45
	42 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	34 6
	38 8
	41 11
	44 14
	47 17
	50 20
	54 23
	55 26
	58 29
	61 33
	62 37
	64 41
	66 47
	67 50
	67 53
	69 57
	69 61
	70 64
	70 67
	70 70
	70 73
	67 75
	64 74
	61 73
	58 70
	55 67
	55 64
	52 60
	51 55
	50 51
	50 47
	49 43
	49 39
	49 36
	49 33
	48 30
	48 26
	48 22
	48 19
	49 16
	49 11
	50 8
	51 5
	51 2
	54 0
	58 3
	61 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 31
	24 34
	27 35
	31 36
	35 36
	35 33
	35 29
	35 26
	35 23
	35 20
	34 17
	32 13
	31 9
	30 6
	30 3
	28 0
	30 3
	30 6
	32 10
	34 13
	34 17
	37 20
	38 23
	41 25
	43 29
	46 31
	49 33
	50 30
	49 27
	48 24
	48 20
	47 17
	46 14
	46 11
	45 8
	45 4
	45 1
	48 2
	51 4
	56 3
	58 3
.PEN_UP
.PEN_DOWN
	50 39
	47 42
	44 41
	41 40
	38 38
	36 35
	32 32
	31 28
	28 25
	26 22
	26 19
	25 16
	23 13
	23 10
	23 6
	23 3
	26 1
	29 0
	32 0
	35 1
	38 1
	41 3
	44 4
	47 6
	50 10
	52 14
	54 17
	54 21
	56 25
	56 28
	53 30
	51 33
	48 33
	49 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	13 29
	16 29
	19 29
	22 31
	25 32
	28 34
	31 36
	33 39
	35 42
	32 40
	31 37
	29 33
	28 30
	26 27
	26 24
	25 20
	24 17
	24 14
	22 10
	22 7
	21 4
	20 0
	21 3
	22 6
	24 10
	28 14
	30 18
	31 21
	34 23
	37 27
	40 31
	43 33
	47 35
	51 37
	54 38
	57 38
	60 38
	61 35
	60 32
	60 29
	58 25
	57 22
	58 21
.PEN_UP
.PEN_DOWN
	16 21
	19 21
	23 21
	26 23
	30 25
	32 28
	36 30
	39 33
	42 36
	46 38
	49 38
	52 38
	54 35
	56 32
	57 29
	57 26
	57 22
	56 19
	53 16
	51 12
	50 9
	47 6
	47 3
	43 0
	40 0
	36 1
	33 3
	32 6
	31 9
	34 11
	38 11
	41 9
	43 6
	45 3
.PEN_UP
.PEN_DOWN
	30 0
	33 2
	36 5
	39 10
	42 14
	45 18
	45 21
	48 24
	49 28
	51 31
	51 34
	53 38
	54 41
	55 44
	56 47
	57 50
	58 53
	58 56
	58 59
	60 62
	58 59
	56 55
	55 51
	54 48
	53 44
	51 40
	51 36
	50 33
	50 27
	49 23
	49 19
	49 15
	49 11
	49 8
	51 5
	54 3
	58 6
	61 9
	66 10
.PEN_UP
.PEN_DOWN
	42 34
	45 35
	49 36
	52 38
	56 38
	59 39
	62 41
	65 42
	67 41
.PEN_UP
.PEN_DOWN
	34 37
	34 33
	34 30
	33 27
	33 23
	33 19
	33 14
	33 11
	33 8
	33 5
	33 2
	36 0
	39 1
	42 4
	44 7
	45 11
	48 13
	49 16
	49 19
	51 22
	52 25
	53 28
	54 31
	55 34
	57 37
	57 40
	59 43
	57 40
	56 37
	55 32
	54 29
	54 26
	53 23
	53 19
	53 15
	53 12
	54 9
	55 6
	56 3
	59 3
	62 3
	65 3
	66 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 32
	21 29
	21 26
	20 21
	19 18
	19 15
	19 12
	19 9
	19 6
	21 3
	24 0
	27 0
	30 1
	33 5
	36 9
	37 12
	38 15
	39 18
	41 22
	42 25
	42 28
	42 31
	42 28
	42 25
	41 22
	41 19
	41 15
	41 12
	41 9
	43 6
	46 6
	49 7
	52 9
	55 11
	58 13
	59 17
	61 20
	63 24
	63 28
	64 32
	64 35
	66 36
.PEN_UP
.PEN_DOWN
	26 38
	29 38
	32 38
	35 37
	38 37
	41 36
	43 33
	44 30
	44 27
	42 24
	41 21
	39 18
	38 15
	35 13
	32 9
	28 6
	24 5
	20 2
	17 0
	20 2
.PEN_UP
.PEN_DOWN
	64 39
	61 40
	58 39
	55 38
	52 37
	49 35
	46 32
	43 29
	42 26
	40 23
	39 20
	38 17
	38 14
	38 11
	40 8
	43 6
	46 5
	49 5
	52 5
	55 6
	58 7
	60 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 28
	28 27
	31 27
	34 27
	37 27
	40 27
	43 29
	46 31
	49 31
	51 34
	51 37
	48 34
	45 31
	42 28
	39 24
	36 21
	32 16
	28 13
	25 10
	22 7
	19 6
	20 9
	23 11
	26 11
	29 11
	32 9
	33 6
	36 3
	39 1
	42 0
	45 0
	47 1
.PEN_UP
.PEN_DOWN
	20 18
	24 18
	27 18
	30 18
	33 17
	36 17
	39 16
	43 15
	47 15
	50 14
	50 15
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 33
	51 36
	48 37
	45 39
	42 40
	39 38
	36 38
	33 36
	29 33
	26 31
	24 28
	22 25
	21 21
	20 18
	19 15
	18 12
	18 9
	19 6
	21 3
	24 2
	28 1
	31 1
	34 0
	37 1
	40 1
	43 3
	46 5
	48 6
.PEN_UP
.PEN_DOWN
	32 19
	34 16
	37 16
	42 18
	45 19
	50 21
	53 24
	57 27
	59 30
	61 33
	60 36
	58 39
	54 38
	50 37
	47 36
	42 33
	39 30
	36 28
	36 25
	33 22
	32 19
	32 16
	31 13
	31 10
	31 7
	34 5
	36 2
	39 1
	42 0
	46 3
	49 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	9 33
	12 33
	17 34
	20 36
	24 37
	29 39
	32 42
	35 46
	38 48
	40 51
	42 54
	44 57
	45 60
	47 63
	47 67
	48 70
	48 73
	45 74
	42 73
	39 72
	35 69
	34 66
	32 62
	32 59
	30 55
	29 52
	29 49
	27 45
	27 42
	25 38
	24 35
	23 31
	21 27
	20 24
	19 21
	18 17
	17 13
	15 9
	14 6
	12 3
	9 0
	12 2
	13 5
	15 9
	18 12
	21 15
	23 18
	26 19
	28 22
	31 24
	33 27
	36 28
	39 30
	40 27
	40 24
	40 21
	39 17
	39 14
	39 11
	42 10
	45 10
	48 10
	52 10
.PEN_UP
.PEN_DOWN
	22 30
	26 30
	29 30
	32 33
	36 34
	39 35
	41 38
	39 35
	38 32
	35 29
	34 26
	32 23
	31 20
	30 17
	29 13
	28 10
	28 7
	28 4
	29 0
	32 0
	35 0
	38 0
	42 1
.PEN_UP
.PEN_DOWN
	41 62
	43 59
	45 56
	46 53
	47 52
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 0
	31 2
	34 5
	38 8
	40 11
	44 16
	47 19
	49 23
	52 25
	55 30
	57 34
	59 37
	62 40
	64 43
	65 47
	66 50
	68 54
	68 58
	68 61
	68 64
	65 66
	62 66
	59 64
	56 61
	53 57
	52 54
	50 50
	48 47
	47 44
	47 41
	45 36
	45 32
	44 29
	44 25
	43 21
	43 17
	43 13
	43 10
	43 7
	43 4
	46 2
	50 2
	54 2
.PEN_UP
.PEN_DOWN
	18 31
	21 32
	25 35
	28 35
	31 36
	34 36
	36 33
	36 30
	36 26
	34 22
	33 17
	32 14
	31 10
	31 7
	29 3
	28 0
	28 4
	30 7
	30 11
	33 13
	34 16
	35 19
	37 22
	40 26
	43 29
	45 32
	48 35
	51 36
	54 38
	53 35
	52 32
	51 29
	51 26
	50 22
	48 19
	48 16
	48 13
	47 9
	46 6
	47 9
	48 12
	49 15
	51 18
	52 21
	54 24
	56 28
	58 31
	61 34
	64 35
	67 36
	69 33
	68 30
	66 27
	65 24
	64 21
	63 17
	61 14
	61 11
	61 7
	64 5
	67 6
	70 8
	72 7
.PEN_UP
.PEN_DOWN
	25 28
	29 29
	32 30
	35 30
	36 27
	36 24
	36 21
	36 18
	34 15
	32 12
	31 9
	30 6
	29 3
	32 7
	33 10
	35 14
	38 17
	39 20
	42 23
	44 26
	47 27
	48 30
	51 31
	54 33
	55 30
	53 27
	51 24
	50 21
	49 18
	48 15
	47 12
	47 9
	47 6
	48 3
	50 0
	53 0
	56 2
	59 3
	62 3
	63 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 44
	29 46
	32 48
	35 50
	38 52
	40 55
	41 58
	43 61
	40 62
	40 59
	39 55
	39 52
	38 48
	38 45
	37 42
	36 37
	35 34
	34 31
	34 27
	33 23
	32 17
	31 14
	29 10
	29 7
	27 3
	26 0
	25 3
	25 6
	26 9
	26 13
	27 16
	27 20
	28 23
	29 27
	31 31
	32 34
	34 38
	36 42
	40 45
	42 48
	44 51
	47 55
	50 57
	53 54
	53 51
	55 48
	56 45
	57 41
	56 38
	52 35
	49 33
	46 31
	44 28
	41 27
	38 26
	38 29
.PEN_UP
.PEN_DOWN
	46 49
	46 52
	47 56
	44 58
	41 58
	38 56
	35 53
	32 48
	30 44
	29 41
	30 38
	33 37
	36 38
	39 38
	42 41
	45 43
	46 46
	49 48
	51 51
	54 54
	51 51
	49 47
	46 44
	44 40
	41 35
	39 30
	38 27
	35 23
	34 18
	33 15
	32 11
	32 8
	32 5
	34 2
	37 0
	40 0
	43 3
	44 7
	47 10
	49 15
	51 20
	52 23
	52 27
	52 30
	50 33
	47 34
	50 35
	53 36
	55 36
.PEN_UP
.PEN_DOWN
	21 39
	24 40
	27 40
	28 37
	28 34
	28 29
	28 25
	27 22
	27 18
	26 15
	25 12
	24 7
	22 3
	22 0
	22 3
	23 6
	24 9
	26 12
	27 15
	28 19
	31 22
	33 26
	36 29
	39 32
	42 34
	45 35
	48 37
	49 34
	51 31
	52 28
	52 25
	52 22
	52 21
.PEN_UP
.PEN_DOWN
	15 15
	17 18
	20 20
	23 21
	24 25
	27 27
	28 30
	31 33
	34 35
	37 37
	40 38
	44 39
	47 39
	50 37
	53 34
	55 31
	56 28
	57 24
	57 21
	55 18
	54 15
	52 12
	49 6
	48 3
	44 1
	41 0
	38 0
	35 1
	33 4
	33 7
	36 10
	39 10
	41 7
	44 6
	47 6
	51 4
.PEN_UP
.PEN_DOWN
	21 1
	24 2
	27 4
	30 6
	33 9
	37 12
	39 16
	41 19
	44 23
	45 26
	47 31
	50 35
	51 39
	53 44
	55 47
	55 50
	57 53
	58 56
	55 58
	53 55
	51 52
	50 48
	48 44
	46 39
	46 36
	44 31
	44 27
	43 24
	41 20
	41 17
	40 11
	40 8
	40 5
	41 2
	45 0
	49 2
	52 4
.PEN_UP
.PEN_DOWN
	30 29
	34 28
	38 28
	42 29
	47 31
	50 32
	53 32
	58 33
	61 34
	64 35
	63 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
