


.DATE		07 ? 93
.STYLE		PRINTED
.WRITER_ID	ktum
	58 67
	58 64
	58 61
	58 58
	58 55
	58 52
	57 49
	57 46
	58 43
	58 40
	58 37
	58 34
	58 31
	58 28
	58 25
	57 22
	56 19
	55 16
	54 13
	53 10
	52 7
	49 5
	46 3
	43 2
	40 1
	37 0
	35 3
	35 6
	35 9
	36 12
	39 14
	41 17
	44 18
	47 20
	50 21
	55 22
	58 24
	61 25
	64 26
	66 29
	69 30
	72 30
	75 32
	78 33
	81 34
	84 34
	86 34
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	55 90
	55 87
.PEN_UP
.PEN_DOWN
	54 68
	54 65
	54 62
	54 59
	54 56
	54 52
	54 48
	54 45
	54 42
	53 39
	53 35
	53 32
	52 29
	52 26
	51 23
	51 20
	50 17
	49 14
	48 11
	47 8
	45 5
	43 2
	40 1
	37 0
	34 0
	31 1
	30 4
	29 7
	28 10
	26 13
	26 16
	26 19
	26 22
	26 25
	29 26
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	8 21
	11 23
	14 26
	17 29
	19 32
	22 34
	25 37
	28 38
	31 38
	34 37
	35 34
	35 31
	34 28
	33 25
	32 21
	30 18
	28 15
	26 12
	24 9
	23 6
	21 3
	20 0
	20 4
	22 7
	23 10
	25 13
	28 16
	30 19
	34 22
	36 25
	38 28
	41 31
	44 33
	47 35
	50 38
	53 39
	56 41
	55 37
	55 34
	54 31
	52 27
	52 24
	50 21
	49 17
	47 14
	45 11
	44 8
	43 5
	44 8
	47 11
	48 14
	50 17
	53 20
	55 23
	58 26
	61 28
	63 31
	66 32
	68 29
	68 26
	68 23
	67 20
	65 17
	65 14
	64 10
	65 7
	68 6
	71 4
	73 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	55 39
	52 38
	49 38
	46 37
	43 34
	40 31
	37 28
	36 25
	35 20
	35 17
	35 14
	35 11
	36 8
	39 5
	42 3
	45 2
	48 1
	51 0
	54 0
	58 2
	61 5
	62 8
	64 11
	65 14
	66 17
	66 20
	67 23
	68 26
	68 29
	65 32
	63 35
	60 35
	56 36
	53 36
	51 37
.PEN_UP
.PEN_DOWN
	44 73
	42 69
	42 64
	40 59
	40 54
	40 51
	39 47
	39 44
	37 40
	37 35
	37 31
	36 28
	36 25
	36 21
	35 18
	35 15
	34 12
	33 9
	33 6
	33 3
	33 0
	33 1
.PEN_UP
.PEN_DOWN
	47 74
	52 72
	54 69
	57 67
	58 64
	59 61
	60 58
	61 55
	61 52
	60 49
	58 46
	56 43
	53 43
	50 43
	47 43
	44 43
	41 43
	38 44
	35 45
	38 45
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 39
	46 39
	43 40
	39 40
	36 39
	33 37
	29 34
	28 31
	27 28
	27 25
	29 22
	32 20
	36 19
	38 16
	40 13
	41 10
	42 7
	41 3
	38 0
	35 0
	32 0
	29 1
	26 3
	23 5
	23 7
.PEN_UP
.PEN_DOWN
	45 50
	44 47
	44 44
	42 40
	41 37
	41 33
	41 29
	40 26
	40 23
	39 20
	38 17
	38 14
	38 11
	38 8
	37 5
	36 2
	36 0
.PEN_UP
.PEN_DOWN
	29 31
	32 31
	35 31
	38 31
	42 32
	45 32
	48 31
	51 31
	54 31
	57 30
	60 29
.PEN_UP
.PEN_DOWN
	19 30
	22 31
	25 32
	28 35
	31 36
	34 37
	37 37
	38 33
	37 30
	35 26
	34 23
	34 20
	32 17
	31 14
	29 11
	28 8
	26 5
	26 2
	29 4
	33 7
	36 8
	39 11
	42 13
	44 17
	47 20
	49 23
	49 26
	51 29
	53 32
	53 35
	51 32
	50 29
	48 26
	46 22
	45 19
	44 16
	44 13
	44 10
	43 7
	43 4
	42 1
	47 0
.PEN_UP
.PEN_DOWN
	28 39
	29 36
	29 32
	30 28
	31 24
	32 19
	32 16
	32 12
	32 9
	32 6
	34 3
	34 0
	37 4
	38 7
	39 10
	41 13
	42 17
	44 22
	46 26
	47 30
	48 34
	49 37
	51 40
	51 43
	53 46
	54 45
.PEN_UP
.PEN_DOWN
	19 40
	19 37
	19 34
	19 30
	19 27
	19 24
	19 21
	19 18
	20 15
	20 12
	20 9
	21 6
	22 3
	23 0
	24 3
	26 6
	28 9
	30 12
	32 15
	33 19
	35 22
	37 25
	37 28
	39 31
	40 34
	41 37
	43 40
	45 43
	44 40
	43 36
	41 33
	41 30
	41 27
	40 23
	41 20
	41 17
	42 14
	43 11
	44 8
	45 5
	48 4
	51 6
	53 9
	56 12
	57 15
	60 18
	62 21
	63 24
	64 28
	66 31
	67 34
	69 37
	70 40
	72 43
	74 45
.PEN_UP
.PEN_DOWN
	63 41
	60 38
	57 36
	54 32
	50 29
	48 25
	44 21
	40 17
	38 14
	34 12
	33 9
	30 8
	28 5
	25 3
	24 0
	24 1
.PEN_UP
.PEN_DOWN
	32 31
	36 28
	40 24
	42 20
	48 16
	49 13
	51 10
	54 8
	55 5
	58 3
	59 3
.PEN_UP
.PEN_DOWN
	26 59
	26 56
	27 53
	27 49
	29 45
	30 41
	32 38
	32 35
	35 32
	38 29
	39 29
.PEN_UP
.PEN_DOWN
	60 57
	57 58
	54 55
	51 52
	49 49
	46 45
	43 42
	41 39
	37 34
	34 31
	32 28
	27 24
	25 21
	21 16
	18 15
	15 12
	12 9
	11 6
	8 4
	5 2
	2 1
	-1 0
	0 0
.PEN_UP
.PEN_DOWN
	26 38
	29 38
	32 38
	35 37
	40 36
	43 36
	46 36
	49 36
	46 33
	41 30
	37 27
	34 23
	31 20
	29 16
	27 13
	25 10
	23 7
	22 4
	25 4
	29 4
	32 4
	36 2
	40 2
	43 1
	46 1
	49 0
	52 0
	53 0
.PEN_UP
.PEN_DOWN
	62 37
	58 39
	55 41
	52 42
	49 43
	45 44
	42 44
	39 44
	36 42
	33 39
	31 36
	29 33
	27 30
	26 27
	26 24
	25 21
	25 18
	24 15
	25 12
	28 11
	30 8
	33 7
	36 7
	39 9
	42 11
	45 13
	48 15
	50 18
	54 22
	56 25
	59 27
	61 30
	63 33
	64 36
	65 39
	62 38
	60 35
	59 32
	57 29
	57 26
	56 22
	56 19
	55 16
	55 13
	55 10
	56 7
	57 4
	59 1
	62 0
	64 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	62 68
	62 71
	59 72
	56 74
	53 75
	50 75
	47 75
	45 72
	42 70
	42 67
	40 64
	39 61
	37 57
	37 53
	35 49
	35 43
	35 40
	35 36
	34 32
	34 29
	34 26
	33 21
	33 18
	33 15
	33 12
	32 9
	30 6
	30 3
	29 0
	28 3
	29 6
.PEN_UP
.PEN_DOWN
	27 37
	30 36
	33 36
	37 35
	42 35
	45 34
	48 34
	51 34
	54 33
	57 32
	60 32
	63 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	52 104
	52 101
	52 98
	52 97
.PEN_UP
.PEN_DOWN
	46 67
	46 63
	46 60
	45 57
	45 53
	44 50
	44 47
	43 44
	43 40
	41 36
	40 33
	39 29
	38 26
	37 23
	36 20
	36 17
	34 14
	32 10
	29 9
	27 6
	24 4
	21 2
	18 2
	15 0
	12 0
	10 3
	9 6
	9 9
	9 12
	10 15
	10 18
	10 21
	11 21
.PEN_UP
.PEN_DOWN
	30 66
	30 63
	30 60
	30 57
	30 53
	29 50
	29 47
	29 44
	29 41
	28 35
	28 32
	27 28
	27 24
	27 21
	27 17
	26 14
	26 11
	25 8
	26 5
	25 2
	26 5
	26 8
	28 11
	29 15
	31 18
	33 21
	33 24
	35 27
	37 30
	39 33
	41 36
	44 38
	44 37
.PEN_UP
.PEN_DOWN
	33 25
	36 22
	37 19
	39 15
	42 11
	44 8
	47 7
	49 4
	52 3
	53 0
	53 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 15
	27 18
	29 21
	30 24
	34 25
	36 28
	39 30
	42 27
	42 23
	42 20
	41 16
	40 12
	39 9
	37 6
	36 3
	35 0
	37 3
	39 7
	42 10
	45 13
	48 16
	50 19
	53 22
	56 24
	59 25
	59 22
	59 19
	59 16
	58 12
	57 9
	57 6
	55 3
	57 6
	57 9
	60 10
	60 13
	63 17
	65 20
	68 24
	70 27
	73 28
	73 25
	73 20
	73 17
	73 14
	73 11
	73 8
	73 5
	76 4
	79 4
	81 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	46 37
	47 40
	45 43
	42 43
	39 42
	35 40
	32 38
	31 35
	29 32
	28 29
	27 26
	26 23
	26 20
	26 16
	26 13
	25 10
	28 7
	29 4
	32 3
	35 2
	38 1
	42 0
	45 0
	49 2
	53 4
	56 6
	56 9
	59 12
	61 16
	61 19
	61 22
	60 25
	60 28
	59 32
	58 35
	55 37
	53 40
	50 42
	47 43
	43 44
	40 44
	37 44
	34 45
	35 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 39
	30 35
	28 31
	28 28
	27 24
	26 21
	26 18
	25 15
	25 12
	24 9
	24 6
	24 3
	24 0
	26 4
	29 7
	30 10
	33 13
	35 16
	38 19
	40 22
	43 25
	45 28
	48 31
	50 34
	53 36
	56 36
	59 36
	60 33
	60 30
	60 27
	61 23
	62 20
	64 23
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 65
	52 62
	52 59
	52 56
	52 53
	52 50
	52 47
	52 44
	52 41
	52 38
	51 35
	51 32
	51 29
	51 26
	50 23
	50 20
	50 17
	50 14
	48 11
	48 8
	48 5
	48 2
	50 0
.PEN_UP
.PEN_DOWN
	41 33
	44 33
	47 33
	50 32
	54 32
	57 32
	60 32
	65 32
	68 31
	71 31
	74 31
	78 31
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 29
	29 26
	30 23
	31 20
	31 17
	33 14
	34 11
	34 8
	37 6
	38 3
	39 0
	42 3
	45 6
	48 9
	50 12
	53 15
	55 18
	57 21
	58 24
	60 27
	62 30
	66 32
.PEN_UP
.PEN_DOWN
	21 47
	21 44
	22 41
	22 38
	23 35
	23 31
	24 28
	24 25
	26 21
	26 18
	27 15
	28 12
	29 9
	30 6
	31 3
	31 0
	33 3
	36 6
	39 9
	40 12
	41 15
	43 18
	45 21
	47 24
	49 27
	51 30
	52 33
	53 37
	54 40
	56 43
	57 40
	57 37
	57 33
	57 30
	57 25
	57 22
	58 19
	59 16
	59 12
	60 9
	61 6
	63 9
	66 11
	70 15
	73 18
	75 22
	78 27
	81 31
	83 34
	84 38
	85 41
	87 44
	88 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	20 57
	20 54
	20 51
	21 48
	22 44
	24 40
	25 37
	26 34
	27 31
	29 28
	29 25
	28 28
	27 29
.PEN_UP
.PEN_DOWN
	52 56
	49 54
	47 51
	45 48
	41 46
	40 43
	38 39
	35 38
	33 35
	30 33
	28 30
	25 29
	22 27
	21 24
	18 23
	16 20
	13 17
	10 15
	7 13
	3 10
	0 8
	-5 4
	-8 2
	-10 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	41 66
	42 69
	43 64
	43 60
	43 57
	43 54
	43 50
	43 46
	43 42
	42 39
	42 36
	42 32
	41 29
	41 26
	41 22
	41 18
	41 15
	41 12
	42 9
	42 6
	42 3
	42 0
	43 3
	45 6
	46 10
	48 13
	49 16
	52 20
	54 23
	56 26
	58 29
	61 30
	64 30
	67 28
	70 28
	71 25
	72 22
	72 19
	72 16
	72 13
	71 10
	68 8
	65 6
	62 6
	59 7
	56 8
	53 8
	50 9
	47 9
	46 12
	49 12
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 81
	23 79
	22 74
	21 71
	19 67
	18 62
	17 58
	16 54
	14 49
	13 45
	13 42
	12 39
	12 36
	10 32
	10 28
	8 24
	8 20
	7 16
	7 13
	6 9
	6 6
	6 3
	5 0
	7 3
	10 5
	11 9
	14 11
	16 15
	19 18
	22 22
	25 25
	26 28
	29 30
	30 33
	33 36
	34 39
	36 42
	38 45
	41 46
	42 43
	42 40
	42 36
	42 33
	42 29
	41 26
	41 23
	41 20
	41 17
	41 14
	41 11
	42 8
	45 6
	48 5
	51 5
	55 4
.PEN_UP
.PEN_DOWN
	42 48
	42 45
	45 45
	45 48
	45 45
	48 46
	47 44
.PEN_UP
.PEN_DOWN
	45 30
	46 26
	46 23
	46 20
	46 17
	46 14
	46 11
	47 8
	47 5
	47 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	48 81
	48 78
	47 75
	47 72
	48 68
	48 64
	48 60
	48 57
	48 54
	50 49
	50 45
	50 41
	50 37
	50 33
	50 29
	50 25
	51 22
	51 19
	51 16
	53 13
	53 10
	53 6
	53 3
	51 0
	53 1
.PEN_UP
.PEN_DOWN
	23 16
	26 19
	29 21
	32 23
	32 26
	35 27
	38 30
	39 33
	42 34
	46 31
	47 28
	47 25
	47 22
	44 18
	44 14
	43 11
	41 8
	40 4
	39 1
	42 1
	45 4
	50 9
	52 12
	55 16
	57 19
	59 22
	61 26
	62 29
	66 31
	68 28
	68 25
	67 22
	67 19
	66 16
	65 13
	65 10
	64 6
	67 8
	69 12
	71 15
	74 18
	76 22
	79 24
	82 26
	85 27
	86 24
	86 21
	85 18
	85 14
	85 10
	86 7
	86 4
	89 0
	93 0
	97 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	45 37
	44 40
	40 43
	37 43
	34 43
	31 43
	28 41
	26 38
	24 34
	22 31
	20 28
	19 25
	18 21
	18 18
	18 15
	18 12
	19 9
	21 6
	24 4
	26 1
	29 0
	32 0
	35 0
	38 0
	41 2
	44 3
	46 6
	49 8
	52 10
	53 13
	54 16
	55 19
	55 22
	56 25
	56 28
	55 31
	54 34
	51 37
	48 39
	44 39
	41 39
	38 41
	36 40
.PEN_UP
.PEN_DOWN
	38 80
	38 77
	37 74
	35 70
	34 67
	33 64
	32 61
	31 58
	28 53
	26 49
	24 46
	23 42
	21 39
	19 34
	19 30
	17 26
	16 22
	14 19
	13 15
	13 12
	11 9
	10 6
	10 3
	10 0
	13 1
.PEN_UP
.PEN_DOWN
	37 78
	40 79
	43 79
	46 79
	49 77
	52 75
	56 72
	58 69
	59 66
	59 63
	59 60
	58 57
	57 53
	54 51
	51 51
	48 50
	44 49
	41 49
	37 49
	33 49
	30 47
	27 46
	24 47
	25 46
.PEN_UP
.PEN_DOWN
	59 63
	59 66
	58 69
	55 71
	52 72
	49 73
	45 72
	43 69
	40 66
	38 63
	34 58
	33 54
	32 51
	32 48
	32 45
	32 42
	32 39
	33 36
	35 33
	38 30
	41 29
	42 26
	44 29
	47 32
	49 36
	52 40
	53 43
	55 46
	56 49
	58 52
	59 55
	60 58
	60 61
	61 64
	61 67
	61 64
	61 61
	61 57
	61 54
	61 50
	61 47
	61 43
	60 40
	59 36
	59 33
	59 30
	59 27
	60 24
	60 21
	60 18
	60 15
	60 12
	61 9
	61 6
	62 3
	63 0
	63 3
	65 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	52 31
	54 34
	53 37
	50 39
	46 40
	42 39
	38 38
	35 35
	33 32
	32 29
	32 26
	32 23
	36 21
	39 19
	42 17
	45 15
	48 13
	49 10
	49 7
	47 3
	44 1
	41 0
	37 0
	34 2
	31 3
	29 6
	31 7
.PEN_UP
.PEN_DOWN
	45 59
	45 55
	44 50
	42 43
	42 40
	41 37
	41 34
	41 30
	41 24
	41 19
	41 16
	41 13
	42 9
	42 6
	42 3
	41 0
	41 3
	40 6
.PEN_UP
.PEN_DOWN
	30 31
	34 30
	38 29
	42 29
	47 28
	51 27
	54 27
	58 27
	61 26
	64 26
	65 26
.PEN_UP
.PEN_DOWN
	22 16
	24 19
	26 22
	30 24
	32 27
	35 30
	38 32
	40 29
	40 26
	38 23
	38 19
	37 16
	36 13
	36 9
	36 6
	35 3
	38 5
	41 7
	44 9
	47 11
	49 14
	52 18
	55 22
	56 25
	58 28
	60 31
	60 34
	59 31
	58 27
	56 24
	55 21
	55 18
	54 14
	54 11
	54 8
	53 5
	53 2
	55 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 40
	27 37
	26 34
	25 31
	25 28
	25 24
	25 21
	25 18
	26 15
	27 12
	27 9
	28 6
	29 3
	31 0
	34 1
	35 4
	37 7
	40 11
	41 14
	43 17
	46 19
	47 23
	49 27
