


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	jjlee
	50 40
	51 43
.PEN_UP
.PEN_DOWN
	56 74
	56 71
	56 67
	55 63
	54 60
	53 55
	53 51
	52 48
	52 44
	52 40
	51 36
	51 32
	51 28
	51 25
	50 20
	49 15
	49 12
	49 9
	49 6
	49 3
	49 0
	50 1
.PEN_UP
.PEN_DOWN
	32 31
	31 27
	31 20
	31 17
	31 14
	31 10
	31 7
	31 4
	31 0
	31 3
	31 6
	32 10
	34 14
	34 17
	36 21
	38 25
	40 28
	43 31
	46 33
	49 35
	52 36
	56 37
	59 37
	62 37
	63 34
	64 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 39
	28 35
	27 31
	27 26
	26 22
	26 18
	25 15
	25 12
	25 9
	26 6
	28 3
	31 1
	35 2
	38 5
	40 8
	43 12
	45 15
	46 18
	49 24
	50 27
	50 30
	50 33
	50 36
	48 32
	46 25
	46 22
	45 18
	45 14
	45 10
	45 7
	46 4
	48 1
	51 0
	54 0
	57 2
	60 4
.PEN_UP
.PEN_DOWN
	27 37
	28 34
	28 31
	28 28
	29 23
	29 20
	30 15
	32 11
	33 7
	34 4
	36 0
	39 0
	41 3
	45 9
	48 14
	49 17
	51 20
	52 23
	53 26
	55 31
	55 34
	55 37
	56 39
.PEN_UP
.PEN_DOWN
	22 32
	22 29
	21 24
	21 21
	21 16
	21 11
	21 7
	21 3
	22 0
	26 0
	29 4
	31 7
	32 10
	34 14
	36 18
	38 22
	39 25
	39 22
	39 18
	40 15
	40 12
	41 8
	43 5
	45 2
	48 1
	51 2
	54 4
	56 8
	58 12
	59 15
	60 18
	61 23
	62 27
	62 31
	61 34
	62 33
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 60
	36 56
	36 51
	35 46
	35 43
	34 40
	34 37
	33 34
	33 31
	33 25
	32 22
	32 17
	32 14
	33 10
	33 7
	33 3
	34 0
	34 3
	34 7
	34 10
	34 13
	35 17
	36 20
	37 24
	39 30
	41 33
	44 36
	48 39
	52 40
	56 39
	59 35
	59 32
	59 28
	58 24
	57 20
	57 17
	55 14
	54 11
	52 8
	49 6
	46 4
	43 3
	40 2
	37 2
	34 2
	31 2
	30 2
.PEN_UP
.PEN_DOWN
	56 37
	54 40
	50 42
	47 42
	44 42
	41 42
	38 41
	35 39
	32 36
	29 34
	28 30
	26 26
	25 22
	25 19
	25 14
	26 11
	27 8
	30 5
	34 3
	37 1
	40 0
	43 0
	47 0
	51 0
	54 1
	57 1
	60 3
	62 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	60 66
	59 69
	56 71
	53 72
	49 72
	46 71
	43 70
	40 68
	38 65
	37 60
	36 56
	35 52
	35 48
	35 43
	35 39
	36 34
	36 31
	37 26
	37 23
	38 18
	39 14
	39 11
	39 7
	38 4
	35 1
	35 0
.PEN_UP
.PEN_DOWN
	28 41
	32 40
	36 39
	40 38
	45 36
	47 34
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	41 62
	40 58
	39 55
	38 50
	37 46
	36 43
	34 36
	33 32
	33 28
	32 24
	31 21
	30 17
	30 14
	29 10
	29 6
	28 2
	30 5
	31 9
	33 12
	36 16
	38 19
	41 24
	44 28
	46 31
	49 33
	52 33
	52 29
	52 25
	52 21
	51 18
	51 13
	51 10
	51 6
	51 2
	55 0
	58 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 73
	50 72
	53 70
	54 68
.PEN_UP
.PEN_DOWN
	48 54
	49 49
	49 45
	48 42
	48 39
	47 34
	47 30
	46 27
	46 23
	45 19
	45 15
	44 12
	43 9
	41 5
	38 3
	35 1
	32 1
	29 0
	26 0
	23 1
	20 2
	17 4
	14 9
	13 12
	12 15
	12 17
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 33
	20 36
	22 39
	25 40
	28 42
	31 42
	31 39
	31 36
	31 32
	30 28
	28 23
	27 19
	25 16
	23 12
	22 9
	21 6
	20 3
	21 6
	22 10
	23 14
	25 18
	28 22
	29 25
	32 29
	34 32
	37 34
	39 37
	41 34
	41 31
	41 28
	41 25
	40 18
	38 14
	37 10
	36 6
	33 3
	33 6
	35 10
	40 18
	41 21
	43 24
	46 27
	49 30
	51 33
	54 36
	55 33
	55 30
	55 26
	55 23
	54 18
	54 15
	53 12
	53 8
	53 5
	53 2
	56 0
	59 1
	62 2
	64 5
	67 7
	70 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	43 45
	40 44
	37 41
	33 37
	29 33
	28 30
	26 26
	25 23
	24 19
	23 14
	23 10
	23 7
	24 4
	27 1
	30 0
	33 0
	36 1
	39 3
	43 5
	47 8
	50 12
	54 19
	54 22
	56 26
	56 30
	56 33
	56 36
	53 41
	51 45
	48 47
	45 48
	42 47
	38 45
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 35
	37 31
	37 27
	37 23
	38 18
	38 14
	39 10
	39 7
	40 3
	40 0
	40 4
	40 9
	40 12
	41 16
	42 19
	43 22
	45 25
	46 28
	48 31
	51 34
	54 35
	57 35
	60 33
	63 31
	63 30
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 32
	36 33
	39 33
	42 33
	46 33
	50 33
	53 33
	57 33
	60 33
	57 34
.PEN_UP
.PEN_DOWN
	44 48
	44 43
	43 40
	43 37
	43 33
	43 29
	42 26
	42 23
	42 19
	42 14
	42 9
	42 6
	42 3
	43 0
	46 0
	49 1
	52 2
	55 4
	58 5
	61 6
	64 7
	67 8
	67 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	38 32
	39 25
	39 21
	40 18
	40 15
	40 11
	41 7
	42 4
	43 0
	46 3
	49 7
	51 10
	53 14
	55 18
	57 22
	59 25
	61 30
	62 33
	62 34
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 35
	27 31
	29 25
	32 21
	35 17
	38 13
	40 10
	43 7
	46 4
	48 3
.PEN_UP
.PEN_DOWN
	44 33
	41 29
	38 25
	35 21
	30 16
	27 13
	24 10
	22 7
	19 4
	17 1
	17 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	50 27
	50 30
	48 33
	44 33
	40 33
	37 31
	34 28
	30 23
	29 18
	28 13
	27 10
	27 6
	28 3
	29 0
	32 0
	36 1
	40 4
	42 7
	45 10
	47 15
	49 19
	50 22
	51 25
	52 28
	52 31
	50 28
	50 25
	50 22
	51 19
	53 16
	54 13
	56 10
	59 8
	62 7
	65 8
	68 8
.PEN_UP
.PEN_DOWN
	37 70
	37 67
	37 61
	36 58
	36 54
	36 51
	35 47
	34 44
	34 39
	34 35
	34 31
	34 27
	33 24
	33 18
	32 15
	32 10
	31 7
	31 3
	31 0
	30 3
	30 6
	31 9
	31 13
	32 17
	33 20
	35 24
	36 27
	39 31
	43 37
	47 40
	50 41
	53 41
	57 36
	58 33
	58 29
	58 25
	58 22
	57 19
	53 13
	52 10
	49 8
	46 6
	43 5
	40 4
	36 3
	33 3
	30 3
	29 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 60
	49 55
	49 50
	49 44
	49 41
	49 38
	49 35
	49 32
	48 29
	48 26
	48 23
	48 20
	48 17
	47 11
	47 8
	46 5
	46 2
	47 6
	47 9
	47 12
	46 15
	45 19
	43 25
	41 28
	39 31
	36 33
	33 35
	30 35
	27 33
	24 30
	23 26
	22 22
	22 18
	22 12
	23 8
	25 5
	28 2
	31 0
	34 0
	37 0
	40 1
	44 2
	47 3
	50 3
	51 3
.PEN_UP
.PEN_DOWN
	35 17
	41 17
	44 18
	48 19
	51 21
	54 24
	56 28
	57 31
	57 34
	56 37
	53 39
	48 40
	44 40
	40 39
	37 38
	35 35
	33 31
	31 24
	31 19
	31 15
	32 11
	33 7
	35 4
	38 2
	42 0
	45 0
	49 0
	52 0
	55 2
	56 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	52 69
	50 72
	47 73
	44 73
	41 73
	36 70
	33 68
	30 65
	28 62
	27 59
	27 56
	28 52
	31 51
	34 51
	38 52
	42 55
	46 58
	50 62
	53 65
	54 68
	56 71
	54 68
	53 62
	52 59
	52 56
	50 50
	50 47
	49 43
	48 39
	48 35
	47 32
	46 29
	46 26
	45 20
	45 17
	44 13
	43 9
	42 6
	40 3
	38 0
	35 0
	32 3
	30 10
	28 15
	26 20
	24 23
	24 26
	24 29
	27 32
	30 34
	34 35
	38 37
	42 38
	47 39
	50 39
	53 40
.PEN_UP
.PEN_DOWN
	33 61
	33 56
	33 53
	33 49
	32 45
	31 39
	31 34
	31 30
	30 26
	30 22
	29 15
	29 12
	28 7
	28 3
	28 0
	30 3
	30 6
	31 10
	33 14
	35 18
	37 22
	40 26
	43 30
	46 31
	49 28
	49 24
	50 20
	50 16
	50 12
	51 8
	52 5
	56 3
	60 6
	63 9
	66 13
	69 18
	72 25
.PEN_UP
.PEN_DOWN
	27 4
	30 8
	32 11
	37 18
	39 23
	42 28
	44 33
	45 36
	46 40
	45 37
	45 34
	44 29
	43 23
	43 20
	43 17
	43 14
	43 9
	43 5
	44 2
	47 0
	50 1
	53 4
	55 7
	55 10
	55 11
.PEN_UP
.PEN_DOWN
	45 54
	48 52
	51 51
	51 49
.PEN_UP
.PEN_DOWN
	41 94
	44 92
	47 90
	47 89
.PEN_UP
.PEN_DOWN
	40 71
	40 68
	41 65
	42 60
	43 54
	43 50
	44 46
	44 42
	44 39
	44 35
	44 32
	43 29
	43 26
	42 23
	41 20
	41 17
	39 12
	37 8
	35 5
	33 2
	30 0
	27 0
	23 1
	20 3
	16 5
	12 7
	9 9
	8 12
	8 13
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 0
	30 2
	34 4
	36 7
	39 10
	42 14
	43 17
	45 20
	46 23
	48 26
	50 30
	52 34
	53 39
	55 43
	57 48
	59 56
	59 59
	59 62
	59 65
	59 68
	58 73
	57 77
	55 81
	54 84
	51 83
	49 80
	46 76
	44 71
	43 68
	41 61
	41 58
	40 53
	39 49
	39 44
	39 41
	39 37
	39 33
	39 30
	40 27
	40 24
	41 19
	42 15
	43 12
	44 8
	46 5
	47 2
	50 1
	53 1
	56 1
.PEN_UP
.PEN_DOWN
	18 36
	19 39
	23 41
	26 43
	30 44
	33 44
	34 41
	34 38
	33 32
	31 28
	30 23
	29 18
	27 13
	26 9
	23 3
	22 0
	22 3
	24 7
	25 11
	26 14
	28 19
	30 23
	32 26
	35 29
	37 32
	40 35
	43 36
	44 32
	44 29
	43 25
	42 22
	41 17
	40 14
	38 9
	36 6
	39 12
	42 17
	45 22
	47 25
	50 29
	53 32
	55 35
	56 32
	56 26
	56 22
	55 19
	55 16
	54 12
	54 8
	54 5
	54 1
	57 0
.PEN_UP
.PEN_DOWN
	23 31
	26 34
	29 36
	32 38
	36 39
	39 40
	39 36
	39 32
	37 27
	36 21
	34 16
	33 13
	32 10
	31 6
	30 3
	28 0
	29 3
	31 7
	35 15
	37 18
	41 23
	44 26
	47 29
	49 32
	52 33
	52 30
	52 26
	50 19
	49 14
	49 11
	49 7
	49 4
	51 1
	54 0
	57 0
	61 2
	64 5
	66 9
	67 10
.PEN_UP
.PEN_DOWN
	41 39
	39 36
	36 32
	33 28
	30 24
	29 21
	28 18
	27 15
	27 10
	28 7
	29 4
	32 1
	35 0
	38 0
	42 1
	46 3
	50 5
	53 8
	55 11
	57 14
	58 19
	58 23
	57 27
	55 30
	53 33
	48 37
	45 39
	42 39
	38 37
	37 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	30 36
	34 36
	38 37
	41 37
	46 37
	51 37
	57 36
	60 36
	63 36
	61 38
.PEN_UP
.PEN_DOWN
	49 52
	48 47
	47 44
	46 40
	45 36
	45 32
	43 28
	42 21
	41 18
	41 13
	41 9
	41 5
	43 2
	46 0
	49 0
	52 1
	55 2
	58 3
	61 5
	64 5
	65 6
.PEN_UP
.PEN_DOWN
	39 40
	37 35
	35 30
	34 27
	33 24
	31 19
	30 16
	29 9
	29 6
	29 3
	30 0
	33 0
	38 2
	41 4
	45 8
	48 12
	50 15
	52 20
	54 26
	55 30
	55 33
	55 36
	55 33
	53 28
	52 24
	51 19
	51 15
	52 9
	54 6
	57 4
	60 4
	63 5
	66 8
	68 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 38
	28 35
	30 31
	33 27
	35 23
	38 19
	41 14
	44 11
	47 8
	50 5
	52 2
.PEN_UP
.PEN_DOWN
	48 38
	46 35
	44 32
	40 27
	36 22
	33 20
	30 15
	26 10
	24 7
	21 4
	20 1
	20 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	34 39
	37 40
	44 40
	49 40
	53 39
	56 38
	58 35
	55 32
	52 29
	48 25
	43 21
	36 15
	33 13
	29 10
	26 6
	26 3
	29 2
	32 1
	35 0
	40 0
	44 0
	47 0
	50 0
.PEN_UP
.PEN_DOWN
	32 36
	35 33
	39 30
	42 27
	45 25
	49 22
	53 20
	56 17
	59 16
	60 14
.PEN_UP
.PEN_DOWN
	56 24
	56 27
	56 30
	53 32
	49 33
	45 33
	41 32
	37 29
	33 25
	30 20
	28 15
	26 11
	26 7
	26 4
	29 0
	33 0
	36 0
	40 2
	44 5
	47 8
	51 12
	52 16
	54 19
	54 22
	54 25
	55 21
	55 18
	56 14
	57 11
	58 8
	60 4
	63 1
	66 1
	69 2
	69 3
.PEN_UP
.PEN_DOWN
	42 69
	40 63
	39 60
	39 56
	38 52
	37 49
	36 45
	35 41
	34 37
	34 32
	33 28
	33 24
	32 18
	31 15
	31 12
	30 8
	30 5
	30 2
	30 5
	31 9
	32 13
	34 17
	37 21
	38 24
	41 27
	44 31
	49 35
	52 37
	55 37
	59 36
	60 32
	61 28
	61 23
	61 19
	60 15
	58 11
	56 7
	53 5
	50 3
	46 1
	42 0
	39 0
	36 1
	34 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	42 23
	45 24
	48 25
	51 26
	54 27
	56 30
	56 33
	55 36
	52 39
	49 39
	45 38
	42 37
	39 34
	36 30
	34 26
	33 20
	33 16
	34 13
	35 10
	37 7
	38 4
	41 1
	44 0
	48 0
	51 0
	54 1
	57 3
	57 4
.PEN_UP
.PEN_DOWN
	55 78
	52 79
	49 79
	46 78
	42 77
	38 75
	35 71
	33 68
	32 65
	32 60
	32 57
	32 52
	32 48
	32 42
	33 39
	33 35
	33 32
	34 29
	34 26
	35 23
	35 19
	36 16
	36 12
	36 8
	36 5
	36 2
	33 0
	32 2
.PEN_UP
.PEN_DOWN
	26 51
	29 51
	32 50
	36 49
	40 48
	43 47
	46 45
	49 44
	49 45
.PEN_UP
.PEN_DOWN
	49 74
	50 77
	50 81
	47 84
	43 84
	38 84
	34 81
	30 78
	26 73
	26 70
	23 65
	23 60
	23 56
	25 52
	28 49
	31 48
	35 48
	39 49
	45 53
	47 56
	50 60
	52 64
	53 67
	54 70
	54 73
	52 67
	50 62
	50 59
	49 56
	48 52
	48 48
	48 44
	47 41
	46 37
	46 34
	46 31
	45 24
	44 21
	43 17
	42 12
	42 9
	40 6
	39 3
	38 0
	35 3
	32 7
	28 14
	27 17
	25 20
	24 24
	23 29
	23 32
	23 36
	26 38
	29 39
	33 41
	37 41
	40 42
	44 42
	49 42
	52 42
	55 42
	59 42
	60 42
.PEN_UP
.PEN_DOWN
	41 71
	41 68
	39 63
	38 60
	37 56
	36 53
	36 48
	35 44
	34 40
	34 36
	33 29
	32 26
	31 23
	31 20
	30 17
	29 12
	28 8
	28 5
	28 2
	29 5
	30 8
	32 12
	34 17
	37 22
	38 25
	43 31
	45 34
	47 37
	50 39
	51 36
	51 32
	50 29
	49 26
	49 23
	49 20
	48 17
	48 14
	48 9
	48 5
	48 2
	52 0
	55 3
	57 5
.PEN_UP
.PEN_DOWN
	27 3
	29 6
	32 9
	35 14
	38 18
	40 21
	42 24
	45 29
	48 33
	49 36
	50 39
	47 35
	45 31
	44 28
	43 23
