


.DATE		Aug. 92
.STYLE		CURSIVE
.WRITER_ID	scoh
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 33
	27 31
	24 29
	19 26
	16 24
	12 20
	9 18
	7 13
	5 9
	5 6
	5 3
	8 1
	11 1
	14 3
	17 4
	20 6
	23 8
	28 12
	33 18
	35 21
	37 24
	39 27
	40 30
	41 35
	43 39
	44 43
	45 47
	46 51
	46 54
	47 62
	48 67
	48 70
	48 73
	46 69
	43 62
	41 58
	41 55
	40 52
	39 47
	39 43
	39 39
	39 35
	39 31
	39 27
	38 24
	38 19
	38 16
	38 13
	38 10
	38 6
	39 3
	41 0
	46 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 14
	26 14
	31 15
	36 16
	40 17
	43 18
	48 19
	51 21
	55 24
	57 27
	57 30
	57 34
	55 39
	52 40
	49 41
	46 41
	43 41
	39 38
	35 33
	33 29
	32 25
	32 21
	32 18
	33 14
	35 10
	38 7
	42 3
	45 2
	49 0
	52 0
	57 0
	61 1
.PEN_UP
.PEN_DOWN
	35 17
	38 18
	41 19
	46 20
	51 21
	56 23
	59 24
	63 26
	66 30
	68 35
	68 38
	68 41
	68 44
	65 45
	62 45
	56 43
	53 41
	49 38
	46 34
	44 29
	42 25
	42 22
	42 16
	43 12
	43 8
	46 3
	49 2
	52 0
	57 0
	62 0
	67 0
	72 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 16
	37 17
	41 19
	44 20
	47 21
	50 22
	53 23
	59 26
	62 27
	66 30
	68 33
	68 36
	68 39
	67 42
	64 44
	61 45
	58 45
	53 43
	48 39
	44 36
	42 33
	41 30
	39 26
	39 23
	38 20
	38 17
	38 14
	38 10
	41 7
	42 4
	45 2
	50 0
	54 0
	57 0
	62 0
	66 0
.PEN_UP
.PEN_DOWN
	32 14
	35 15
	38 17
	43 18
	47 19
	52 21
	55 22
	58 26
	61 30
	62 33
	62 37
	61 41
	58 42
	54 42
	49 40
	43 37
	40 32
	37 28
	35 25
	34 20
	33 17
	33 13
	33 8
	36 6
	40 2
	43 0
	48 0
	51 0
	56 0
	63 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 27
	22 27
	26 28
	29 29
	32 30
	35 33
	39 35
	42 39
	45 40
	47 43
	50 45
	52 50
	56 55
	59 58
	62 63
	62 66
	63 69
	64 73
	65 76
	62 76
	59 75
	55 73
	52 71
	49 68
	46 66
	45 62
	42 59
	41 56
	39 52
	38 48
	36 44
	34 39
	34 34
	31 32
	28 26
	27 23
	24 18
	23 14
	23 11
	23 7
	23 3
	24 0
	27 0
	30 0
	33 2
	36 5
	38 10
	40 15
	41 18
	42 23
	43 26
	43 33
	43 36
	43 39
	39 39
	39 36
	41 33
	41 30
	44 30
	47 30
	50 30
	54 31
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 40
	24 41
	28 42
	32 44
	38 45
	41 47
	45 49
	49 50
	53 52
	57 55
	61 57
	64 59
	67 62
	71 66
	72 72
	72 76
	72 80
	72 83
	71 86
	68 89
	65 89
	62 89
	59 89
	57 86
	57 83
	55 79
	53 76
	52 72
	49 65
	48 62
	46 58
	45 55
	43 51
	42 47
	40 42
	39 38
	36 34
	33 28
	31 22
	30 19
	29 14
	28 11
	28 8
	28 4
	30 1
	33 0
	37 0
	40 2
	43 5
	46 12
	47 17
	47 22
	47 25
	46 30
	45 33
	45 37
	42 41
	40 44
	37 47
	39 44
	42 42
	45 41
	49 40
	52 40
	55 39
	59 39
	64 39
	67 42
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	16 37
	21 38
	25 39
	30 42
	35 45
	39 47
	42 51
	45 53
	46 57
	48 62
	51 67
	53 71
	54 76
	55 80
	55 83
	56 86
	53 84
	50 82
	48 79
	45 75
	43 71
	39 65
	36 60
	35 57
	34 54
	32 51
	31 48
	30 45
	29 42
	27 39
	25 34
	23 29
	22 26
	21 23
	21 20
	21 17
	21 12
	21 9
	21 6
	23 3
	27 0
	31 0
	33 3
	37 8
	38 12
	39 15
	40 18
	40 24
	40 27
	40 32
	40 35
	40 38
	38 41
	36 38
	41 37
	44 35
	47 35
	50 35
	53 36
	56 37
	59 37
	62 37
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 58
	46 58
	42 56
	39 51
	35 47
	31 43
	28 39
	26 36
	25 33
	28 31
	31 32
	34 32
	38 34
	43 38
	46 39
	49 43
	51 47
	54 51
	54 54
	54 57
	53 60
	50 60
	50 57
	50 53
	50 50
	49 45
	49 42
	49 39
	48 34
	46 31
	46 26
	45 23
	43 20
	42 16
	42 13
	39 9
	36 5
	32 2
	29 0
	26 0
	23 0
	20 2
	20 5
	20 8
	20 11
	25 16
	29 18
	31 21
	34 22
	37 23
	40 25
	43 26
	46 27
	49 27
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	41 65
	38 63
	34 58
	31 54
	28 51
	26 48
	24 44
	23 41
	26 40
	29 41
	34 44
	38 47
	41 51
	43 54
	44 57
	47 59
	47 62
	48 66
	45 63
	44 59
	42 54
	42 47
	41 43
	41 38
	40 35
	40 32
	38 29
	38 26
	38 22
	36 19
	35 16
	33 13
	29 9
	26 5
	23 3
	19 0
	16 2
	16 5
	17 9
	18 12
	20 15
	21 18
	23 22
	27 26
	31 29
	34 31
	38 33
	40 33
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	14 22
	18 23
	22 24
	26 27
	29 28
	33 32
	35 35
	38 37
	39 40
	42 44
	43 47
	45 52
	47 56
	49 62
	50 65
	50 68
	47 68
	43 65
	42 62
	38 59
	34 55
	30 52
	27 47
	24 42
	22 37
	20 32
	19 29
	19 24
	18 20
	18 17
	16 13
	16 10
	15 6
	14 3
	13 0
	11 3
	11 6
	14 9
	17 12
	20 14
	22 17
	25 19
	28 20
	32 22
	34 19
	34 16
	34 13
	35 10
	38 8
	41 8
	45 7
	48 8
.PEN_UP
.PEN_DOWN
	16 21
	19 21
	23 23
	27 24
	30 25
	33 26
	37 29
	42 32
	45 35
	47 39
	50 43
	52 46
	52 50
	55 53
	56 56
	56 59
	58 63
	59 66
	59 69
	59 72
	56 73
	53 73
	50 72
	48 69
	45 65
	42 61
	39 57
	38 53
	36 48
	36 45
	35 42
	32 38
	31 35
	29 29
	27 24
	24 20
	21 16
	20 12
	17 9
	15 6
	14 3
	12 0
	12 3
	15 7
	17 10
	20 13
	23 16
	26 17
	29 18
	30 15
	29 12
	28 9
	27 6
	29 3
	32 3
	35 2
	37 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 33
	32 34
	36 35
	40 37
	44 39
	49 41
	54 44
	59 48
	62 51
	65 53
	68 55
	71 60
	74 64
	75 67
	76 71
	76 75
	76 78
	73 80
	69 81
	66 80
	62 80
	60 77
	58 74
	57 70
	55 66
	54 62
	52 59
	51 56
	51 53
	49 49
	49 45
	47 40
	44 37
	43 34
	42 31
	41 28
	39 25
	37 22
	35 17
	32 13
	31 9
	28 7
	26 3
	24 0
	24 3
	26 6
	29 10
	32 13
	34 17
	38 21
	41 24
	44 25
	46 28
	49 29
	53 31
	55 27
	53 24
	51 20
	50 17
	48 14
	48 11
	51 10
	54 11
	57 13
	61 14
	65 13
.PEN_UP
.PEN_DOWN
	19 19
	22 20
	25 22
	30 23
	33 25
	36 27
	38 30
	42 34
	44 38
	49 46
	52 49
	53 53
	56 57
	56 61
	57 65
	56 70
	54 73
	51 73
	48 71
	46 68
	45 65
	41 64
	40 59
	39 56
	37 52
	36 49
	33 45
	32 42
	31 39
	29 34
	28 30
	27 27
	26 22
	24 18
	23 14
	20 12
	18 8
	14 3
	13 0
	14 3
	16 6
	17 9
	20 13
	22 16
	25 18
	28 20
	31 21
	34 23
	37 24
	40 25
	43 26
	46 26
	48 23
	48 20
	47 17
	46 13
	46 10
	46 7
	47 4
	50 3
	54 3
	57 4
	60 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	6 20
	10 20
	15 23
	19 24
	24 28
	28 30
	32 33
	35 38
	39 43
	40 47
	42 50
	45 54
	46 58
	48 62
	48 65
	45 67
	42 65
	40 62
	36 58
	34 55
	31 53
	28 48
	26 44
	24 40
	22 37
	19 32
	16 27
	13 23
	12 20
	9 17
	8 12
	6 9
	4 6
	3 3
	1 0
	4 3
	5 6
	7 9
	9 14
	12 16
	15 18
	19 22
	24 24
	27 26
	30 27
	30 24
	30 21
	30 18
	29 15
	29 12
	31 9
	34 9
	37 9
	40 9
	41 9
.PEN_UP
.PEN_DOWN
	21 19
	25 20
	29 21
	33 23
	38 26
	41 27
	44 28
	48 30
	53 34
	57 38
	60 42
	63 46
	64 50
	64 53
	64 57
	64 61
	64 64
	64 68
	61 70
	58 69
	55 67
	52 64
	49 61
	46 57
	45 54
	43 50
	42 47
	40 42
	37 36
	36 33
	34 30
	33 27
	29 22
	28 18
	24 14
	22 10
	19 6
	17 3
	16 0
	16 3
	19 6
	21 10
	22 14
	26 16
	28 19
	33 22
	37 25
	40 26
	43 27
	46 27
	49 27
	52 25
	52 22
	52 18
	50 14
	50 11
	50 8
	50 5
	52 2
	55 2
	59 2
	62 3
	65 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	18 14
	22 15
	24 18
	28 21
	32 24
	35 26
	42 30
	45 32
	45 28
	42 24
	42 21
	40 17
	40 11
	40 6
	41 3
	44 0
	48 0
	51 1
	54 2
	57 2
.PEN_UP
.PEN_DOWN
	39 56
	39 53
	41 50
	44 48
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 20
	24 22
	28 25
	31 27
	39 30
	42 33
	46 35
	50 39
	54 41
	57 42
	53 39
	51 35
	49 30
	46 24
	46 21
	46 18
	46 13
	46 10
	48 7
	50 4
	51 1
	55 0
	59 0
	62 2
	66 2
.PEN_UP
.PEN_DOWN
	41 65
	42 62
	44 59
	46 56
	48 56
.PEN_UP
.PEN_DOWN
	21 11
	24 12
	28 13
	32 16
	35 17
	40 20
	44 24
	47 26
	50 29
	53 32
	50 30
	48 26
	47 23
	45 20
	44 17
	43 13
	43 10
	43 6
	45 2
	48 0
	51 0
	54 0
	59 0
.PEN_UP
.PEN_DOWN
	46 53
	48 50
	49 47
	51 44
	52 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 16
	24 17
	28 19
	33 23
	37 27
	41 29
	44 31
	47 34
	51 38
	54 40
	52 37
	51 32
	48 27
	47 24
	46 19
	45 16
	45 13
	45 10
	45 7
	45 2
	48 0
	51 1
	55 1
.PEN_UP
.PEN_DOWN
	40 61
	41 58
	42 55
	43 52
	45 49
	46 49
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	23 48
	29 51
	33 54
	36 56
	39 58
	40 61
	42 64
	43 61
	42 55
	39 51
	39 48
	38 43
	37 39
	34 34
	33 28
	31 25
	29 18
	27 15
	27 12
	25 8
	21 4
	19 1
	16 0
	13 1
	11 5
	11 9
	12 13
	14 17
	15 20
	19 24
	23 28
	28 31
	32 33
	38 35
	43 38
	46 39
	49 41
	50 41
.PEN_UP
.PEN_DOWN
	39 79
	39 76
	40 73
	42 70
	43 70
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	30 41
	34 42
	37 44
	40 44
	44 45
	47 48
	50 50
	53 53
	52 50
	50 45
	49 42
	48 39
	47 36
	45 32
	45 29
	44 26
	43 21
	42 17
	42 14
	40 10
	39 6
	35 3
	33 0
	30 0
	27 0
	24 1
	21 3
	21 6
	21 9
	21 13
	24 17
	28 21
	31 23
	36 25
	39 26
	44 26
	49 26
	53 27
	56 27
	60 27
	63 28
	67 30
.PEN_UP
.PEN_DOWN
	43 73
	43 70
	48 67
	49 66
.PEN_UP
.PEN_DOWN
	25 60
	29 61
	32 62
	36 65
	39 67
	42 70
	45 72
	44 69
	43 66
	41 61
	39 57
	38 53
	36 49
	35 44
	32 39
	32 36
	29 33
	28 28
	27 25
	26 22
	23 18
	23 13
	21 10
	19 7
	18 3
	17 0
	14 0
	13 4
	12 7
	12 10
	12 13
	12 17
	13 20
	14 23
	18 26
	21 27
	22 30
	27 31
	30 32
	35 34
	38 35
	43 37
	46 37
	49 39
	52 39
	55 40
	58 41
	60 44
.PEN_UP
.PEN_DOWN
	36 86
	38 83
	39 80
	40 79
.PEN_UP
.PEN_DOWN
	23 49
	26 50
	29 51
	33 53
	37 55
	40 59
	42 62
	45 65
	42 62
	40 59
	40 56
	39 53
	39 50
	38 42
	38 39
	38 36
	37 33
	36 29
	36 24
	36 21
	35 18
	33 12
	31 9
	29 6
	26 3
	23 1
	20 0
	17 0
	14 3
	14 6
	15 10
	16 14
	20 17
	22 20
	26 22
	30 25
	33 26
	36 27
	43 31
	46 31
	50 34
	55 35
	57 38
	59 38
.PEN_UP
.PEN_DOWN
	32 80
	34 77
	37 73
.PEN_UP
.PEN_DOWN
	39 47
	42 48
	46 51
	50 53
	54 55
	56 59
	59 60
	61 63
	59 59
	57 54
	56 49
	56 46
	54 41
	53 38
	52 33
	51 30
	49 25
	49 22
	45 17
	45 14
	42 10
	39 8
	37 5
	34 3
	30 1
	26 0
	26 3
	26 7
	27 10
	29 13
	32 17
	35 19
	38 24
	42 26
	46 29
	51 31
	55 32
	59 35
	62 35
	66 37
	69 38
	73 38
	75 39
.PEN_UP
.PEN_DOWN
	50 77
	50 74
	52 71
	55 69
	57 71
.PEN_UP
.PEN_DOWN
	31 39
	35 41
	38 44
	41 47
	46 51
	48 54
	51 56
	53 53
	51 50
	49 44
	47 39
	46 36
	46 33
	45 30
	44 27
	43 22
	41 19
	40 15
	37 11
	35 8
	31 5
	27 3
	23 0
	20 0
	18 4
	19 8
	20 12
	22 15
	26 20
	30 23
	35 25
	39 27
	43 27
	46 28
	52 28
	56 29
	59 29
	63 30
	66 32
	67 32
.PEN_UP
.PEN_DOWN
	41 74
	42 70
	43 67
	46 64
	49 65
.PEN_UP
.PEN_DOWN
	32 42
	35 43
	39 46
	42 48
	46 50
	49 53
	53 56
	57 60
	55 57
	53 53
	50 49
	49 46
	47 41
	46 38
	45 35
	43 30
	42 27
	41 24
	40 19
	38 16
	36 13
	33 10
	31 7
	29 3
	26 2
	23 0
	20 0
	18 4
	18 7
	18 10
	21 14
	23 17
	26 20
	29 22
	33 24
	37 26
	40 26
	45 27
	48 28
	52 28
	55 29
	58 29
	65 30
	68 30
	72 33
	73 33
.PEN_UP
.PEN_DOWN
	44 86
	44 83
	44 80
	45 76
	45 72
	48 69
	51 67
	51 68
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	16 25
	19 26
	23 27
	27 30
	32 32
	35 34
	36 37
	39 39
	41 42
	43 45
	47 48
	48 51
	49 55
	50 58
	50 62
	50 66
	46 69
	43 68
	41 64
	39 60
	38 57
	36 52
	35 48
	34 43
	32 39
	31 36
	30 33
	27 31
	26 26
	24 22
	23 18
	20 12
	19 9
	18 6
	18 3
	18 0
	18 3
	18 6
	18 9
	20 12
	22 16
	25 20
	28 22
	31 24
	34 27
	37 27
	40 29
	43 31
	43 28
	43 24
	40 23
	37 21
	34 18
	33 21
	36 22
	39 23
	42 20
	43 17
	45 14
	48 13
	52 12
.PEN_UP
.PEN_DOWN
	13 20
	18 22
	23 26
	27 29
	31 30
	35 33
	39 37
	43 44
	45 48
	48 53
	49 58
	49 61
	49 64
	50 67
	50 70
	50 73
	47 73
	44 73
	41 71
	38 69
	36 66
	33 64
	31 59
	29 56
	27 52
	25 47
	24 44
	23 40
	22 37
	22 33
	21 30
	20 24
	18 20
	17 17
	17 14
	16 11
	15 8
	14 4
	13 0
	13 4
	14 9
	16 12
	18 15
	20 18
	24 20
	26 23
	29 27
	33 29
	37 32
	40 33
	41 30
	41 26
	41 23
	39 20
	38 17
	37 14
	34 12
	33 15
	33 18
	36 18
	40 17
	41 14
	42 11
	45 9
	48 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
