


.DATE		08 ? 92
.STYLE		CURSIVE
.WRITER_ID	scoh
	57 35
	57 30
	56 27
	55 24
	54 21
	52 16
	51 12
	49 9
	49 5
	49 1
	52 0
	55 0
	58 0
	61 2
	64 4
	67 6
	70 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 3
	30 6
	28 9
	27 14
	27 18
	27 21
	28 26
	28 31
	29 34
	31 39
	32 42
	34 46
	34 49
	36 53
	38 57
	41 59
	42 62
	45 66
	48 67
	51 65
	55 62
	57 58
	59 55
	59 52
	59 47
	59 43
	59 40
	58 37
	54 29
	54 26
	53 23
	50 22
	50 18
	48 15
	46 11
	43 8
	41 4
	40 0
	37 0
	34 1
	33 4
	31 8
	31 11
	30 14
	30 17
	34 19
	37 19
	43 17
	46 16
	50 13
	53 11
	56 9
	60 7
	62 4
	66 4
	69 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 0
	26 3
	30 5
	34 8
	37 10
	40 13
	43 16
	46 20
	49 23
	50 26
	54 31
	56 36
	56 40
	57 43
	57 47
	57 50
	55 53
	53 57
	50 60
	47 60
	44 60
	40 58
	37 55
	34 51
	31 48
	30 45
	29 42
	28 39
	29 36
	30 33
	34 32
	37 31
	40 30
	44 28
	47 25
	49 22
	49 18
	49 15
	45 13
	42 13
	39 13
	35 14
	32 14
	28 15
	25 16
	22 18
	22 21
	22 24
	25 23
	28 20
	33 17
	37 15
	40 14
	43 14
	46 15
	46 14
.PEN_UP
.PEN_DOWN
	17 56
	20 58
	24 61
	26 64
	29 66
	32 68
	35 70
	38 72
	42 71
	42 68
	44 65
	47 63
	50 60
	53 58
	56 58
	59 58
	62 58
	65 59
	68 61
	70 65
	70 68
	67 70
	65 66
	63 59
	62 56
	60 52
	60 48
	57 46
	57 43
	55 39
	55 36
	54 32
	51 29
	50 26
	48 21
	46 16
	43 14
	43 11
	39 7
	37 4
	32 1
	29 0
	26 0
	23 1
	21 4
	19 7
	19 11
	19 15
	19 18
	21 21
	23 22
.PEN_UP
.PEN_DOWN
	15 52
	17 55
	21 57
	25 60
	29 60
	34 61
	38 60
	38 57
	38 54
	36 51
	35 46
	31 41
	29 36
	28 33
	27 30
	24 26
	24 23
	23 19
	23 15
	23 10
	25 7
	28 7
	32 9
	35 11
	38 15
	42 20
	43 23
	45 26
	47 29
	49 33
	51 37
	53 41
	55 44
	59 51
	61 56
	61 59
	63 63
	66 67
	68 70
	71 72
	71 68
	69 64
	67 59
	66 56
	63 53
	62 50
	60 46
	57 43
	56 40
	53 33
	52 29
	51 26
	50 22
	49 17
	49 13
	49 9
	49 5
	50 2
	53 0
	56 1
	58 1
.PEN_UP
.PEN_DOWN
	21 49
	24 50
	27 51
	31 53
	34 53
	36 50
	36 44
	36 40
	36 36
	34 32
	34 28
	33 25
	33 22
	33 18
	31 14
	31 9
	31 5
	31 1
	34 0
	37 0
	40 2
	43 3
	44 7
	46 11
	48 15
	49 20
	50 23
	50 26
	51 29
	51 34
	51 38
	51 42
	51 46
	51 49
	51 52
	51 56
	54 56
	55 53
	58 51
	63 50
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	15 63
	18 64
	22 65
	25 66
	28 66
	32 67
	35 67
	38 66
	42 63
	42 58
	41 54
	40 51
	40 48
	38 45
	38 42
	34 38
	30 33
	27 29
	23 27
	20 26
	16 23
	13 21
	10 21
	7 19
	10 23
	14 24
	17 25
	23 26
	30 26
	35 26
	38 26
	41 26
	44 23
	47 19
	47 16
	47 13
	46 10
	43 6
	38 4
	35 2
	32 1
	29 0
	32 3
	35 5
	41 9
	44 11
	47 13
	51 13
	55 15
	58 15
	62 16
	67 16
.PEN_UP
.PEN_DOWN
	64 57
	64 60
	63 63
	60 64
	57 64
	54 63
	51 62
	49 59
	45 57
	43 54
	40 51
	36 47
	33 43
	30 39
	28 36
	26 33
	25 30
	22 28
	20 25
	18 22
	16 18
	15 15
	14 12
	13 8
	13 5
	13 2
	16 1
	19 1
	22 3
	25 3
	29 5
	34 8
	38 12
	42 16
	42 19
	44 22
	45 25
	47 28
	48 31
	50 34
	51 40
	54 45
	55 49
	58 53
	59 56
	60 59
	60 55
	60 52
	58 48
	57 45
	54 41
	53 38
	51 34
	51 31
	50 24
	48 21
	48 18
	48 13
	48 9
	50 6
	51 3
	55 1
	58 0
	62 0
	65 0
	69 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	62 60
	58 61
	55 63
	51 63
	48 63
	45 63
	42 63
	39 62
	36 58
	34 55
	31 51
	29 47
	28 44
	26 39
	24 35
	23 29
	23 25
	23 22
	23 18
	24 15
	25 10
	27 5
	28 2
	31 0
	34 0
	38 0
	42 2
	45 3
	49 5
	52 6
	55 7
	58 7
.PEN_UP
.PEN_DOWN
	37 72
	40 72
	42 69
	43 65
	43 57
	43 52
	43 48
	42 45
	41 42
	40 37
	39 34
	38 31
	33 23
	30 19
	27 16
	24 13
	23 10
	20 7
	17 4
	14 0
	11 0
	11 5
	11 8
	11 12
	12 15
	13 19
	14 22
	17 24
	20 26
	23 26
	25 23
	27 19
	30 16
	31 13
	34 11
	35 8
	38 6
	41 6
	44 6
	47 7
	50 10
	53 12
	55 16
	55 19
	56 22
	56 25
	57 28
	57 34
	57 38
	57 43
	58 46
	59 50
	59 53
	60 57
	60 60
	60 63
	60 67
	59 70
	57 73
	56 76
	54 79
	50 80
	47 80
	45 77
	43 73
	42 69
	41 65
	41 60
	41 56
	41 52
	41 48
	41 45
	42 41
	43 38
	44 35
	45 32
	47 29
	50 28
	53 27
	56 27
	59 27
	62 27
	65 27
	68 27
	69 27
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	55 96
	51 98
	48 97
	43 94
	39 93
	37 88
	34 84
	32 81
	29 76
	26 73
	25 70
	23 67
	21 62
	20 59
	21 56
	22 53
	25 53
	29 54
	34 57
	38 60
	41 65
	44 69
	45 72
	48 75
	50 78
	51 81
	54 88
	56 91
	59 95
	59 98
	56 94
	53 90
	52 87
	51 84
	50 81
	49 78
	47 71
	47 68
	44 62
	43 59
	42 56
	41 52
	39 47
	38 43
	37 40
	35 34
	35 30
	33 27
	32 24
	31 21
	30 18
	27 14
	25 10
	23 7
	18 3
	13 0
	10 0
	6 0
	2 6
	2 10
	2 13
	3 16
	4 19
	7 24
	9 27
	13 30
	17 35
	24 38
	28 40
	31 41
	34 42
	37 44
	41 45
	44 46
	47 47
	52 49
	55 49
	59 50
	62 51
	63 51
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	65 62
	63 66
	60 66
	57 67
	54 67
	51 67
	48 64
	46 61
	45 58
	44 55
	44 52
	43 48
	41 44
	41 40
	40 36
	39 32
	38 27
	36 24
	35 20
	33 17
	31 14
	30 11
	27 7
	26 4
	25 1
	21 0
	20 3
	20 6
	20 9
	21 13
	21 17
	23 22
	25 25
	28 28
	32 31
	35 31
	38 31
	41 28
	43 25
	46 21
	47 18
	49 15
	52 14
	55 13
	59 13
	63 14
	68 16
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 43
	22 48
	25 50
	28 52
	31 53
	34 56
	37 56
	40 57
	40 53
	40 49
	40 45
	39 42
	38 39
	36 34
	35 31
	32 26
	30 23
	28 20
	27 17
	24 13
	22 10
	21 7
	18 5
	20 8
	22 12
	25 18
	29 23
	30 26
	32 29
	35 31
	38 37
	42 40
	44 44
	48 47
	52 50
	55 51
	58 52
	60 49
	60 46
	60 43
	58 39
	56 34
	54 30
	52 25
	50 22
	48 19
	46 14
	44 11
	43 8
	43 5
	43 1
	46 0
	50 1
	54 3
	57 5
	61 6
	64 7
	69 8
.PEN_UP
.PEN_DOWN
	38 58
	36 55
	34 52
	33 49
	31 44
	29 40
	27 37
	27 34
	25 30
	24 25
	23 22
	23 19
	22 16
	22 11
	23 8
	24 4
	27 2
	30 0
	33 0
	37 0
	41 3
	44 5
	45 8
	46 11
	48 15
	50 22
	51 25
	51 28
	51 31
	51 36
	50 41
	49 44
	47 49
	45 52
	42 53
	39 52
	36 49
	35 46
	35 43
	34 40
	34 36
	34 33
	34 30
	35 27
	38 26
	41 26
	45 26
	48 27
	51 30
	55 30
	60 30
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 55
	29 52
	30 48
	30 44
	30 41
	30 37
	29 34
	28 30
	26 25
	25 22
	23 17
	21 13
	18 9
	15 6
	12 3
	10 0
	8 4
	8 7
	11 11
	13 14
	17 18
	21 22
	23 26
	27 31
	29 36
	32 39
	33 43
	35 46
	37 50
	39 53
	42 56
	45 58
	48 59
	51 59
	54 57
	54 53
	54 50
	53 47
	51 44
	48 41
	45 38
	43 35
	40 32
	37 31
	34 30
	31 32
	31 35
	32 38
	35 39
	38 39
	41 37
	42 34
	42 31
	43 27
	43 24
	44 21
	45 18
	45 15
	45 12
	46 9
	46 6
	49 4
	52 3
	55 2
	58 1
	62 2
	63 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 50
	27 52
	30 53
	33 54
	36 51
	37 48
	38 45
	38 41
	38 37
	37 32
	36 27
	36 24
	35 20
	35 15
	35 11
	34 7
	34 4
	34 1
	37 0
	40 0
	43 1
	46 5
	49 9
	51 12
	54 16
	55 19
	55 24
	57 29
	58 32
	58 36
	58 40
	58 43
	58 46
	58 49
	57 52
	59 49
	63 48
	66 47
	69 47
	73 47
	76 47
	80 48
	82 48
.PEN_UP
.PEN_DOWN
	16 45
	19 47
	22 48
	25 50
	29 51
	32 50
	34 47
	34 43
	34 39
	34 36
	33 32
	33 29
	32 25
	31 22
	30 18
	30 15
	30 12
	30 9
	30 3
	30 0
	33 1
	36 3
	40 7
	41 11
	44 14
	45 17
	46 20
	51 28
	54 33
	55 36
	56 39
	57 42
	56 39
	56 36
	54 31
	53 26
	53 23
	51 20
	51 17
	51 13
	51 10
	52 7
	53 4
	56 3
	60 5
	63 11
	66 15
	67 18
	67 21
	68 24
	69 27
	69 32
	69 36
	69 40
	68 44
	66 47
	70 48
	73 46
	76 46
	81 45
.PEN_UP
.PEN_DOWN
	22 55
	25 56
	28 57
	32 58
	36 57
	40 56
	42 53
	46 51
	47 47
	48 44
	49 39
	49 36
	49 29
	49 26
	49 23
	49 18
	49 15
	49 12
	50 8
	53 8
	56 8
	59 10
	63 12
	66 14
	71 16
.PEN_UP
.PEN_DOWN
	64 57
	61 54
	58 50
	54 46
	51 41
	47 38
	46 35
	43 32
	41 29
	38 24
	34 21
	31 18
	28 16
	24 13
	21 9
	19 6
	16 3
	16 0
	22 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	14 90
	17 92
	21 93
	24 93
	30 94
	33 94
	36 94
	39 94
	42 93
	43 88
	43 85
	43 82
	42 78
	41 74
	39 71
	38 66
	35 62
	32 60
	28 56
	24 55
	21 52
	18 51
	21 52
	24 53
	28 55
	32 55
	35 56
	38 56
	42 56
	46 54
	47 51
	48 47
	48 44
	48 41
	48 37
	47 34
	47 31
	45 28
	43 25
	41 21
	35 16
	33 13
	30 10
	27 9
	24 6
	21 3
	17 0
	14 3
	14 8
	14 12
	15 15
	16 18
	17 21
	20 26
	22 29
	26 33
	29 35
	33 39
	37 43
	42 44
	47 48
	50 50
	54 51
	57 52
	60 53
	63 53
	67 54
	71 55
	74 55
	73 54
.PEN_UP
.PEN_DOWN
	50 63
	46 61
	43 59
	41 56
	39 53
	36 50
	33 48
	31 43
	28 38
	25 33
	23 30
	21 27
	19 24
	17 21
	15 18
	14 13
	13 9
	13 6
	14 3
	15 0
	19 0
	22 0
	25 2
	29 4
	32 6
	35 7
	39 11
	42 14
	43 18
	46 21
	47 25
	49 29
	50 33
	52 36
	53 39
	55 42
	55 45
	56 48
	57 51
	58 54
	59 57
	59 60
	59 63
	60 66
	59 63
	57 58
	56 54
	56 50
	54 46
	54 43
	52 39
	52 36
	51 32
	50 28
	50 24
	50 20
	50 17
	50 14
	50 11
	51 8
	54 5
	57 4
	60 4
	62 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	62 50
	60 53
	56 53
	53 51
	49 51
	43 49
	40 47
	36 45
	32 41
	30 37
	27 36
	24 30
	22 25
	21 22
	21 17
	21 12
	25 7
	28 4
	31 1
	34 0
	39 0
	42 0
	45 0
	49 0
	52 1
	56 1
	62 3
.PEN_UP
.PEN_DOWN
	32 67
	35 65
	36 61
	38 58
	38 55
	38 49
	38 46
	38 41
	37 38
	36 35
	34 30
	32 25
	29 21
	25 17
	23 14
	20 11
	17 7
	14 4
	11 1
	8 3
	8 6
	8 10
	9 14
	11 18
	12 22
	15 24
	19 26
	22 26
	25 27
	28 26
	29 23
	30 18
	30 14
	31 10
	31 7
	32 4
	34 1
	37 0
	42 1
	45 3
	48 5
	48 9
	51 11
	54 15
	56 19
	57 23
	59 28
	60 31
	61 35
	61 39
	61 43
	60 47
	60 51
	59 55
	57 58
	55 61
	52 63
	49 63
	46 63
	41 61
	39 58
	38 55
	38 51
	37 47
	38 43
	39 39
	41 35
	44 32
	48 30
	51 28
	55 28
	59 28
	62 28
	65 29
	68 30
	70 30
.PEN_UP
.PEN_DOWN
	56 54
	53 55
	50 55
	46 54
	43 54
	40 53
	34 51
	31 49
	27 49
	25 46
	23 43
	22 38
	23 35
	23 32
	26 30
	29 28
	32 29
	36 30
	40 33
	44 35
	49 38
	52 40
	49 38
	46 36
	41 33
	39 30
	34 26
	32 22
	29 21
	28 17
	26 12
	26 9
	26 6
	28 3
	29 0
	32 0
	35 0
	38 1
	42 4
	45 7
	47 11
	50 14
	50 17
	50 16
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 57
	28 56
	32 52
	34 46
	34 41
	35 37
	35 34
	35 28
	34 25
	32 20
	31 15
	28 13
	27 9
	22 5
	20 2
	17 1
	17 4
	19 4
.PEN_UP
.PEN_DOWN
	63 61
	62 57
	61 51
	60 48
	58 42
	57 35
	55 32
	55 29
	54 25
	52 21
	52 16
	51 13
	51 10
	49 7
	49 4
	49 0
	51 3
	51 6
	51 9
	51 12
	50 15
	49 18
	47 21
	46 24
	45 27
	43 30
	41 34
	38 37
	36 34
	35 31
	35 27
	35 23
	36 20
	37 17
	41 15
	45 15
	48 15
	52 16
	55 17
	58 17
	61 18
	64 17
	67 16
	68 16
.PEN_UP
.PEN_DOWN
	47 33
	43 33
	39 34
	36 35
	33 35
	30 37
	26 39
	22 45
	22 49
	22 55
	22 59
	22 63
	23 66
	24 69
	25 72
	26 76
	29 77
	32 81
	34 85
	36 88
	39 89
	41 92
	44 93
	47 93
	48 90
	50 85
	50 82
	50 78
	52 75
	52 72
	54 67
	54 64
	55 59
	55 56
	55 53
	55 48
	55 43
	53 39
	52 34
	50 30
	48 25
	45 21
	43 16
	38 12
	35 9
	32 6
	27 4
	24 1
	21 1
	18 0
	15 0
	12 0
	11 3
	12 7
	17 8
.PEN_UP
.PEN_DOWN
	53 28
	50 29
	46 31
	43 34
	40 35
	38 39
	34 42
	34 46
	31 49
	31 53
	29 57
	29 60
	29 63
	28 67
	28 71
	28 74
	28 77
	28 80
	29 83
	29 86
	31 89
	34 87
	37 84
	38 81
	40 78
	41 75
	40 72
	39 69
	39 65
	36 62
	35 58
	34 54
	34 49
	33 45
	32 42
	31 38
	29 35
	29 32
	27 27
	26 24
	25 21
	25 18
	22 14
	20 11
	17 7
	14 2
	11 0
	10 3
	10 6
	8 9
	8 12
	9 16
	10 19
	11 22
	13 25
	16 29
	20 33
	23 35
	27 37
	30 38
	35 41
	38 42
	43 43
	48 45
	51 45
	55 46
	58 46
	61 46
.PEN_UP
.PEN_DOWN
	25 63
	26 60
	27 57
	27 54
	27 51
	27 48
	27 43
	27 39
	27 34
	26 31
	25 28
	25 25
	22 21
	21 18
	17 14
	13 10
	10 7
	8 4
	5 1
	2 0
	1 4
	3 5
.PEN_UP
.PEN_DOWN
	61 64
	58 65
	55 66
	51 66
	48 66
	45 66
	43 62
	40 59
	40 55
	40 52
	39 48
	37 45
	37 40
	36 36
	34 33
	32 30
	30 27
	26 25
	23 23
	20 23
	17 23
	14 23
	13 26
	15 29
	18 30
	21 30
	26 31
	29 31
	32 30
	34 27
	34 24
	32 21
	31 18
	31 14
	31 11
	33 8
	37 8
	40 8
	44 8
	48 8
	51 9
.PEN_UP
.PEN_DOWN
	60 55
	57 57
	54 59
	51 60
	48 60
	44 56
	43 53
	43 49
	41 42
	40 39
	39 36
	37 31
	36 28
	34 25
	32 21
	31 18
	28 13
	27 10
	24 7
	22 3
	19 0
	16 0
	13 0
	11 3
	11 6
	11 9
	12 12
	13 15
	17 18
	21 19
	24 20
	28 21
	31 21
	34 21
	38 20
	41 17
	41 12
	41 9
	40 6
	40 3
	42 0
	47 0
