


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	jjlee
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 71
	35 71
	40 70
	44 70
	47 69
	53 68
	56 68
	59 67
	56 68
	53 68
.PEN_UP
.PEN_DOWN
	40 66
	40 63
	40 59
	40 54
	41 51
	41 48
	41 40
	41 37
	41 34
	41 31
	41 28
	41 25
	41 22
	41 17
	42 12
	42 6
	43 3
	43 0
	43 1
.PEN_UP
.PEN_DOWN
	28 5
	33 5
	38 4
	43 4
	48 3
	52 2
	55 1
	58 1
	61 2
	61 3
.PEN_UP
.PEN_DOWN
	24 73
	28 73
	33 73
	39 73
	42 73
	47 72
	50 72
	55 71
	58 71
	62 70
	65 70
	68 69
	63 70
.PEN_UP
.PEN_DOWN
	49 67
	51 64
	52 60
	54 55
	56 47
	56 44
	56 41
	56 38
	56 35
	55 30
	55 27
	54 24
	53 21
	52 18
	49 12
	46 8
	44 4
	41 1
	38 0
	35 0
	32 2
	29 5
	27 8
	25 12
	25 13
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 76
	31 73
	30 68
	30 65
	29 61
	29 57
	28 53
	27 49
	27 44
	26 41
	26 37
	25 33
	25 27
	25 24
	25 21
	25 18
	24 13
	24 9
	24 5
	24 2
	27 2
	30 2
	33 2
	38 2
	42 2
	45 2
	48 2
	51 1
	55 1
	58 0
	61 1
	62 1
.PEN_UP
.PEN_DOWN
	19 71
	18 67
	18 64
	17 61
	17 57
	16 54
	15 45
	15 42
	14 38
	14 34
	14 30
	14 27
	15 23
	15 20
	15 17
	15 12
	15 6
	15 3
	15 0
	15 1
.PEN_UP
.PEN_DOWN
	22 62
	23 58
	25 53
	25 50
	27 47
	29 43
	29 40
	31 36
	32 33
	34 29
	37 29
	40 31
	43 34
	45 38
	48 43
	50 47
	52 51
	53 54
	54 57
	56 60
	58 63
	60 66
	63 68
	63 65
	63 62
	62 57
	62 52
	61 47
	61 44
	60 39
	60 36
	59 31
	58 24
	57 20
	57 17
	57 13
	57 9
	56 6
	56 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 79
	26 76
	25 71
	24 66
	24 61
	24 57
	23 54
	23 51
	23 47
	23 44
	23 41
	23 38
	23 32
	24 29
	24 24
	25 21
	25 16
	25 13
	26 9
	26 6
	26 3
	26 0
	26 3
.PEN_UP
.PEN_DOWN
	25 80
	28 82
	32 82
	36 82
	40 82
	43 82
	47 80
	50 78
	53 76
	54 73
	56 70
	57 67
	58 64
	58 59
	58 56
	58 53
	57 50
	55 46
	52 43
	49 42
	45 40
	41 38
	38 38
	34 38
	31 38
	28 39
	26 40
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 66
	19 62
	19 57
	20 54
	20 48
	20 45
	21 39
	21 35
	21 32
	21 29
	22 26
	22 23
	23 20
	24 16
	24 12
	26 7
	26 4
	26 1
	29 3
	30 6
	31 9
	31 12
	33 17
	35 24
	36 28
	36 31
	37 34
	39 38
	39 41
	40 44
	41 37
	42 32
	42 29
	42 26
	43 22
	44 19
	44 16
	45 13
	46 8
	47 3
	49 0
	52 0
	56 4
	58 7
	60 10
	62 14
	64 19
	64 22
	66 28
	66 31
	67 35
	68 38
	68 41
	68 44
	69 49
	69 52
	69 55
	69 58
	69 61
	70 64
	70 67
	73 68
.PEN_UP
.PEN_DOWN
	27 64
	28 60
	29 56
	30 51
	31 48
	33 43
	35 40
	37 37
	39 34
	41 31
	43 28
	45 25
	46 22
	48 18
	50 15
	53 10
	55 6
	56 3
	57 0
	59 3
.PEN_UP
.PEN_DOWN
	59 61
	56 57
	52 50
	50 47
	48 44
	46 41
	44 37
	42 34
	39 30
	37 27
	35 23
	33 20
	32 17
	30 12
	29 8
	27 5
	25 2
	26 1
.PEN_UP
.PEN_DOWN
	27 69
	27 66
	28 62
	30 57
	33 53
	35 49
	38 46
	42 41
	45 38
	47 39
.PEN_UP
.PEN_DOWN
	62 61
	59 58
	56 55
	53 51
	49 47
	46 44
	44 41
	41 38
	40 35
	41 32
	41 27
	41 24
	41 20
	42 16
	42 13
	42 10
	43 7
	43 4
	44 1
	44 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	42 71
	41 67
	39 63
	38 60
	37 56
	36 53
	34 49
	33 46
	32 42
	29 35
	28 31
	28 28
	27 25
	26 21
	26 18
	25 15
	25 10
	24 6
	24 3
	24 0
	27 1
.PEN_UP
.PEN_DOWN
	44 74
	45 70
	47 65
	48 62
	49 58
	50 54
	51 51
	53 43
	54 40
	55 36
	56 30
	57 27
	57 24
	58 21
	59 18
	59 14
	61 8
	61 5
	61 6
.PEN_UP
.PEN_DOWN
	35 40
	39 40
	42 40
	46 40
	49 40
	53 39
	56 39
	59 39
	62 38
.PEN_UP
.PEN_DOWN
	28 81
	27 77
	26 74
	25 70
	25 66
	24 62
	24 57
	23 53
	23 49
	22 44
	22 41
	22 37
	22 30
	22 26
	22 23
	22 20
	22 17
	22 12
	22 8
	22 5
	21 2
	21 0
.PEN_UP
.PEN_DOWN
	26 77
	29 78
	33 78
	36 76
	40 75
	44 73
	47 70
	49 67
	51 64
	52 59
	52 56
	52 52
	50 49
	46 46
	43 44
	39 43
	36 42
	33 42
	30 42
	33 42
	36 41
	40 39
	44 38
	48 36
	51 33
	54 30
	57 26
	57 22
	57 19
	55 15
	52 12
	48 8
	45 7
	42 6
	39 5
	36 5
	33 6
	30 7
	28 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 79
	29 76
	28 72
	28 67
	28 62
	28 59
	28 56
	28 48
	28 45
	28 42
	28 39
	29 35
	29 32
	29 27
	30 22
	30 19
	31 14
	31 10
	31 6
	31 3
	32 0
	32 3
.PEN_UP
.PEN_DOWN
	32 80
	35 79
	39 78
	43 76
	46 75
	51 73
	57 68
	61 65
	64 62
	67 59
	70 56
	71 53
	73 49
	73 46
	72 42
	71 38
	69 34
	67 30
	64 25
	62 22
	59 18
	56 15
	54 12
	51 9
	48 7
	44 5
	40 5
	37 5
	34 5
	31 5
	28 6
	26 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 88
	22 85
	22 82
	22 74
	22 70
	21 66
	21 62
	21 57
	21 53
	22 49
	22 45
	22 41
	22 38
	23 35
	23 32
	23 26
	24 23
	24 18
	24 15
	24 12
	24 9
	25 11
.PEN_UP
.PEN_DOWN
	23 49
	27 49
	31 48
	36 48
	40 48
	44 47
	47 47
	50 47
	52 48
.PEN_UP
.PEN_DOWN
	61 94
	61 91
	60 87
	60 83
	60 80
	60 77
	60 70
	60 66
	60 61
	60 57
	60 53
	60 49
	60 44
	60 40
	60 37
	60 33
	60 30
	60 26
	60 20
	60 17
	60 12
	60 9
	60 5
	60 2
	62 0
.PEN_UP
.PEN_DOWN
	22 70
	26 70
	29 70
	33 69
	36 69
	39 68
	42 68
	45 67
	50 66
	53 65
	56 65
	56 66
.PEN_UP
.PEN_DOWN
	43 64
	43 60
	42 55
	42 52
	42 48
	41 44
	41 37
	41 33
	41 30
	41 27
	41 23
	41 20
	41 17
	41 14
	42 11
	42 7
	42 3
	42 0
.PEN_UP
.PEN_DOWN
	28 5
	31 5
	38 3
	42 2
	45 2
	49 2
	52 1
	55 0
	59 0
	63 0
	66 0
	66 1
.PEN_UP
.PEN_DOWN
	24 76
	27 76
	32 75
	36 75
	39 74
	45 73
	48 73
	52 73
	57 72
	60 72
	64 71
	68 71
	70 71
.PEN_UP
.PEN_DOWN
	49 67
	50 64
	51 60
	51 55
	51 52
	51 49
	51 46
	51 43
	51 39
	51 33
	50 28
	50 25
	50 22
	49 19
	48 16
	47 13
	46 8
	44 4
	41 1
	38 0
	35 0
	32 1
	29 1
	26 2
	23 2
	20 4
	19 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	34 70
	33 66
	32 63
	32 60
	31 56
	30 52
	30 48
	29 43
	29 35
	29 31
	29 27
	29 24
	29 21
	29 16
	30 12
	30 9
	30 6
	30 3
	30 0
	33 2
	36 2
	39 3
	42 3
	45 3
	48 3
	53 2
	56 2
	59 2
	62 2
	65 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 68
	28 64
	27 56
	27 50
	27 46
	26 43
	26 39
	26 35
	26 31
	26 28
	26 25
	26 22
	26 19
	26 14
	26 9
	25 6
	25 3
	25 0
.PEN_UP
.PEN_DOWN
	31 57
	32 54
	35 50
	38 45
	39 42
	43 36
	47 31
	49 28
	52 23
	54 20
	55 17
	58 14
	59 11
	60 8
	61 5
	64 6
	65 9
	66 12
	67 16
	68 20
	68 23
	69 28
	70 35
	70 39
	71 42
	71 45
	71 48
	71 52
	70 56
	70 59
	70 62
	70 65
.PEN_UP
.PEN_DOWN
	51 68
	48 70
	45 69
	41 66
	39 63
	36 60
	33 55
	30 50
	28 45
	27 40
	27 37
	27 34
	27 29
	27 26
	27 22
	28 19
	29 15
	32 12
	33 8
	35 5
	37 2
	40 1
	44 0
	47 1
	51 4
	55 7
	58 10
	60 13
	62 17
	65 24
	67 28
	68 31
	70 36
	70 40
	70 44
	69 48
	67 52
	66 55
	65 58
	64 61
	61 64
	57 66
	54 66
	51 66
	48 65
	46 64
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 75
	48 78
	45 78
	40 75
	37 73
	34 71
	33 68
	29 63
	26 58
	25 54
	24 51
	23 44
	22 41
	22 38
	21 34
	21 29
	21 26
	22 23
	22 20
	22 17
	22 14
	25 8
	27 5
	30 3
	33 2
	37 2
	41 3
	46 4
	50 6
	54 8
	57 11
	60 13
	61 16
	64 19
	67 23
	69 28
	71 32
	72 37
	72 43
	72 46
	72 51
	71 54
	69 60
	68 63
	66 68
	65 71
	61 77
	58 80
	55 80
	52 80
	50 78
.PEN_UP
.PEN_DOWN
	47 23
	50 19
	54 15
	57 11
	61 8
	63 5
	67 2
	70 1
	71 0
.PEN_UP
.PEN_DOWN
	27 83
	26 80
	25 76
	25 70
	25 67
	24 63
	24 60
	24 56
	24 51
	23 47
	23 43
	23 39
	23 36
	24 32
	24 26
	24 23
	24 20
	24 17
	24 14
	24 11
	24 7
	24 4
	24 0
	25 0
.PEN_UP
.PEN_DOWN
	23 82
	23 85
	26 85
	30 85
	34 84
	39 82
	43 80
	47 77
	50 74
	53 71
	56 65
	57 62
	57 58
	56 55
	55 51
	52 48
	47 44
	44 42
	40 40
	35 39
	32 38
	28 37
	25 37
	28 37
	33 34
	36 32
	39 30
	42 27
	44 24
	46 21
	49 19
	51 16
	54 13
	56 10
	59 8
	60 8
.PEN_UP
.PEN_DOWN
	66 71
	66 74
	63 77
	60 78
	57 78
	54 77
	50 76
	46 74
	43 71
	41 68
	39 65
	38 61
	37 57
	36 54
	36 51
	38 48
	40 45
	45 42
	49 41
	53 39
	56 38
	60 37
	63 36
	66 33
	69 30
	70 27
	71 24
	71 20
	71 16
	69 13
	66 10
	62 10
	58 10
	54 11
	49 12
	45 13
	41 13
	37 15
	35 18
	36 21
	36 18
	36 15
	36 11
	36 8
	36 5
	36 2
	37 0
.PEN_UP
.PEN_DOWN
	24 84
	28 84
	33 85
	38 85
	41 85
	44 86
	49 86
	52 86
	56 87
	60 87
	63 88
.PEN_UP
.PEN_DOWN
	42 83
	40 79
	40 76
	40 73
	40 69
	41 64
	41 61
	41 58
	41 55
	42 49
	42 46
	42 42
	42 39
	42 35
	42 32
	42 29
	42 26
	42 23
	43 20
	43 17
	43 10
	44 7
	44 3
	44 0
	44 3
	44 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 70
	17 67
	17 64
	18 59
	19 54
	19 51
	20 48
	21 44
	22 41
	23 38
	25 35
	26 31
	28 28
	29 25
	31 22
	35 14
	37 10
	39 6
	41 3
	42 0
	45 0
	47 3
	48 6
	49 9
	51 12
	53 17
	53 20
	54 23
	55 27
	56 31
	58 34
	58 37
	60 40
	61 46
	62 49
	62 53
	62 56
	61 59
	61 62
	64 64
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	23 72
	24 68
	24 64
	25 61
	25 58
	27 52
	28 49
	30 45
	31 42
	33 39
	35 35
	39 28
	40 25
	42 21
	45 16
	47 13
	50 9
	52 5
	53 2
	53 5
	53 7
.PEN_UP
.PEN_DOWN
	54 69
	52 65
	50 60
	47 55
	45 52
	43 49
	39 41
	37 37
	34 33
	32 30
	30 26
	28 22
	26 19
	25 16
	22 12
	21 8
	19 5
	18 2
	17 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 74
	31 73
	35 73
	38 72
	44 70
	48 69
	51 67
	53 64
	52 61
	50 58
	48 54
	45 49
	40 42
	38 39
	36 36
	34 33
	31 30
	29 27
	26 22
	23 19
	22 16
	21 13
	21 10
	25 6
	29 5
	32 3
	35 3
	38 2
	42 1
	45 1
	48 0
	49 1
.PEN_UP
.PEN_DOWN
	33 46
	37 44
	40 42
	44 38
	47 36
	50 34
	53 33
	56 32
.PEN_UP
.PEN_DOWN
	36 73
	35 68
	34 65
	34 62
	33 58
	32 53
	31 49
	29 41
	28 36
	26 32
	25 28
	24 25
	24 21
	23 18
	22 15
	22 12
	21 8
	21 3
	21 0
	24 1
	24 2
.PEN_UP
.PEN_DOWN
	32 75
	35 75
	38 73
	40 70
	43 66
	46 60
	47 57
	49 54
	51 51
	52 47
	53 44
	54 41
	55 38
	56 35
	57 32
	58 29
	59 21
	60 17
	61 14
	61 11
	62 8
	62 5
	62 4
.PEN_UP
.PEN_DOWN
	33 39
	36 39
	40 39
	43 39
	47 39
	51 39
	54 40
	57 40
	59 40
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 81
	32 78
	32 73
	32 70
	31 67
	31 64
	31 60
	30 52
	30 48
	30 44
	30 40
	31 37
	31 33
	31 30
	31 27
	31 23
	31 20
	31 17
	31 14
	31 10
	31 6
	31 3
	30 0
.PEN_UP
.PEN_DOWN
	35 76
	40 75
	44 73
	48 71
	51 70
	55 67
	59 64
	62 60
	64 57
	65 53
	65 50
	65 46
	64 41
	63 38
	62 34
	59 29
	56 25
	54 21
	51 17
	49 14
	46 10
	43 9
	40 8
	37 9
	33 9
	30 10
	27 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	24 71
	23 66
	23 60
	23 57
	23 54
	22 50
	22 46
	22 42
	22 38
	22 34
	22 31
	22 28
	22 25
	23 19
	23 14
	23 10
	24 6
	24 3
	24 0
	25 1
.PEN_UP
.PEN_DOWN
	24 40
	28 41
	35 42
	38 42
	43 42
	47 42
	50 42
	53 42
	55 42
.PEN_UP
.PEN_DOWN
	59 78
	59 74
	59 70
	59 67
	59 64
	59 61
	59 54
	59 49
	59 45
	59 40
	59 36
	59 32
	59 28
	59 25
	59 22
	59 19
	59 16
	59 12
	59 8
	59 5
	59 2
	59 0
.PEN_UP
.PEN_DOWN
	32 72
	36 72
	43 72
	48 71
	52 71
	55 70
.PEN_UP
.PEN_DOWN
	41 66
	41 63
	40 59
	40 55
	40 52
	40 49
	40 46
	40 42
	40 39
	40 35
	41 32
	41 28
	41 25
	42 20
	43 15
	44 11
	44 7
	44 4
	45 1
	45 0
.PEN_UP
.PEN_DOWN
	32 4
	36 4
	39 4
	43 4
	46 4
	50 3
	54 3
	57 2
	60 2
	62 2
.PEN_UP
.PEN_DOWN
	24 75
	27 76
	31 76
	34 76
	39 77
	46 77
	49 76
	52 76
	57 75
	61 75
	64 75
	64 74
.PEN_UP
.PEN_DOWN
	49 71
	50 67
	51 64
	53 59
	53 56
	54 52
	55 49
	56 42
	57 38
	57 34
	57 31
	57 28
	56 25
	56 22
	55 19
	55 16
	53 12
	51 6
	49 3
	46 1
	43 0
	40 0
	36 0
	33 1
	30 2
	27 3
	25 6
	24 9
	24 11
.PEN_UP
