


.DATE		08 ? 92
.STYLE		MIXED
.WRITER_ID	jhkim
	224 24
	224 27
	227 31
	227 34
	227 37
	229 42
	229 45
	226 44
	224 39
	222 33
	220 29
	220 26
	219 22
	219 14
	219 11
	219 8
	220 5
	223 3
	226 1
	229 0
	232 0
	235 0
.PEN_UP
.PEN_DOWN
	91 21
	93 24
	96 26
	99 29
	102 31
	105 32
	107 29
	108 26
	108 22
	107 18
	105 12
	103 9
	103 6
	101 3
	104 6
	107 11
	110 14
	113 18
	116 20
	118 23
	121 26
	124 28
	127 28
	129 25
	129 22
	128 19
	127 16
	127 13
	126 10
	125 7
	125 3
	126 0
	129 1
	132 2
	135 4
	138 7
	140 10
	143 12
	144 16
	145 19
	147 22
	148 25
	151 28
	154 30
	152 27
	150 24
	149 21
	149 18
	148 15
	148 12
	148 9
	149 6
	152 5
	155 5
	158 7
	161 8
	163 11
	163 14
	165 17
	166 20
	167 23
	167 26
	165 29
	164 32
	161 32
	159 29
	158 26
	158 23
	161 21
	165 21
	169 22
	172 23
	177 25
	181 27
	184 27
	188 31
	191 33
	194 35
	196 39
	199 42
	201 46
	204 50
	205 53
	206 56
	204 53
	201 52
	201 49
	198 44
	197 41
	196 37
	194 33
	193 30
	193 25
	193 18
	193 14
	193 11
	193 8
	196 5
	200 4
	203 5
	206 7
	208 7
.PEN_UP
.PEN_DOWN
	178 42
	181 42
	184 42
	189 41
	192 41
	195 41
	199 41
	203 41
	206 41
	210 41
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	125 17
	128 18
	129 21
	130 24
	132 27
	134 30
	135 33
	138 36
	139 39
	139 42
	136 39
	136 36
	135 33
	134 30
	133 27
	133 23
	134 20
	136 17
	140 16
	143 18
	145 21
	148 24
	151 28
	153 31
	155 35
	158 37
	161 41
	162 45
	163 48
	165 51
	167 54
	169 58
	170 62
	172 65
	170 62
	169 59
	167 55
	165 52
	164 48
	164 44
	162 41
	162 38
	162 35
	162 32
	161 29
	161 26
	161 23
	164 22
	167 22
	171 23
	173 26
	176 27
	176 30
	179 32
	180 35
	182 38
	185 41
	187 44
	190 47
	190 44
	190 41
	191 38
	191 35
	191 32
	191 29
	189 25
	186 23
	182 23
	178 23
	175 25
	178 22
	181 21
	186 21
	189 21
	192 21
	196 21
	199 21
	202 22
	205 24
	209 26
	212 29
	214 32
	214 35
	214 38
	214 41
	211 42
	208 43
	205 44
	202 42
	201 39
	200 36
	200 33
	200 30
	200 27
	201 24
	202 21
	205 18
	208 17
	211 17
	214 18
	218 20
	221 22
	223 25
	226 29
	229 32
	231 37
	233 41
	234 44
	236 48
	237 52
	241 56
	242 60
	245 62
	246 65
	247 69
	247 72
	248 75
	245 77
	244 74
	241 70
	239 67
	237 63
	236 58
	236 55
	235 51
	234 48
	233 45
	232 42
	230 38
	230 34
	230 31
	230 28
	229 25
	229 21
	229 18
	232 18
	235 20
	236 23
	237 26
	239 29
	240 32
	241 35
	244 37
	245 40
	247 43
	249 47
	250 50
	252 53
	253 56
	254 59
	254 62
	255 65
	255 68
	251 68
	249 65
	248 62
	245 60
	245 57
	244 54
	243 51
	242 48
	242 45
	240 41
	239 38
	239 35
	239 31
	239 28
	237 25
	237 21
	237 18
	237 14
	236 10
	236 7
	234 3
	235 0
	239 3
	240 6
	244 8
	245 11
	246 14
	246 17
	247 20
	247 23
	246 26
	243 28
	239 26
	242 24
	245 25
	250 26
	253 28
	256 29
	260 31
	265 33
	268 35
	271 37
	272 38
.PEN_UP
.PEN_DOWN
	131 61
	134 60
	137 60
	139 58
.PEN_UP
.PEN_DOWN
	159 54
	162 55
	167 56
	172 56
.PEN_UP
.PEN_DOWN
	114 49
	112 43
	111 40
	110 37
	109 34
	109 31
	108 28
	108 25
	107 22
	107 19
	106 16
	106 11
	106 8
	107 4
	110 2
	113 0
	117 0
	118 0
.PEN_UP
.PEN_DOWN
	102 22
	105 24
	108 23
	111 23
	115 23
	118 23
	122 24
	126 24
.PEN_UP
.PEN_DOWN
	145 19
	142 20
	139 20
	136 18
	133 16
	133 13
	133 9
	134 5
	136 2
	139 1
	143 1
	146 2
	150 4
	153 6
	153 10
	155 14
	153 17
	150 20
	146 20
	142 20
	141 20
.PEN_UP
.PEN_DOWN
	174 31
	171 29
	166 26
	165 22
	163 19
	163 15
	163 11
	165 7
	168 6
	172 6
	175 7
	178 8
	181 10
	184 12
	188 15
	192 18
	195 22
	199 25
	202 27
	202 30
	205 32
	205 35
	208 34
	211 33
	214 30
	217 28
	218 25
	218 22
	216 19
	214 15
	213 12
	212 8
	215 6
	218 6
	221 8
	224 9
	227 12
	232 16
	234 19
	236 22
	238 25
	240 28
	240 32
	242 29
	242 26
	242 23
	241 19
	238 17
	237 14
	236 11
	234 7
	233 4
	233 1
	236 1
	240 4
	244 7
	247 8
	251 11
	254 15
	257 18
	262 21
	262 25
	263 28
	266 31
	266 34
	265 31
	262 28
	262 25
	260 22
	260 19
	259 16
	257 13
	257 10
	257 7
	256 4
	257 1
	260 2
	263 3
	266 5
	269 7
	273 9
	274 13
	277 14
	280 17
	283 19
	288 23
	290 26
	293 28
	294 31
	296 34
	298 30
	298 27
	295 23
	295 20
	292 17
	288 14
	285 13
	282 13
	279 13
	283 9
	286 7
	290 5
	293 4
	296 4
	300 5
	303 6
	307 7
	310 9
	312 12
	315 16
	317 19
	320 22
	324 26
	327 30
	329 34
	330 38
	330 41
	330 44
	329 47
	329 51
	326 48
	323 44
	321 41
	319 37
	318 34
	317 31
	316 28
	315 24
	314 20
	314 17
	313 13
	313 9
	312 6
	312 3
	312 0
	311 3
	312 6
	313 9
	317 13
	320 17
	325 21
	328 22
	331 22
	333 19
	333 16
	332 13
	331 10
	331 7
	332 4
	335 3
	338 3
	341 4
	348 4
.PEN_UP
.PEN_DOWN
	112 30
	115 33
	116 36
	118 39
	121 44
	124 48
	125 51
	125 54
	123 50
	123 47
	120 43
	120 39
	119 35
	118 27
	118 23
	117 19
	116 14
	116 11
	115 7
	115 3
	116 0
	118 3
	118 8
	120 12
	122 16
	124 20
	128 24
	131 26
	134 28
	137 28
	139 25
	139 22
	138 18
	138 14
	137 11
	137 8
	141 5
	144 6
	147 6
	150 9
	153 11
	156 14
	157 18
	160 21
	162 24
	164 27
	166 24
	166 21
	166 18
	166 14
	166 11
	167 8
	170 7
	174 10
	178 13
	180 17
	183 21
	184 25
	185 28
	186 31
	186 28
	186 24
	186 19
	186 16
	187 13
	190 13
	193 18
	196 21
	198 24
	201 26
	201 23
	201 20
	201 17
	200 14
	200 11
	203 11
	205 14
	208 18
	211 21
	213 25
	216 28
	217 25
	218 22
	219 18
	221 15
	225 13
	228 12
	232 11
.PEN_UP
.PEN_DOWN
	163 50
	167 51
	170 51
	174 49
	180 48
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	144 46
	144 49
	145 52
	145 55
	145 58
	142 60
	138 59
	135 57
	132 54
	131 50
	129 46
	128 42
	127 39
	126 36
	126 33
	129 34
	130 37
	133 39
	135 42
	137 45
	140 49
	142 52
	144 55
	147 58
	147 61
	149 65
	150 68
	151 71
	153 74
	155 77
	156 80
	157 83
	155 80
	154 77
	151 73
	150 70
	148 66
	148 63
	147 60
	147 57
	146 54
	145 50
	144 47
	144 44
	144 41
	144 38
	147 39
	150 40
	153 40
	155 44
	156 47
	157 50
	159 53
	159 56
	160 59
	162 62
	162 65
	165 65
	168 63
	171 61
	171 58
	170 55
	168 52
	168 49
	168 45
	168 42
	168 39
	171 39
	174 41
	179 43
	181 46
	184 49
	186 52
	189 55
	192 57
	193 60
	192 57
	190 53
	190 50
	189 47
	189 43
	188 40
	191 38
	194 38
	197 38
	200 41
	203 42
	204 45
	205 48
	206 51
	206 54
	206 57
	206 60
	206 63
	205 66
	202 66
	199 64
	198 61
	198 58
	198 55
	201 53
	205 53
	208 53
	211 55
	214 56
	218 58
	221 60
	224 61
	224 58
	224 55
	223 51
	222 47
	221 44
	219 40
	216 31
	215 28
	214 25
	214 22
	213 19
	213 16
	211 13
	211 8
	209 4
	209 0
	209 4
	211 8
	211 13
	213 17
	213 20
	213 24
	215 31
	216 34
	217 37
	218 41
	219 44
	223 48
	224 51
	227 55
	230 58
	232 61
	235 63
	236 60
	238 57
	238 54
	238 51
	235 49
	231 46
	229 43
	228 40
	229 37
	232 37
	239 37
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	85 22
	87 25
	89 28
	93 32
	97 35
	99 39
	103 41
	106 43
	110 46
	114 49
	115 52
	116 49
	116 45
	116 41
	115 38
	115 35
	114 32
	112 29
	109 29
	106 29
	103 29
	101 33
	101 36
	102 33
	105 29
	111 28
	114 28
	117 29
	120 30
	124 31
	129 34
	133 36
	138 39
	141 41
	144 44
	145 48
	148 52
	151 55
	153 58
	151 54
	151 51
	151 47
	150 44
	150 40
	149 37
	149 34
	149 31
	152 32
	157 35
	160 39
	161 42
	163 45
	164 49
	165 52
	166 55
	168 58
	166 55
	165 50
	163 46
	163 43
	163 39
	163 36
	163 33
	166 33
	170 35
	173 37
	174 41
	177 44
	180 48
	181 51
	183 54
	186 57
	190 63
	194 67
	196 71
	199 75
	200 78
	200 81
	198 77
	197 74
	195 70
	193 66
	192 60
	190 57
	187 49
	186 45
	185 41
	185 37
	183 34
	182 30
	181 25
	180 21
	180 18
	179 15
	178 12
	178 9
	178 5
	180 2
	183 1
	185 4
	187 7
	187 10
	190 14
	190 19
	192 24
	192 27
	192 32
	192 35
	191 38
	190 41
	186 42
	183 42
	186 42
	190 43
	194 44
	197 46
	201 49
	204 50
	207 53
	211 55
	213 58
	215 62
	217 65
	219 68
	220 71
	222 75
	223 78
	221 74
	219 71
	218 68
	216 64
	215 60
	214 56
	212 52
	211 47
	210 42
	208 37
	205 27
	203 22
	202 17
	202 14
	202 10
	202 7
	202 4
	203 0
	206 0
	209 2
	212 5
	214 8
	214 11
	215 16
	216 19
	216 22
	216 25
	218 30
	219 34
	220 37
	220 41
	220 44
	219 47
	216 48
	213 50
	217 51
	220 52
	223 52
	226 53
	229 53
	232 55
	235 57
	238 61
	240 64
	238 61
	236 58
	235 54
	234 51
	234 48
	234 45
	234 42
	237 40
	241 40
	244 42
	248 44
	251 48
	254 48
	256 51
	257 54
	259 57
	263 58
	266 57
	269 57
	272 56
	269 58
	266 57
	263 57
	259 56
	256 55
	252 51
	251 48
	250 44
	250 41
	251 37
	253 34
	257 32
	261 32
	265 32
	268 32
	277 33
	282 35
	287 37
	290 38
	293 39
	295 42
	296 45
	298 48
	299 52
	300 55
	300 58
	295 59
	293 56
	290 54
	287 52
	284 49
	283 45
	280 42
	280 39
	280 35
	281 32
	284 31
	287 31
	290 31
	293 32
	296 34
	299 34
	301 37
	304 41
	305 44
	307 47
	309 50
	312 52
	315 54
	318 55
	321 56
	324 56
	326 53
	324 50
	323 47
	321 44
	320 39
	319 36
	318 32
	315 31
	312 33
	309 36
	307 39
.PEN_UP
.PEN_DOWN
	237 89
	240 88
	243 87
	248 86
	254 84
.PEN_UP
.PEN_DOWN
	108 0
	109 3
	110 6
	112 9
	115 14
	119 19
	122 22
	123 26
	126 34
	130 38
	133 42
	135 46
	131 46
	129 43
	128 40
	127 36
	126 33
	126 30
	125 27
	125 19
	125 16
	125 12
	125 9
	127 5
	130 4
	134 4
	139 7
	143 9
	144 12
	145 15
	146 18
	146 21
	146 17
	146 14
	146 11
	146 6
	147 3
	150 3
	154 6
	160 10
	162 14
	163 17
	165 21
	165 25
	163 29
	162 32
	159 34
	156 34
	152 33
	150 30
	150 27
	150 23
	154 22
	159 22
	162 22
	167 23
	172 23
.PEN_UP
.PEN_DOWN
	118 42
	121 44
	124 44
	127 44
	132 43
	136 43
	139 43
	149 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	93 50
	94 45
	94 42
	95 38
	95 29
	95 24
	96 19
	96 15
	96 12
	96 9
	96 3
	96 0
	97 3
	97 7
	100 12
	101 15
	104 17
	107 18
	111 18
	114 16
	115 12
	115 8
	114 5
	111 4
	108 4
	105 4
	102 5
	99 7
	96 8
	96 11
.PEN_UP
.PEN_DOWN
	125 26
	125 23
	124 19
	124 16
	124 13
	124 9
	125 6
	128 5
	130 9
	133 9
	134 13
	135 18
	136 22
	136 26
	136 22
	136 17
	136 14
	136 11
	139 8
	142 6
	146 8
	149 10
	151 13
	154 18
	155 21
	156 26
	157 32
	158 36
	158 39
	158 43
	156 36
	156 33
	155 29
	155 26
	155 22
	155 17
	156 12
	156 9
	157 5
	160 4
.PEN_UP
.PEN_DOWN
	142 33
	145 33
	150 33
	155 33
	160 33
	163 33
.PEN_UP
.PEN_DOWN
	105 30
	108 33
	112 38
	115 41
	117 44
	118 47
	120 50
	118 47
	117 44
	116 41
	116 38
	116 35
	116 32
	119 30
	123 31
	126 33
	129 36
	131 39
	132 42
	136 46
	139 51
	142 56
	145 60
	149 64
	152 69
	154 72
	151 72
	150 68
	148 65
	147 62
	145 59
	145 56
	144 52
	142 45
	142 41
	141 37
	141 33
	141 29
	140 25
	139 22
	139 18
	139 12
	139 9
	140 4
	141 0
	144 4
	144 7
	145 11
	146 15
	147 18
	148 22
	148 25
	145 25
	141 22
	144 22
	148 23
	151 24
	157 25
.PEN_UP
.PEN_DOWN
	116 69
	120 68
	124 67
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	100 24
	102 28
	107 31
	110 34
	113 35
	117 36
	121 36
	123 32
	123 29
	121 24
	120 19
	120 16
	119 12
	119 9
	123 9
	126 13
	129 16
	133 20
	136 25
	138 28
	141 31
	142 34
	140 31
	138 27
	138 23
	138 20
	138 17
	138 12
	138 7
	139 3
	140 0
	143 0
	148 3
	150 6
	151 9
	154 13
	155 16
	155 19
	155 23
	155 27
	157 30
	157 33
	158 30
	161 26
	162 23
	165 21
	169 18
	173 17
	177 17
	180 19
	183 20
	186 22
	188 25
	188 28
	187 31
	186 34
	181 35
	177 33
	174 30
	172 26
	172 23
	172 19
	172 16
	175 13
	179 12
	183 12
	188 13
	192 15
	195 18
	198 21
	199 24
	200 27
	201 31
	202 34
	203 37
	206 38
	208 35
	211 32
	212 29
	212 26
	213 23
	214 20
	217 18
	220 18
	223 18
	227 17
	230 18
	232 21
	234 26
	235 29
	235 33
	235 36
	234 39
	231 39
	229 36
	227 33
	225 29
	225 25
	225 21
	225 18
	226 15
	230 14
	233 13
	237 14
	239 14
.PEN_UP
.PEN_DOWN
	100 1
	105 7
	108 11
	109 14
	112 16
	114 19
	117 22
	118 25
	120 28
	120 31
	121 34
	121 38
	121 41
	120 38
	118 34
	117 26
	117 23
	117 19
	117 15
	117 11
	117 8
	120 6
	123 9
	127 11
	129 15
	130 19
	130 15
	130 10
	130 7
	131 4
	132 1
	135 0
	138 0
	141 2
	144 5
	146 9
	146 12
	146 15
	146 18
	145 22
	141 25
	135 25
	134 22
	135 19
	138 18
	142 18
	145 18
	149 18
	154 18
.PEN_UP
.PEN_DOWN
	108 40
	114 40
	117 40
	121 40
	126 40
	130 39
	134 39
	139 39
.PEN_UP
.PEN_DOWN
	119 28
	116 28
	112 26
	109 23
	106 21
	106 18
	105 15
	105 12
	106 9
	109 8
	112 6
	116 5
	120 5
	125 5
	128 7
	131 7
.PEN_UP
.PEN_DOWN
	135 26
	135 29
	135 26
	135 22
	135 18
	135 14
	136 11
	137 8
	138 11
	139 15
	142 18
	145 22
	149 24
	152 24
	156 19
.PEN_UP
.PEN_DOWN
	166 25
	166 22
	166 19
	166 14
	166 11
	167 8
	171 7
	174 9
	177 13
	181 16
	183 20
	186 24
	184 19
	184 16
	184 13
	186 9
	190 6
.PEN_UP
.PEN_DOWN
	201 24
	197 22
	194 20
	193 17
	194 14
	196 11
	201 9
	204 8
	206 5
	203 3
	199 3
	195 0
	196 3
	203 8
.PEN_UP
.PEN_DOWN
	223 42
	223 45
	223 42
	222 38
	222 35
	222 30
	222 25
	221 20
	220 16
	220 11
	219 7
	222 9
	226 12
	229 15
	233 14
	233 11
	233 7
	233 4
	234 1
	239 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	92 26
	92 21
	92 18
	92 14
	93 11
	94 8
	98 10
	101 14
	102 18
	105 21
	105 16
	105 13
	106 10
	108 7
	111 6
	115 6
	118 6
	122 9
	122 12
	123 15
	123 19
	121 22
	121 23
.PEN_UP
.PEN_DOWN
	132 18
	131 15
	130 12
	130 9
	130 6
	130 3
	132 0
	136 0
	140 2
	144 5
	148 10
	150 13
	150 16
	147 19
