
.WRITER_ID Kristin_Weber
1944 15520
1945 15491
1940 15456
1938 15429
1938 15409
1940 15397
1944 15393
1949 15393
1958 15399
1971 15416
1982 15442
1994 15475
2003 15508
2012 15525
2012 15526
2015 15520
2016 15489
2014 15445
2014 15393
2021 15338
2036 15286
2055 15236
2068 15195
2067 15165
2051 15142
2031 15129
1997 15128
1971 15143
1958 15169
1952 15214
1963 15269
1985 15311
2011 15342
2038 15363
2057 15374
2064 15380
2062 15387
.PEN_UP
.PEN_DOWN
1788 15702
1782 15710
1773 15718
1763 15720
.PEN_UP
.PEN_DOWN
497 15171
500 15195
507 15214
513 15223
516 15224
523 15211
534 15169
540 15113
542 15055
543 15010
542 14979
541 14964
541 14961
541 14964
541 14990
543 15026
547 15066
555 15104
565 15119
575 15117
592 15092
604 15052
610 15014
608 14982
603 14956
595 14943
588 14937
577 14938
561 14947
547 14959
534 14973
529 14983
529 14983
537 14982
558 14973
580 14967
605 14967
632 14977
656 14992
677 15013
690 15035
694 15064
690 15096
679 15125
672 15133
662 15123
650 15083
647 15035
653 14996
666 14973
679 14960
689 14956
701 14963
714 14982
724 15009
729 15044
731 15077
729 15100
728 15102
724 15079
722 15038
725 14999
733 14973
746 14956
763 14950
783 14956
801 14970
813 14989
818 15013
816 15042
.PEN_UP
.PEN_DOWN
733 15178
730 15181
731 15182
729 15182
733 15182
742 15181
.PEN_UP
.PEN_DOWN
792 15130
798 15116
805 15091
808 15062
807 15035
805 15016
803 15003
802 14999
803 14999
803 15012
807 15038
813 15070
820 15096
823 15107
826 15107
835 15087
840 15052
846 15024
856 15005
867 14995
881 14992
902 15003
924 15025
942 15051
956 15079
961 15106
957 15129
948 15139
934 15139
917 15126
901 15100
891 15065
890 15035
896 15012
911 14999
927 14999
943 15005
957 15022
966 15048
972 15075
969 15104
964 15126
959 15132
957 15132
955 15119
956 15096
963 15068
974 15030
989 14983
1006 14933
1021 14885
1026 14849
1021 14823
1011 14807
998 14800
978 14800
956 14809
941 14830
937 14868
944 14907
959 14934
974 14951
989 14961
1006 14970
1025 14979
.PEN_UP
.PEN_DOWN
1155 15012
1154 14999
1160 14983
1171 14969
1181 14963
1193 14966
1208 14978
1223 15003
1238 15032
1247 15065
1254 15094
1260 15119
1266 15130
1273 15132
1289 15123
1308 15103
1325 15071
1336 15032
1340 14996
1338 14970
1332 14956
1326 14950
1315 14947
1295 14951
1273 14960
1252 14966
1239 14973
1236 14973
1236 14973
1245 14963
1258 14953
1279 14951
1303 14953
1325 14963
1349 14977
1373 14994
1393 15016
1407 15041
1413 15068
1416 15087
1414 15096
1414 15096
1414 15096
1416 15087
1416 15061
1419 15030
1421 14993
1423 14956
1427 14914
1432 14876
1435 14846
1438 14824
1436 14811
1433 14807
1434 14807
1427 14820
1419 14845
1414 14895
1416 14967
1423 15041
1433 15091
1442 15112
1449 15117
1460 15113
1481 15090
1496 15054
1503 15013
1500 14977
1492 14951
1482 14934
1472 14927
1458 14927
1440 14934
1423 14943
1416 14951
1416 14956
1417 14957
1429 14956
1455 14955
1481 14960
1509 14969
1538 14983
1565 15005
1590 15031
1604 15057
1609 15081
1603 15104
1588 15113
1562 15096
1537 15057
1522 15012
1520 14977
1529 14951
1545 14934
1565 14931
1590 14936
1617 14954
1640 14980
1657 15013
1668 15051
1674 15083
1676 15094
1676 15094
1679 15081
1682 15048
1684 15013
1685 14975
1689 14951
1691 14940
1692 14937
1692 14937
1692 14947
1694 14973
1700 15012
1711 15055
1723 15084
1727 15087
1730 15071
1731 15035
1732 15003
1739 14983
1752 14973
1770 14973
1794 14982
1819 15000
1841 15029
1858 15074
1865 15132
1861 15184
1852 15208
1843 15203
1826 15168
1817 15119
1813 15065
1817 15016
1828 14982
1843 14960
1862 14953
1886 14957
1914 14978
1940 15005
1952 15035
.PEN_UP
.PEN_DOWN
1730 15103
1750 15122
1780 15139
1817 15153
1857 15159
1886 15162
1904 15155
.PEN_UP
