.WRITER_ID	ghr
2352 2822
2352 2818
2352 2809
2356 2805
2356 2797
2356 2793
2356 2784
2364 2776
2364 2772
2364 2763
2356 2759
2356 2751
2356 2746
2356 2738
2356 2734
2356 2725
2364 2725
2368 2725
2377 2734
2385 2734
2389 2738
2398 2738
2410 2746
2415 2746
2423 2751
2431 2759
2436 2759
2444 2763
2448 2763
2457 2772
2457 2776
2461 2776
.PEN_UP
.PEN_DOWN
2415 2776
2431 2776
2431 2784
2431 2776
2436 2776
2436 2784
2444 2784
2448 2784
2457 2784
2457 2793
2461 2793
2461 2797
2469 2797
2473 2805
2473 2809
2482 2809
2482 2818
2490 2822
2490 2830
2490 2839
2482 2839
2482 2843
2473 2843
2469 2843
2461 2843
2461 2839
2457 2839
2457 2830
2448 2830
2444 2822
2436 2818
2431 2818
2431 2809
2423 2805
2423 2797
2415 2797
2415 2793
2415 2784
2410 2776
2410 2772
2410 2763
2410 2759
2415 2759
2415 2751
2423 2751
2431 2751
2436 2751
2444 2751
2448 2759
2457 2759
2461 2759
2469 2763
2473 2763
2490 2772
2494 2772
2507 2776
2515 2784
2520 2793
2528 2797
2536 2797
2541 2805
2549 2809
2553 2818
2562 2822
2566 2822
2566 2830
2574 2839
2574 2843
2583 2843
2574 2843
2574 2851
2566 2851
2562 2843
2553 2839
2549 2839
2549 2830
2549 2822
2541 2822
2541 2818
2549 2809
2549 2805
2553 2797
2562 2793
2566 2784
2574 2784
2574 2776
2583 2776
2583 2772
2583 2763
2583 2759
2574 2759
2566 2759
2562 2759
2553 2759
2549 2759
2541 2759
2536 2759
2536 2763
2528 2763
2520 2763
2520 2772
2528 2772
2536 2772
2541 2772
2549 2772
2553 2772
2562 2776
2566 2776
2574 2776
2583 2776
2587 2784
2595 2784
2599 2793
2608 2797
2612 2797
2625 2805
2633 2809
2641 2809
2646 2818
2646 2822
2654 2822
2658 2830
2667 2839
2671 2843
2671 2851
2679 2851
2679 2856
2679 2864
2671 2864
2667 2864
2658 2856
2654 2856
2654 2851
2646 2851
2646 2843
2641 2839
2641 2830
2641 2822
2641 2818
2646 2809
2646 2805
2654 2805
2654 2797
2658 2793
2667 2784
2671 2776
2679 2772
2679 2763
2671 2763
2671 2759
2667 2759
2658 2759
2654 2759
2646 2759
2641 2759
2633 2763
2625 2763
2620 2763
2620 2772
2620 2763
2625 2763
2633 2763
2633 2772
2641 2763
2641 2772
2646 2763
2654 2772
2654 2763
.PEN_UP

.PEN_DOWN
180 2402
189 2410
189 2415
189 2423
193 2431
193 2436
193 2444
193 2448
193 2457
189 2457
180 2457
176 2457
168 2457
163 2457
155 2448
147 2448
147 2444
142 2444
134 2436
130 2436
121 2431
121 2423
117 2415
109 2410
105 2402
105 2398
96 2389
96 2385
96 2377
96 2368
105 2368
105 2364
109 2364
117 2364
121 2368
130 2368
130 2377
134 2377
142 2385
147 2385
147 2389
155 2389
163 2398
168 2402
176 2410
180 2415
180 2423
189 2423
180 2431
189 2431
180 2431
180 2423
176 2423
176 2415
168 2410
168 2402
168 2398
163 2389
163 2385
168 2385
168 2377
168 2368
176 2368
180 2364
189 2364
193 2364
201 2364
210 2364
210 2368
214 2368
222 2368
222 2377
226 2377
226 2385
235 2385
239 2385
.PEN_UP
.PEN_DOWN
298 2389
315 2410
315 2415
315 2423
306 2431
298 2431
294 2431
285 2431
281 2431
273 2431
273 2423
268 2423
260 2423
260 2415
256 2415
256 2410
247 2402
239 2402
239 2398
235 2389
226 2389
226 2385
226 2377
226 2368
226 2364
226 2356
235 2356
239 2356
247 2356
256 2364
260 2364
260 2368
268 2368
273 2377
281 2385
285 2389
294 2398
298 2402
306 2410
315 2415
319 2423
327 2431
327 2444
331 2444
331 2448
340 2461
344 2469
344 2473
344 2482
340 2482
331 2473
327 2469
327 2461
319 2457
319 2448
315 2444
315 2436
315 2431
306 2423
306 2415
306 2410
298 2402
298 2398
298 2389
298 2385
298 2377
298 2368
298 2364
306 2356
315 2356
315 2364
319 2364
319 2368
327 2368
331 2377
331 2385
340 2385
344 2389
352 2398
361 2398
365 2402
365 2410
373 2415
378 2423
386 2431
386 2436
390 2436
390 2444
399 2444
399 2448
399 2444
399 2436
399 2431
390 2431
390 2423
390 2415
386 2415
386 2410
386 2402
386 2398
386 2389
386 2385
386 2377
390 2377
390 2368
399 2368
407 2368
411 2368
411 2377
420 2377
424 2385
432 2389
436 2398
436 2402
445 2402
445 2410
445 2415
449 2415
449 2423
457 2431
457 2436
466 2436
466 2444
466 2448
.PEN_UP
.PEN_DOWN
504 2385
529 2410
529 2415
537 2415
537 2423
541 2431
537 2436
537 2444
529 2444
525 2444
516 2444
512 2444
504 2444
495 2436
491 2436
483 2431
478 2431
470 2423
466 2423
457 2415
449 2410
445 2402
445 2398
436 2389
436 2385
436 2377
436 2368
445 2368
449 2368
457 2368
466 2377
470 2377
478 2385
483 2385
491 2389
495 2389
504 2398
512 2402
516 2410
525 2415
529 2415
529 2423
529 2415
525 2415
525 2410
516 2402
516 2398
512 2389
512 2385
512 2377
512 2368
516 2368
525 2368
529 2377
537 2385
541 2385
541 2389
550 2389
558 2389
558 2398
562 2402
571 2402
575 2410
583 2415
588 2423
596 2423
596 2415
596 2410
588 2402
588 2398
583 2389
575 2385
575 2377
583 2385
588 2389
596 2389
596 2398
600 2402
609 2402
617 2410
621 2415
630 2415
630 2423
634 2423
642 2423
642 2415
642 2410
642 2402
642 2398
634 2398
634 2389
634 2385
630 2377
630 2368
630 2364
630 2356
634 2364
642 2364
646 2364
655 2368
663 2377
667 2385
676 2385
680 2389
688 2398
693 2402
701 2410
709 2415
709 2423
714 2431
722 2436
722 2444
726 2448
726 2457
726 2461
735 2469
735 2473
735 2482
726 2490
726 2482
722 2473
722 2469
714 2461
714 2457
709 2448
709 2444
709 2436
701 2431
693 2423
693 2415
688 2410
688 2402
688 2398
680 2389
680 2385
680 2377
676 2377
676 2368
676 2364
676 2356
680 2356
688 2356
693 2356
701 2364
709 2364
714 2368
722 2377
726 2377
735 2385
739 2389
747 2389
751 2398
760 2402
768 2410
772 2410
772 2415
781 2423
781 2431
785 2436
785 2444
781 2444
772 2444
772 2436
768 2436
760 2436
760 2431
751 2431
747 2431
747 2423
739 2423
739 2415
735 2415
735 2410
726 2402
722 2398
722 2389
714 2389
714 2385
714 2377
714 2368
722 2368
726 2368
735 2377
739 2377
747 2385
751 2389
760 2389
760 2398
768 2398
772 2402
772 2410
781 2410
781 2415
785 2415
785 2423
793 2423
785 2423
785 2415
785 2410
781 2410
781 2402
781 2398
781 2389
781 2385
785 2385
793 2385
798 2385
806 2385
806 2389
814 2389
819 2389
827 2398
827 2402
827 2410
827 2415
819 2415
819 2423
814 2423
814 2431
.PEN_UP
.PEN_DOWN
688 2448
676 2448
676 2444
680 2444
688 2444
688 2448
693 2448
701 2448
709 2448
714 2448
722 2448
726 2448
735 2448
739 2448
739 2457
747 2457
751 2457
760 2457
768 2461
.PEN_UP
.PEN_DOWN
877 2398
886 2415
890 2415
890 2423
890 2431
890 2436
886 2436
886 2444
877 2444
873 2448
865 2448
861 2448
852 2448
844 2444
840 2444
831 2444
827 2436
819 2431
814 2431
814 2423
806 2415
798 2410
798 2402
798 2398
798 2389
806 2385
814 2385
819 2385
827 2385
831 2385
840 2389
844 2389
852 2398
861 2398
865 2402
873 2410
877 2410
877 2415
886 2415
890 2423
890 2415
890 2410
890 2402
890 2398
886 2389
886 2377
886 2364
877 2356
873 2343
873 2331
865 2318
865 2305
861 2293
852 2280
852 2272
844 2259
840 2247
840 2234
831 2226
827 2217
827 2213
819 2205
814 2205
814 2200
806 2200
798 2200
798 2205
798 2213
793 2217
793 2226
798 2234
798 2247
806 2259
806 2272
814 2284
819 2297
827 2310
840 2322
844 2339
861 2352
873 2364
886 2377
890 2389
903 2398
919 2410
924 2415
936 2423
945 2431
957 2431
966 2436
970 2444
978 2444
978 2448
978 2457
978 2461
970 2461
966 2461
957 2461
957 2457
949 2457
949 2448
945 2444
936 2444
936 2436
932 2431
932 2423
924 2415
924 2410
924 2402
924 2398
932 2389
936 2389
945 2385
949 2385
957 2385
966 2385
970 2385
978 2377
982 2385
991 2385
995 2385
1003 2385
1012 2385
1016 2385
1024 2385
1024 2389
1029 2389
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
214 1629
222 1633
222 1642
226 1642
226 1646
235 1646
235 1654
235 1659
235 1667
239 1667
239 1675
239 1680
235 1688
226 1692
222 1692
214 1692
210 1692
201 1688
193 1688
189 1688
189 1680
180 1680
176 1675
168 1675
163 1667
163 1659
155 1659
147 1654
147 1646
142 1642
142 1633
142 1629
134 1629
134 1621
134 1612
134 1608
142 1600
147 1600
155 1600
163 1600
168 1608
176 1608
180 1612
189 1621
193 1629
201 1629
210 1633
214 1642
222 1646
226 1654
235 1659
239 1659
239 1667
235 1667
235 1659
226 1659
226 1654
222 1646
214 1642
214 1633
210 1633
210 1629
201 1629
201 1621
201 1612
193 1612
193 1608
193 1600
193 1596
193 1587
201 1587
210 1587
214 1587
214 1596
222 1596
226 1600
235 1600
239 1608
247 1608
256 1612
260 1621
268 1629
273 1629
281 1633
285 1633
294 1642
298 1646
306 1646
315 1646
315 1654
319 1654
327 1654
327 1646
327 1642
327 1633
319 1633
319 1629
319 1621
315 1621
315 1612
306 1608
306 1600
298 1600
298 1596
298 1587
306 1587
306 1596
315 1596
315 1600
319 1608
327 1608
327 1612
331 1612
340 1621
344 1629
352 1629
361 1633
365 1633
365 1642
373 1642
378 1642
386 1646
390 1646
399 1646
399 1642
399 1633
390 1629
390 1621
386 1621
386 1612
386 1608
378 1608
378 1600
373 1596
378 1600
378 1608
386 1608
386 1612
390 1612
399 1621
399 1629
407 1629
411 1633
420 1633
424 1642
432 1646
436 1646
445 1654
449 1654
457 1654
466 1659
470 1654
478 1654
478 1646
483 1646
483 1642
483 1633
483 1629
483 1621
483 1612
478 1608
478 1600
478 1596
483 1596
491 1596
495 1596
504 1600
512 1600
512 1608
516 1608
529 1612
537 1621
541 1629
550 1629
550 1633
558 1642
562 1646
571 1654
575 1659
575 1667
.PEN_UP

.PEN_DOWN
2129 1629
2129 1633
2129 1642
2133 1642
2133 1646
2133 1654
2133 1659
2142 1659
2142 1667
2142 1675
2142 1680
2146 1680
2142 1688
2142 1692
2133 1692
2129 1692
2121 1692
2112 1692
2112 1688
2108 1688
2100 1688
2095 1680
2087 1675
2083 1667
2074 1659
2066 1659
2066 1654
2066 1646
2062 1642
2053 1633
2053 1629
2049 1621
2049 1612
2049 1608
2049 1600
2053 1600
2062 1600
2066 1600
2066 1608
2074 1608
2083 1608
2083 1612
2087 1612
2095 1621
2100 1629
2108 1629
2112 1633
2121 1633
2129 1642
2133 1646
2133 1654
2142 1654
2142 1659
2146 1659
2142 1659
2142 1654
2133 1654
2133 1646
2129 1646
2129 1642
2121 1633
2121 1629
2112 1629
2112 1621
2108 1612
2112 1608
2108 1608
2112 1600
2112 1596
2121 1596
2129 1596
2133 1596
2142 1600
2146 1600
2154 1608
2158 1608
2171 1612
2179 1612
2188 1621
2192 1629
2200 1629
2213 1633
2217 1633
2226 1642
2234 1642
2238 1646
2247 1646
2251 1654
2259 1654
2263 1654
2263 1646
2263 1642
2259 1633
2259 1629
2251 1629
2251 1621
2247 1621
2247 1612
2247 1608
2238 1608
2238 1600
2234 1608
2238 1608
2247 1612
2251 1612
2251 1621
2259 1621
2263 1629
2272 1629
2280 1633
2284 1633
2293 1642
2297 1642
2305 1642
2310 1646
2318 1646
2322 1646
2322 1654
2331 1654
2339 1654
2343 1646
2343 1642
2343 1633
2339 1633
2339 1629
2331 1621
2322 1621
2322 1612
2318 1608
2310 1600
2305 1600
2310 1608
2318 1612
2322 1621
2331 1629
2339 1629
2343 1629
2352 1633
2356 1642
2364 1642
2368 1642
2385 1646
2389 1646
2389 1654
2398 1654
2402 1654
2410 1654
2415 1654
2423 1654
2423 1646
2423 1642
2415 1642
2415 1633
2415 1629
2415 1621
2410 1612
2410 1608
2410 1600
2415 1596
2415 1587
2423 1583
2431 1583
2436 1583
2444 1583
2448 1583
2457 1583
2461 1587
2473 1587
2482 1596
2490 1596
2494 1600
2503 1608
2507 1612
2515 1621
2520 1629
2528 1633
2528 1642
2536 1646
2536 1654
2541 1659
2541 1667
2536 1675
2528 1675
2520 1667
2515 1667
2507 1659
2507 1654
2503 1654
2494 1646
2490 1642
2482 1633
2473 1633
2473 1629
2469 1629
2461 1621
2461 1612
2457 1612
2457 1608
2457 1600
2448 1600
2448 1596
2448 1587
2457 1587
2461 1587
2461 1596
2469 1596
2473 1596
2473 1600
2482 1600
2490 1608
2494 1608
2494 1612
2503 1612
2507 1621
2515 1621
2520 1629
2528 1633
2536 1642
2536 1646
2541 1646
2541 1642
2536 1642
2536 1633
2528 1633
2528 1629
2520 1621
2520 1612
2520 1608
2515 1600
2515 1596
2520 1596
2520 1587
2520 1583
2528 1583
2536 1583
2541 1583
2549 1583
2553 1583
2562 1583
2566 1587
2574 1587
2574 1596
2583 1596
2583 1600
2583 1608
2587 1612
2587 1621
2595 1629
2595 1633
2595 1642
.PEN_UP
.PEN_DOWN
2553 1675
2553 1680
2562 1680
2562 1688
2566 1688
2566 1680
2574 1680
2583 1680
2587 1680
2587 1675
2587 1667
2587 1659
2583 1659
2574 1654
2566 1646
2562 1646
2553 1646
2562 1646
2566 1646
2574 1646
2583 1646
2587 1646
2595 1646
2599 1642
2608 1642
2612 1633
2620 1633
2633 1629
2633 1621
2641 1612
2646 1608
2646 1600
2646 1587
2646 1583
2646 1575
2646 1562
2641 1554
2641 1541
2633 1537
2625 1528
2620 1524
2612 1516
2608 1503
2595 1503
2587 1495
2583 1491
2574 1491
2562 1482
2553 1482
2549 1482
2541 1482
2536 1482
2528 1491
2520 1491
2520 1495
2520 1503
2520 1507
2520 1516
2520 1524
2520 1537
2528 1541
2536 1554
2541 1562
2549 1575
2562 1583
2566 1596
2583 1600
2595 1612
2599 1621
2612 1629
2625 1633
2641 1633
2646 1642
2654 1646
2667 1646
2671 1654
2679 1654
2688 1654
2692 1654
2700 1654
2704 1654
2713 1654
2704 1654
2700 1654
2700 1646
2700 1654
2700 1646
2700 1654
2692 1654
2700 1654
2692 1654
2700 1654
2692 1654
2700 1659
2700 1667
2700 1659
2692 1659
2692 1654
2688 1654
2688 1646
2679 1646
2679 1642
2671 1642
2671 1633
2667 1633
2667 1629
2658 1629
2658 1621
2658 1612
2654 1612
2654 1608
2654 1600
2658 1600
2658 1596
2667 1596
2671 1600
2679 1600
2688 1600
2692 1608
2700 1608
2704 1612
2713 1612
2717 1621
2734 1621
2738 1629
2746 1629
2751 1633
2759 1633
2763 1633
2772 1642
2776 1642
2776 1646
2784 1646
2793 1646
2797 1646
2805 1646
2805 1642
2805 1633
2805 1629
2797 1629
2797 1621
2797 1612
2793 1608
2793 1600
2784 1600
2784 1596
2784 1600
2793 1608
2793 1612
2797 1612
2805 1621
2809 1621
2818 1629
2822 1629
2830 1633
2839 1633
2843 1642
2851 1642
2856 1646
2864 1646
2868 1646
2877 1646
2885 1646
2885 1642
2889 1642
2889 1633
2889 1629
2885 1621
2889 1612
2889 1608
2889 1600
2898 1596
2902 1596
2910 1587
2910 1596
2914 1596
2923 1596
2927 1596
2935 1596
2935 1600
2948 1600
2956 1608
2961 1608
2969 1612
2973 1621
2982 1629
2990 1629
2994 1633
3003 1642
3007 1646
3015 1654
3015 1659
3019 1667
3028 1675
3028 1680
3028 1688
3019 1688
3015 1688
3007 1688
3003 1688
2994 1680
2990 1675
2982 1675
2973 1667
2969 1667
2969 1659
2961 1654
2956 1654
2956 1646
2948 1646
2944 1642
2944 1633
2935 1633
2935 1629
2935 1621
2935 1612
2944 1612
2944 1621
2948 1621
2956 1621
2961 1621
2961 1629
2969 1629
2973 1629
2982 1633
2990 1633
2994 1642
3003 1642
3007 1646
3015 1646
3019 1646
3028 1654
3036 1654
3040 1654
3040 1646
3040 1642
3040 1633
3040 1629
3036 1621
3036 1612
3036 1608
3028 1596
3019 1583
3015 1575
3007 1562
3003 1549
2994 1537
2990 1524
2973 1507
2969 1495
2961 1482
2956 1470
2948 1461
2944 1457
2935 1449
2935 1444
2927 1436
2923 1436
2914 1436
2914 1444
2914 1449
2914 1457
2923 1461
2923 1478
2927 1491
2935 1503
2944 1507
2948 1524
2956 1537
2969 1549
2973 1562
2982 1570
2990 1575
3003 1587
3007 1596
3015 1600
3028 1608
3036 1612
3040 1612
3049 1621
3053 1621
3061 1621
3066 1629
3066 1621
3074 1621
3078 1621
3074 1621
3066 1621
3061 1621
.PEN_UP
.PEN_DOWN
2704 1701
2700 1705
2704 1705
2704 1701
2713 1701
2713 1692
2717 1692
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
2133 1239
2142 1247
2142 1251
2146 1251
2146 1260
2146 1268
2146 1272
2146 1281
2146 1285
2146 1293
2142 1293
2133 1293
2129 1293
2121 1293
2112 1293
2108 1285
2100 1285
2095 1285
2087 1281
2083 1281
2074 1272
2066 1268
2066 1260
2062 1260
2053 1251
2053 1247
2049 1247
2049 1239
2041 1239
2041 1234
2041 1226
2041 1222
2041 1213
2049 1213
2053 1213
2062 1213
2066 1222
2074 1222
2083 1226
2087 1226
2095 1234
2100 1234
2108 1239
2112 1247
2121 1247
2129 1247
2129 1251
2133 1260
2142 1260
2146 1260
2146 1268
2146 1260
2142 1260
2142 1251
2133 1251
2133 1247
2129 1239
2129 1234
2121 1226
2121 1222
2121 1213
2121 1205
2129 1205
2133 1205
2142 1213
2146 1213
2154 1222
2158 1222
2167 1226
2171 1234
2179 1234
2192 1239
2200 1247
2205 1247
2213 1251
2217 1251
2226 1260
2234 1260
2238 1268
2247 1268
2251 1272
2259 1272
2259 1268
2259 1260
2259 1251
2251 1251
2251 1247
2247 1247
2247 1239
2247 1234
2238 1234
2238 1226
2238 1222
2234 1222
2238 1222
2247 1226
2251 1234
2259 1234
2259 1239
2263 1239
2272 1247
2280 1247
2284 1251
2293 1251
2297 1251
2305 1260
2310 1260
2318 1268
2322 1268
2331 1268
2339 1272
2343 1268
2343 1260
2343 1251
2343 1247
2343 1239
2339 1234
2343 1226
2343 1222
2343 1213
2352 1205
2356 1205
2356 1201
2364 1201
2368 1201
2377 1201
2385 1201
2385 1205
2389 1205
2398 1205
2402 1213
2410 1213
2415 1222
2431 1222
2436 1226
2444 1234
2448 1239
2457 1239
2457 1247
2461 1251
2469 1260
2473 1268
2473 1272
2482 1281
2482 1285
2482 1293
2473 1293
2469 1293
2461 1293
2461 1285
2457 1285
2448 1285
2448 1281
2444 1281
2436 1272
2431 1272
2431 1268
2423 1260
2415 1260
2415 1251
2410 1247
2402 1239
2398 1234
2398 1226
2398 1222
2398 1213
2402 1213
2410 1222
2415 1222
2415 1226
2423 1226
2431 1226
2431 1234
2436 1239
2444 1239
2448 1247
2457 1247
2457 1251
2461 1251
2461 1260
2469 1260
2473 1260
2473 1268
2482 1268
2473 1268
2473 1260
2469 1251
2469 1247
2461 1247
2461 1239
2461 1234
2457 1234
2457 1226
2457 1222
2457 1213
2457 1205
2461 1205
2469 1205
2473 1205
2482 1205
2490 1205
2494 1213
2503 1213
2503 1222
2507 1226
2515 1226
2520 1234
2528 1239
2536 1247
2541 1251
2549 1268
2553 1272
2562 1281
2566 1285
2574 1297
2583 1306
2583 1310
2587 1318
2595 1327
2595 1331
2595 1339
2587 1339
2587 1331
2583 1331
2574 1327
2574 1318
2566 1318
2562 1310
2553 1306
2549 1297
2541 1293
2541 1285
2536 1281
2536 1272
2528 1268
2520 1260
2520 1251
2520 1247
2515 1247
2515 1239
2515 1234
2515 1226
2507 1222
2515 1213
2515 1205
2515 1201
2520 1201
2528 1201
2536 1205
2541 1205
2549 1213
2553 1213
2562 1213
2566 1222
2574 1226
2583 1234
2587 1234
2595 1239
2599 1247
2608 1251
2612 1251
2612 1260
2620 1260
2620 1268
2625 1268
2625 1272
2625 1268
2620 1268
2620 1260
2612 1251
2612 1247
2608 1247
2608 1239
2599 1234
2599 1226
2595 1222
2595 1213
2599 1205
2608 1205
2612 1205
2620 1205
2625 1213
2633 1213
2641 1222
2646 1222
2646 1226
2654 1234
2658 1234
2667 1239
2671 1247
2679 1247
2688 1251
2688 1260
2692 1260
2692 1268
2700 1268
2704 1272
2713 1268
2713 1260
2704 1260
2704 1251
2704 1247
2700 1247
2700 1239
2700 1226
2692 1222
2692 1205
2692 1201
2688 1192
2679 1180
2679 1167
2671 1159
2667 1146
2658 1142
2654 1129
2654 1121
2646 1117
2646 1100
2641 1096
2633 1087
2625 1083
2620 1083
2612 1083
2608 1083
2608 1087
2608 1096
2608 1100
2608 1108
2612 1117
2612 1121
2620 1134
2625 1142
2633 1155
2646 1167
2654 1180
2658 1188
2671 1201
2688 1205
2692 1222
2704 1226
2717 1239
2725 1247
2738 1251
2746 1260
2759 1268
2763 1272
2772 1281
2776 1281
2784 1285
2793 1285
2793 1293
2797 1293
2805 1297
2809 1297
2809 1306
2805 1297
2797 1293
2793 1293
2793 1285
2784 1281
2784 1272
2776 1272
2776 1268
2776 1260
2776 1251
2776 1247
2784 1239
2784 1234
2793 1234
2793 1226
2793 1222
2797 1222
2793 1222
2793 1213
2793 1205
2784 1205
2776 1205
2772 1205
2763 1205
2759 1205
2751 1205
2746 1205
2738 1205
2738 1213
2746 1222
2751 1222
2759 1222
2763 1226
2772 1226
2776 1226
2793 1234
2797 1234
2805 1239
2818 1239
2822 1247
2839 1247
2843 1247
2851 1251
2856 1251
2868 1260
2877 1260
2885 1268
2889 1268
2898 1272
2902 1272
2910 1281
2902 1281
2902 1272
2898 1272
2898 1268
2889 1268
2885 1260
2877 1251
2877 1247
2868 1247
2868 1239
2864 1234
2864 1226
2864 1222
2856 1222
2864 1222
2864 1213
2868 1213
2877 1213
2877 1222
2885 1222
2889 1222
2898 1226
2902 1234
2910 1234
2914 1239
2923 1247
2927 1251
2944 1251
2956 1260
2961 1272
2969 1281
2973 1281
2982 1285
2990 1293
3003 1297
3007 1306
3015 1310
3019 1310
3019 1318
3028 1318
3019 1318
3015 1310
3007 1310
3007 1306
3003 1306
3003 1297
2994 1293
2994 1285
2994 1281
3003 1272
3003 1268
3007 1268
3015 1260
3015 1251
3019 1251
3028 1247
3036 1247
3036 1239
3040 1239
3040 1234
3040 1226
3049 1226
3049 1222
3040 1222
3036 1213
3028 1213
3019 1213
3015 1213
3007 1213
3003 1213
2994 1213
2990 1213
2982 1213
2973 1213
2973 1222
2969 1222
2961 1226
2961 1234
2961 1239
2961 1247
2961 1251
.PEN_UP
.PEN_DOWN
2889 1339
2898 1344
2898 1339
2898 1331
2898 1327
2898 1331
.PEN_UP

.PEN_DOWN
193 852
201 861
201 865
210 865
210 873
210 877
210 886
210 890
201 890
201 898
193 903
189 903
189 911
180 911
176 911
168 911
163 911
155 903
147 898
142 890
134 890
134 886
130 877
121 877
121 873
117 873
117 865
109 861
105 852
105 844
105 840
96 840
96 831
105 831
105 827
109 827
117 827
121 831
130 831
134 840
142 840
147 840
155 844
168 844
176 852
176 861
180 861
189 865
193 873
201 873
210 877
214 886
222 886
222 890
214 886
210 877
201 873
193 865
193 861
189 852
189 844
180 840
180 831
180 827
176 827
176 819
176 814
180 814
180 806
189 806
193 814
210 814
214 819
226 819
235 827
239 831
247 840
256 840
260 844
