.VERSION 1.0
.INCLUDE kai/word.lex
.INCLUDE kai/kai2.doc
.INCLUDE kai/data/kai2/yslee6.dat
.SEGMENT CHARACTER 32:0-33:38 OK  "B"
.SEGMENT CHARACTER 255:0-255:20 OK  "e"
.SEGMENT CHARACTER 255:21-255:24 OK  "\@"
.SEGMENT CHARACTER 255:25-255:54 OK  "n"
.SEGMENT CHARACTER 271:0-273:10 OK  "R"
.SEGMENT CHARACTER 274:0-274:23 OK  "e"
.SEGMENT CHARACTER 274:24-274:28 OK  "\@"
.SEGMENT CHARACTER 275:0-276:26 OK  "a"
.SEGMENT CHARACTER 276:27-276:28 OK  "\@"
.SEGMENT CHARACTER 276:29-277:48 OK  "d"
.SEGMENT CHARACTER 278:0-279:33 OK  "R"
.SEGMENT CHARACTER 280:0-280:27 OK  "o"
.SEGMENT CHARACTER 281:0-281:15 OK  "c"
.SEGMENT CHARACTER 281:16-281:19 OK  "\@"
.SEGMENT CHARACTER 282:0-283:13 OK  "k"
.SEGMENT CHARACTER 284:0-285:30 OK  "R"
.SEGMENT CHARACTER 286:0-286:23 OK  "u"
.SEGMENT CHARACTER 287:0-287:23 OK  "n"
.SEGMENT CHARACTER 292:0-292:32 OK  "S"
.SEGMENT CHARACTER 293:0-293:36 OK  "h"
.SEGMENT CHARACTER 294:0-294:26 OK  "a"
.SEGMENT CHARACTER 295:0-295:19 OK  "l"
.SEGMENT CHARACTER 296:0-296:17 OK  "l"
.SEGMENT CHARACTER 307:0-308:19 OK  "T"
.SEGMENT CHARACTER 309:0-309:34 OK  "h"
.SEGMENT CHARACTER 310:0-310:27 OK  "a"
.SEGMENT CHARACTER 311:0-311:29 OK  "n"
.SEGMENT CHARACTER 323:0-323:49 OK  "U"
.SEGMENT CHARACTER 324:0-324:22 OK  "s"
.SEGMENT CHARACTER 325:0-325:24 OK  "e"
.SEGMENT CHARACTER 325:25-325:29 OK  "\@"
.SEGMENT CHARACTER 331:0-331:40 OK  "V"
.SEGMENT CHARACTER 332:0-333:5 OK  "i"
.SEGMENT CHARACTER 334:0-334:20 OK  "o"
.SEGMENT CHARACTER 335:0-335:16 OK  "l"
.SEGMENT CHARACTER 336:0-337:3 OK  "i"
.SEGMENT CHARACTER 338:0-338:27 OK  "n"
.SEGMENT CHARACTER 339:0-339:31 OK  "V"
.SEGMENT CHARACTER 340:0-341:5 OK  "i"
.SEGMENT CHARACTER 342:0-342:19 OK  "s"
.SEGMENT CHARACTER 343:0-344:5 OK  "i"
.SEGMENT CHARACTER 345:0-346:22 OK  "t"
.SEGMENT CHARACTER 347:0-347:63 OK  "W"
.SEGMENT CHARACTER 348:0-348:27 OK  "a"
.SEGMENT CHARACTER 349:0-350:5 OK  "i"
.SEGMENT CHARACTER 351:0-352:20 OK  "t"
.SEGMENT CHARACTER 357:0-357:49 OK  "W"
.SEGMENT CHARACTER 358:0-358:30 OK  "h"
.SEGMENT CHARACTER 359:0-359:21 OK  "a"
.SEGMENT CHARACTER 359:22-359:24 OK  "\@"
.SEGMENT CHARACTER 359:25-360:7 OK  "t"
.SEGMENT CHARACTER 361:0-362:15 OK  "X"
.SEGMENT CHARACTER 363:0-363:37 OK  "m"
.SEGMENT CHARACTER 364:0-364:24 OK  "a"
.SEGMENT CHARACTER 365:0-365:13 OK  "s"
.SEGMENT CHARACTER 365:14-365:16 OK  "\@"
.SEGMENT CHARACTER 371:0-372:13 OK  "X"
.SEGMENT CHARACTER 373:0-374:14 OK  "t"
.SEGMENT CHARACTER 375:0-375:16 OK  "r"
.SEGMENT CHARACTER 376:0-376:33 OK  "a"
.SEGMENT CHARACTER 376:34-376:38 OK  "\@"
.SEGMENT CHARACTER 386:0-387:18 OK  "Y"
.SEGMENT CHARACTER 388:0-388:24 OK  "o"
.SEGMENT CHARACTER 389:0-389:23 OK  "u"
.SEGMENT CHARACTER 390:0-390:38 OK  "Z"
.SEGMENT CHARACTER 391:0-391:22 OK  "e"
.SEGMENT CHARACTER 391:23-391:28 OK  "\@"
.SEGMENT CHARACTER 392:0-392:16 OK  "r"
.SEGMENT CHARACTER 392:17-392:37 OK  "o"
.SEGMENT CHARACTER 392:38-392:42 OK  "\@"
.SEGMENT CHARACTER 393:0-393:4 OK  "\@"
