
.WRITER_ID Wally_Block
978 14888
976 14888
967 14888
951 14877
935 14867
924 14854
917 14837
916 14823
926 14810
942 14807
960 14813
980 14828
995 14847
1004 14864
1006 14874
1004 14874
999 14861
994 14837
992 14807
991 14769
993 14729
998 14703
1002 14685
1008 14682
.PEN_UP
.PEN_DOWN
1166 14854
1164 14857
1160 14861
1154 14861
1148 14860
1148 14861
1149 14861
1157 14864
1178 14868
1209 14875
1238 14877
1262 14878
1276 14874
1284 14872
1287 14865
1284 14855
1280 14841
1271 14827
1262 14807
1251 14787
1237 14764
1227 14742
1220 14723
1217 14712
1213 14702
1209 14692
1209 14689
.PEN_UP
.PEN_DOWN
1435 14882
1422 14872
1407 14850
1388 14817
1375 14777
1369 14736
1375 14699
1386 14683
1404 14678
1424 14685
1446 14700
1464 14720
1473 14732
1471 14742
1459 14749
1439 14753
1411 14746
1384 14736
1364 14719
1355 14699
.PEN_UP
.PEN_DOWN
662 14443
664 14450
663 14453
660 14453
649 14445
633 14419
615 14382
596 14334
579 14284
573 14240
577 14210
593 14196
617 14196
644 14209
663 14229
673 14247
671 14263
662 14274
647 14276
627 14270
611 14254
602 14233
601 14217
.PEN_UP
.PEN_DOWN
771 14385
768 14388
767 14385
767 14379
768 14369
775 14362
787 14354
802 14342
820 14327
833 14304
838 14279
837 14258
828 14240
811 14227
789 14219
768 14223
757 14236
756 14250
762 14271
776 14297
797 14331
824 14364
851 14395
862 14408
862 14419
851 14425
829 14423
804 14416
783 14400
773 14388
772 14379
.PEN_UP
.PEN_DOWN
933 14371
931 14375
931 14378
929 14372
923 14365
919 14355
919 14348
924 14337
935 14331
949 14320
964 14307
975 14294
979 14284
979 14271
971 14256
955 14246
937 14240
920 14238
906 14243
.PEN_UP
.PEN_DOWN
917 14369
917 14371
919 14375
930 14378
946 14381
970 14392
1000 14402
1029 14416
1053 14425
1066 14429
.PEN_UP
.PEN_DOWN
1157 14389
1147 14388
1139 14385
1133 14381
1130 14381
1130 14382
1137 14388
1158 14404
1188 14422
1215 14432
1233 14436
1242 14429
1244 14416
1239 14398
1226 14382
1211 14368
1199 14358
1192 14351
1191 14351
1191 14348
1199 14341
1213 14335
1233 14324
1251 14311
1257 14296
1256 14283
1248 14270
1233 14256
1217 14244
1202 14236
1188 14232
1179 14229
1177 14232
.PEN_UP
.PEN_DOWN
1337 14369
1348 14379
1360 14385
1371 14391
1384 14391
1398 14381
1406 14364
1411 14341
1407 14319
1395 14294
1378 14267
1359 14248
1340 14240
1328 14240
1322 14250
1324 14262
1335 14277
1351 14291
1369 14301
1389 14304
1411 14294
1433 14283
1457 14267
1480 14256
1502 14253
.PEN_UP
