


.DATE		07 ? 93
.STYLE		MIXED
.WRITER_ID	swlee
	209 29
	208 26
	207 21
	205 18
	204 14
	203 11
	205 14
	207 15
.PEN_UP
.PEN_DOWN
	216 41
	219 41
	222 40
	226 40
	229 40
	232 40
	237 40
	235 42
.PEN_UP
.PEN_DOWN
	243 71
	243 68
	243 64
	242 59
	241 56
	240 53
	239 50
	238 47
	238 43
	237 40
	235 35
	234 32
	234 28
	232 20
	232 17
	231 13
	231 9
	230 6
	230 3
	230 0
	233 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	139 58
	136 60
	133 60
	130 59
	127 59
	123 57
	120 54
	117 51
	115 48
	113 45
	111 42
	110 39
	108 35
	107 32
	105 28
	105 25
	105 20
	106 16
	107 13
	109 10
	112 7
	115 7
	119 8
	122 9
	126 11
	129 14
	131 17
	135 22
	136 25
	137 26
.PEN_UP
.PEN_DOWN
	169 67
	167 63
	165 60
	163 56
	159 50
	158 47
	157 43
	155 40
	153 37
	151 33
	150 30
	148 27
	147 23
	145 20
	143 17
	140 10
	139 6
	137 3
	135 0
	138 3
	139 4
.PEN_UP
.PEN_DOWN
	168 59
	168 54
	168 51
	168 46
	168 42
	168 37
	168 31
	168 28
	167 23
	167 18
	167 14
	167 11
	168 6
	168 3
	168 6
	169 7
.PEN_UP
.PEN_DOWN
	156 40
	161 39
	164 38
	167 37
	170 37
	173 36
	175 37
.PEN_UP
.PEN_DOWN
	197 62
	197 59
	195 56
	195 53
	193 49
	192 45
	189 39
	188 35
	186 32
	184 29
	183 26
	182 23
	180 18
	179 15
	177 11
	176 6
	175 3
	178 6
	179 8
.PEN_UP
.PEN_DOWN
	194 63
	194 59
	195 53
	195 48
	195 44
	196 41
	196 37
	197 33
	199 27
	200 23
	201 20
	202 17
	203 14
	204 11
	207 8
	210 6
	213 6
	215 9
	217 12
	218 15
	220 18
	221 21
	222 24
	223 27
	224 30
	225 34
	225 37
	226 41
	227 44
	227 48
	227 55
	227 59
	227 62
	227 66
	226 70
	224 73
.PEN_UP
.PEN_DOWN
	99 72
	97 75
	94 76
	90 77
	87 76
	84 75
	80 74
	76 72
	72 69
	70 66
	68 62
	66 58
	64 55
	64 51
	63 46
	63 43
	63 38
	63 33
	63 30
	64 27
	67 24
	69 21
	72 19
	78 19
	83 21
	86 23
	89 24
	94 26
	97 30
	99 34
.PEN_UP
.PEN_DOWN
	111 80
	113 77
	116 77
	120 76
	123 76
	126 76
	129 76
	133 76
	134 77
.PEN_UP
.PEN_DOWN
	127 73
	126 69
	126 65
	124 62
	124 58
	123 54
	122 50
	122 47
	121 44
	121 41
	121 38
	120 35
	119 31
	119 28
	118 25
	115 26
	112 26
	109 26
	106 26
	110 26
	114 26
	118 26
	122 27
	126 27
	129 27
	132 28
	133 28
.PEN_UP
.PEN_DOWN
	137 70
	140 70
	143 70
	149 70
	152 70
	155 70
	162 70
	165 70
	169 70
	173 70
	176 70
	174 72
.PEN_UP
.PEN_DOWN
	158 69
	158 65
	157 60
	155 54
	155 49
	154 45
	154 42
	154 38
	153 33
	152 30
	151 26
	151 23
	150 18
	150 13
	149 9
	147 6
	148 9
	150 11
.PEN_UP
.PEN_DOWN
	168 84
	168 81
	169 78
	171 75
	172 72
	173 68
	175 64
	177 61
	179 58
	182 53
	183 50
	185 47
	187 44
	191 47
.PEN_UP
.PEN_DOWN
	217 74
	214 71
	210 69
	206 66
	203 63
	199 60
	194 58
	191 55
	190 52
	190 48
	190 44
	189 40
	189 36
	189 33
	188 28
	187 23
	186 20
	185 16
	184 10
	183 7
	182 4
	182 1
	183 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	94 77
	93 73
	93 69
	91 63
	90 58
	89 53
	88 50
	87 46
	86 43
	85 39
	84 34
	83 30
	82 27
	81 24
	80 21
	79 18
	79 22
	82 25
.PEN_UP
.PEN_DOWN
	95 79
	98 80
	102 80
	106 80
	109 79
	112 79
	115 77
	121 73
	124 70
	127 67
	129 63
	130 60
	130 56
	130 53
	129 50
	126 47
	123 43
	119 39
	115 36
	112 34
	104 28
	99 25
	94 22
	91 21
	87 19
	84 19
	80 19
	78 22
	78 25
	80 28
	81 28
.PEN_UP
.PEN_DOWN
	149 85
	147 82
	144 78
	143 75
	140 69
	138 65
	136 61
	135 56
	132 53
	130 49
	127 45
	126 41
	123 37
	122 33
	120 30
	118 26
	115 19
	114 16
	112 13
	110 9
	109 5
	108 2
	110 5
	113 8
	113 9
.PEN_UP
.PEN_DOWN
	145 83
	145 80
	145 75
	145 69
	145 66
	145 62
	145 58
	145 55
	144 51
	144 48
	144 45
	144 42
	144 38
	144 35
	144 31
	143 25
	143 22
	142 17
	142 13
	141 10
	140 7
	141 10
	142 12
.PEN_UP
.PEN_DOWN
	128 46
	131 46
	137 46
	141 46
	144 46
	150 46
	153 45
	154 45
.PEN_UP
.PEN_DOWN
	163 84
	164 80
	165 77
	167 71
	167 68
	168 65
	169 62
	169 59
	170 56
	170 52
	170 49
	171 45
	171 42
	171 39
	171 36
	172 39
	175 42
.PEN_UP
.PEN_DOWN
	209 77
	206 75
	202 72
	197 69
	193 66
	190 64
	187 61
	181 58
	179 55
	178 52
	177 48
	176 44
	175 40
	175 36
	172 30
	171 27
	170 24
	169 21
	168 18
	165 13
	164 9
	163 6
	162 3
	162 0
	164 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	64 66
	69 63
	73 63
	76 63
	79 63
	82 63
	85 63
	88 62
	93 61
	97 61
	100 61
	103 61
	100 63
.PEN_UP
.PEN_DOWN
	70 72
	70 68
	70 64
	69 59
	69 56
	69 52
	68 49
	68 44
	68 40
	68 37
	68 33
	67 26
	67 23
	67 20
	67 17
	66 12
	66 9
	66 6
	66 3
	70 4
	73 4
	77 4
	80 5
	85 6
	89 6
	93 6
	96 6
	99 7
	96 10
.PEN_UP
.PEN_DOWN
	71 31
	74 32
	78 32
	81 32
	85 32
	89 32
	92 32
	95 31
	98 30
.PEN_UP
.PEN_DOWN
	105 63
	105 59
	105 56
	105 53
	104 50
	104 47
	104 44
	103 41
	102 38
	102 34
	102 26
	102 23
	101 20
	101 16
	101 11
	101 7
	101 3
	101 0
	102 4
	102 5
.PEN_UP
.PEN_DOWN
	104 57
	106 54
	107 51
	108 48
	111 44
	112 40
	114 37
	116 32
	118 27
	121 23
	123 19
	126 16
	127 13
	130 11
	133 9
	136 8
	137 11
	137 14
	137 18
	137 21
	137 25
	137 29
	137 33
	137 36
	137 39
	136 47
	134 51
	132 55
	130 58
	127 61
	123 63
	123 66
.PEN_UP
.PEN_DOWN
	147 67
	147 63
	147 60
	146 56
	146 53
	146 49
	146 45
	146 42
	146 38
	146 31
	147 28
	147 24
	147 21
	147 17
	148 13
	148 9
	148 6
	148 9
	149 11
.PEN_UP
.PEN_DOWN
	147 58
	146 61
	146 64
	148 68
	152 68
	156 68
	160 68
	164 68
	168 67
	173 65
	177 61
	180 58
	184 54
	186 50
	187 47
	187 42
	185 36
	183 31
	181 28
	180 25
	177 22
	175 19
	172 17
	169 15
	167 12
	163 10
	156 6
	153 4
	148 2
	144 0
	141 0
	139 3
	140 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	66 76
	69 74
	72 73
	75 72
	79 71
	84 71
	87 72
	91 72
	95 73
	95 76
.PEN_UP
.PEN_DOWN
	69 77
	69 73
	69 69
	68 66
	68 62
	68 59
	68 55
	68 52
	68 48
	67 45
	67 41
	67 38
	67 32
	67 29
	67 26
	67 21
	67 18
	67 14
	67 11
	68 14
	69 15
.PEN_UP
.PEN_DOWN
	72 45
	76 44
	79 44
	82 44
	87 44
	88 47
	86 47
.PEN_UP
.PEN_DOWN
	87 57
	87 54
	87 51
	87 48
	86 45
	86 41
	86 38
	86 35
	86 32
	87 35
	89 37
.PEN_UP
.PEN_DOWN
	109 78
	108 73
	107 70
	106 66
	106 63
	105 58
	105 54
	104 50
	102 46
	102 42
	101 35
	101 32
	101 29
	100 25
	100 22
	99 19
	99 16
	99 12
	99 8
	98 4
	99 7
.PEN_UP
.PEN_DOWN
	110 87
	111 83
	113 80
	114 74
	114 71
	115 68
	115 64
	116 61
	116 57
	116 53
	117 49
	117 46
	117 42
	117 39
	117 33
	117 30
	118 25
	118 21
	118 18
	119 21
.PEN_UP
.PEN_DOWN
	103 49
	107 49
	111 49
	115 49
	119 47
	120 46
.PEN_UP
.PEN_DOWN
	152 75
	149 77
	145 77
	142 76
	137 74
	134 73
	131 71
	129 67
	128 63
	128 60
	128 57
	129 54
	134 51
	137 49
	141 48
	144 45
	146 42
	146 37
	146 33
	144 29
	141 25
	139 21
	136 18
	134 15
	131 13
	129 10
	130 12
.PEN_UP
.PEN_DOWN
	151 74
	154 74
	159 73
	165 73
	168 72
	171 72
	175 71
	178 71
	181 70
	186 70
	191 69
	195 69
	191 69
.PEN_UP
.PEN_DOWN
	168 74
	168 71
	169 67
	169 64
	169 59
	169 56
	169 53
	169 50
	169 46
	169 43
	169 39
	169 36
	169 32
	169 25
	169 21
	168 18
	168 14
	168 11
	168 7
	168 3
	167 0
	169 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	56 73
	59 72
	62 72
	66 72
	69 72
	72 72
	77 72
	80 72
	80 74
.PEN_UP
.PEN_DOWN
	55 75
	55 72
	55 67
	55 64
	55 61
	55 55
	55 52
	55 49
	55 43
	55 40
	55 37
	55 34
	55 31
	55 27
	55 24
	55 20
	55 17
	55 14
	55 11
	55 7
	55 3
	55 0
	57 3
	58 5
.PEN_UP
.PEN_DOWN
	57 37
	62 36
	65 36
	68 36
	71 36
	71 38
.PEN_UP
.PEN_DOWN
	71 50
	71 46
	71 42
	71 39
	71 34
	71 31
	71 28
	71 25
	72 27
.PEN_UP
.PEN_DOWN
	90 69
	90 66
	91 63
	91 59
	91 56
	91 52
	91 48
	91 44
	92 40
	92 35
	92 31
	92 27
	92 22
	91 19
	91 21
	92 24
	92 27
	93 29
.PEN_UP
.PEN_DOWN
	88 75
	93 76
	96 78
	100 78
	103 78
	106 77
	110 76
	113 73
	114 70
	116 67
	116 64
	116 61
	115 57
	113 54
	110 51
	108 47
	105 45
	102 42
	101 39
	96 36
	93 34
	90 32
	93 30
	95 27
	98 25
	100 22
	104 19
	108 16
	112 14
	115 13
	118 12
	119 15
	119 16
.PEN_UP
.PEN_DOWN
	131 70
	127 67
	124 63
	122 59
	120 54
	118 51
	117 46
	117 43
	117 40
	117 37
	117 31
	117 28
	118 25
	120 20
	122 16
	125 14
	128 11
	131 11
	136 12
	139 14
	143 19
	147 23
	148 26
	150 30
	153 35
	154 39
	156 44
	157 49
	157 53
	157 57
	156 61
	154 64
	151 66
	148 68
	144 70
	140 71
	136 72
	133 72
	130 71
	127 70
	126 68
.PEN_UP
.PEN_DOWN
	164 70
	164 67
	163 63
	163 59
	163 55
	163 51
	163 47
	163 44
	163 40
	163 37
	165 33
	165 26
	165 23
	165 20
	165 17
	165 13
	166 10
	166 7
	166 10
	166 15
	167 16
.PEN_UP
.PEN_DOWN
	167 71
	169 65
	170 62
	171 57
	173 52
	174 47
	175 43
	177 38
	178 35
	180 32
	183 33
	186 36
	189 40
	192 43
	195 47
	198 51
	200 54
	204 59
	206 62
	208 66
	208 69
	208 72
	205 73
	203 70
	202 66
	202 61
	201 56
	201 53
	201 50
	201 45
	201 42
	201 35
	200 30
	200 27
	200 24
	200 20
	200 16
	200 13
	200 9
	202 13
.PEN_UP
.PEN_DOWN
	74 79
	71 81
	67 81
	64 81
	61 80
	58 78
	55 75
	54 72
	51 67
	50 64
	49 61
	48 57
	47 54
	45 48
	45 45
	45 42
	45 39
	46 35
	46 32
	48 28
	51 24
	55 19
	59 18
	63 18
	67 18
	71 19
	75 22
	78 23
	81 27
	82 30
	83 33
	85 36
	85 39
	85 44
	84 48
	82 53
	80 55
.PEN_UP
.PEN_DOWN
	60 49
	63 48
	67 47
	70 47
	75 47
	78 47
	82 48
	85 49
	89 50
	93 50
	96 51
	93 50
	90 51
	87 51
	84 52
	82 47
	81 42
	81 37
	81 34
	81 31
	81 28
	81 22
	81 18
	81 13
	81 10
	81 6
	81 3
	81 0
	80 4
	81 9
.PEN_UP
.PEN_DOWN
	108 82
	105 77
	105 74
	102 68
	101 64
	100 61
	99 57
	98 53
	97 49
	96 45
	95 42
	95 38
	93 34
	93 31
	92 24
	90 19
	90 16
	90 12
	89 9
	91 13
	92 15
.PEN_UP
.PEN_DOWN
	108 85
	108 82
	108 78
	108 75
	110 71
	110 68
	110 61
	111 57
	111 54
	111 50
	111 47
	111 44
	113 39
	113 36
	113 33
	114 30
	114 27
	114 22
	114 18
	115 15
	115 12
	115 15
	115 16
.PEN_UP
.PEN_DOWN
	95 47
	98 47
	102 46
	108 44
	112 43
	115 42
	118 41
	119 42
.PEN_UP
.PEN_DOWN
	126 81
	125 77
	124 70
	124 66
	124 63
	123 59
	123 55
	123 51
	122 48
	122 44
	122 41
	121 38
	121 34
	121 25
	121 21
	121 17
	121 14
	122 17
	123 20
	124 23
.PEN_UP
.PEN_DOWN
	131 82
	131 79
	132 75
	132 72
	132 69
	132 65
	132 62
	134 59
	134 56
	135 52
	137 47
	137 44
	139 41
	142 39
	145 42
	148 46
	151 50
	153 54
	156 58
	157 61
	159 64
	159 67
	161 70
	162 73
	163 76
	165 79
	162 80
	162 77
	161 74
	160 70
	160 65
	159 60
	159 57
	158 54
	157 48
	157 45
	157 42
	156 39
	156 35
	156 32
	156 27
	156 22
	156 18
	156 15
	156 12
	158 16
	158 18
.PEN_UP
.PEN_DOWN
	170 79
	173 78
	177 78
	181 77
	184 77
	189 76
	192 76
	195 76
	198 75
	201 75
	201 78
	198 78
	195 78
.PEN_UP
.PEN_DOWN
	172 77
	171 72
	171 67
	170 64
	170 60
	169 56
	169 53
	169 50
	168 46
	168 40
	167 37
	167 34
	166 29
	166 25
	166 21
	166 18
	169 16
	172 18
	175 19
	178 19
	183 21
	187 21
	190 21
	194 22
	198 22
	201 22
	204 22
	203 25
	201 27
.PEN_UP
.PEN_DOWN
	172 56
	177 56
	182 55
	185 55
	189 54
	195 54
	198 53
	201 53
	204 52
	208 51
	211 50
	208 52
	205 53
.PEN_UP
.PEN_DOWN
	77 75
	73 75
	70 75
	67 74
	64 72
	61 70
	59 67
	56 64
	54 61
	52 57
	49 54
	47 49
	46 46
	45 43
	44 39
	44 34
	44 29
	45 25
	47 21
	49 18
	52 14
	56 13
	60 13
	63 14
	66 15
	72 19
	74 23
	77 25
	80 28
	82 32
	84 36
	84 39
	84 43
	82 46
	78 48
	75 49
	70 49
	67 48
	64 48
	61 47
	64 46
	67 46
	72 46
	75 46
	79 46
	83 47
	86 47
	89 47
	92 47
	95 47
	98 48
	94 48
.PEN_UP
.PEN_DOWN
	85 43
	84 39
	83 35
	83 32
	82 29
	80 24
	80 20
	79 17
	78 13
	77 10
	77 6
	76 3
	76 0
	76 3
	77 6
	77 7
.PEN_UP
.PEN_DOWN
	99 72
	104 72
	108 72
	112 71
	116 71
	120 71
	123 70
	122 70
.PEN_UP
.PEN_DOWN
	112 71
	111 68
	111 65
	110 62
	109 56
	109 51
	107 47
	107 44
	105 40
	104 35
	102 30
	102 27
	101 24
	98 24
	95 25
	92 25
	96 26
	100 25
	103 25
	106 24
	109 24
	112 24
	115 24
	118 25
	119 28
	119 29
.PEN_UP
.PEN_DOWN
	128 70
	128 66
	128 63
	128 59
	128 56
	128 51
	128 46
	129 42
	129 37
	129 33
	129 29
	130 24
	130 21
	130 18
	133 19
	135 22
	138 25
	140 29
	143 31
	144 34
	146 37
	148 41
	151 44
	153 47
