


.DATE		07 ? 93
.STYLE		MIXED
.WRITER_ID	yslee
	172 22
	172 19
	172 15
	172 11
	172 8
	174 5
	177 6
	180 8
	182 11
	184 14
	186 17
	189 20
	191 25
	193 28
	194 31
	195 34
	196 37
	197 38
.PEN_UP
.PEN_DOWN
	97 70
	97 73
	95 77
	92 79
	89 81
	86 81
	83 79
	82 75
	81 72
	81 69
	81 65
	81 62
	81 58
	81 54
	81 51
	81 48
	81 44
	81 41
	81 37
	81 33
	81 30
	81 27
	81 24
	81 21
	81 18
	81 15
	81 12
	81 9
	81 6
	80 3
	80 0
	82 0
.PEN_UP
.PEN_DOWN
	66 45
	69 45
	72 45
	75 45
	78 45
	82 46
	85 46
	89 46
	93 48
	97 48
	100 49
	101 49
.PEN_UP
.PEN_DOWN
	122 42
	119 42
	115 41
	112 40
	109 38
	106 38
	103 35
	101 32
	100 29
	100 26
	98 23
	98 20
	98 16
	100 12
	100 8
	103 6
	106 5
	107 2
	110 2
	113 1
	116 1
	119 1
	123 3
	126 4
	129 6
	131 9
	132 12
	133 15
	133 18
	134 21
	134 25
	134 28
	134 31
	133 34
	131 37
	128 39
	126 42
	122 44
	119 46
	116 47
	113 47
	110 48
	107 48
	105 46
.PEN_UP
.PEN_DOWN
	148 41
	145 41
	141 39
	138 37
	136 34
	135 31
	134 28
	133 25
	133 22
	133 19
	133 16
	135 13
	136 10
	137 7
	139 4
	142 2
	145 1
	149 1
	152 2
	156 4
	160 7
	161 10
	164 12
	166 15
	167 18
	169 21
	170 25
	170 28
	169 31
	168 34
	166 37
	164 40
	161 41
	158 44
	155 45
	151 46
	148 47
	145 47
	142 47
	142 44
.PEN_UP
.PEN_DOWN
	199 33
	196 35
	193 35
	190 36
	187 36
	182 36
	179 35
	176 32
	174 29
	174 26
	172 23
	172 20
	172 15
	172 12
	173 8
	175 5
	178 4
	181 3
	184 3
	187 4
	190 5
	191 8
	194 13
	196 16
	198 20
	200 23
	201 27
	202 31
	203 34
	203 37
	204 40
	204 44
	205 47
	205 51
	206 54
	207 58
	207 62
	207 65
	207 68
	207 71
	207 74
	204 73
	204 70
	203 66
	202 60
	201 57
	200 54
	200 49
	200 46
	200 43
	198 36
	198 32
	198 28
	198 24
	198 21
	198 18
	198 15
	199 12
	199 8
	200 4
	201 1
	204 1
	204 2
	207 2
.PEN_UP
.PEN_DOWN
	83 43
	81 46
	78 47
	73 48
	70 47
	67 47
	64 45
	61 43
	60 40
	59 36
	58 33
	58 30
	61 28
	64 28
	67 27
	70 25
	74 25
	77 24
	80 22
	82 19
	83 16
	85 13
	85 10
	85 6
	85 3
	83 0
	80 0
	77 0
	73 0
	70 0
	67 0
	63 1
	59 2
	55 4
	54 7
	54 10
	55 12
.PEN_UP
.PEN_DOWN
	103 82
	103 78
	102 75
	102 72
	101 69
	101 66
	100 61
	100 58
	99 55
	98 50
	98 46
	97 42
	97 38
	97 35
	96 31
	94 27
	93 22
	92 19
	92 16
	91 13
	92 16
	94 19
	95 23
	97 26
	98 32
	101 35
	101 38
	103 41
	105 45
	108 47
	111 47
	113 47
.PEN_UP
.PEN_DOWN
	117 46
	117 43
	117 40
	116 36
	115 33
	115 29
	113 25
	113 22
	112 19
	112 16
	112 13
	112 11
.PEN_UP
.PEN_DOWN
	140 52
	137 49
	135 46
	132 43
	130 40
	130 37
	127 34
	127 31
	126 28
	126 25
	126 22
	127 19
	128 15
	130 12
	133 11
	136 9
	139 9
	143 10
	146 10
	148 13
	151 15
	154 17
	156 20
	157 23
	159 27
	160 31
	160 34
	160 37
	159 40
	156 43
	154 46
	151 48
	147 52
	144 54
	141 54
	138 54
	137 54
.PEN_UP
.PEN_DOWN
	171 44
	171 40
	169 35
	169 31
	169 28
	168 25
	168 20
	169 16
	170 13
	170 10
	173 9
	175 12
	178 15
	179 18
	181 21
	182 24
	184 27
	184 31
	186 34
	187 37
	189 40
	189 43
	190 46
	189 43
	189 40
	188 37
	188 34
	187 31
	187 28
	187 25
	187 22
	187 19
	187 16
	189 13
	192 12
	195 13
	198 17
	201 19
	201 22
	203 25
	206 28
	207 31
	208 34
	210 38
	212 41
	213 44
	213 47
.PEN_UP
.PEN_DOWN
	68 72
	68 69
	68 66
	68 63
	68 60
	67 57
	67 53
	67 49
	65 45
	65 42
	65 38
	64 35
	64 31
	63 28
	62 25
	61 22
	61 18
	60 15
	59 12
	58 9
	58 5
	56 2
	58 0
.PEN_UP
.PEN_DOWN
	70 67
	72 70
	75 72
	78 75
	81 77
	84 79
	87 79
	91 79
	94 79
	97 79
	100 78
	102 75
	104 72
	105 68
	105 64
	105 61
	104 57
	103 54
	101 51
	98 48
	96 45
	93 44
	90 42
	86 42
	82 40
	79 40
	76 40
	73 41
	69 43
	66 45
	66 47
.PEN_UP
.PEN_DOWN
	108 76
	109 73
	109 70
	110 66
	110 63
	110 60
	110 57
	110 54
	110 51
	110 47
	109 44
	109 41
	107 37
	107 34
	106 31
	104 28
	105 31
	107 34
	107 37
	109 40
	110 44
	110 47
	112 50
	113 54
	115 57
	116 60
	118 63
	120 67
	122 70
	125 72
	128 74
	132 74
	135 74
	139 74
	142 71
	143 71
.PEN_UP
.PEN_DOWN
	133 65
	133 62
	135 59
	139 57
	142 56
	145 56
	149 56
	152 57
	155 59
	158 60
	159 63
	161 66
	161 69
	160 72
	157 74
	154 76
	151 76
	148 76
	145 76
	142 74
	139 70
	137 67
	136 64
	135 61
	134 57
	134 54
	134 49
	136 46
	137 43
	140 41
	143 40
	148 40
	151 40
	155 42
	158 42
.PEN_UP
.PEN_DOWN
	191 71
	188 73
	185 75
	182 75
	179 75
	176 75
	173 75
	170 74
	167 71
	166 68
	166 65
	168 62
	171 60
	174 59
	178 57
	181 56
	184 55
	187 53
	188 50
	189 47
	189 44
	189 41
	189 38
	187 35
	184 33
	181 33
	178 33
	175 35
	172 37
	169 38
	166 41
	164 44
	165 45
.PEN_UP
.PEN_DOWN
	198 61
	196 58
	197 55
	200 53
	203 51
	206 51
	209 51
	212 51
	215 51
	219 53
	222 56
	222 59
	223 62
	222 65
	222 68
	220 71
	217 73
	213 75
	210 75
	207 75
	204 73
	201 71
	198 67
	197 64
	196 61
	195 58
	195 55
	194 52
	194 48
	195 45
	195 42
	198 39
	202 38
	206 37
	210 37
	213 37
	217 36
	220 37
	223 37
	224 37
.PEN_UP
.PEN_DOWN
	227 76
	228 73
	230 70
	231 67
	231 64
	231 61
	231 57
	231 54
	231 51
	230 48
	229 45
	227 42
	225 39
	224 42
	226 45
	228 48
	231 53
	233 56
	234 59
	237 62
	240 66
	242 69
	244 72
	246 75
	249 76
	252 76
	252 72
	252 69
	252 66
	251 63
	251 60
	251 57
	251 53
	249 49
	249 45
	249 42
	248 39
	249 37
.PEN_UP
.PEN_DOWN
	255 77
	258 76
	261 76
	264 76
	268 76
	271 76
	274 76
	279 75
	282 75
	285 75
	288 76
	292 77
	295 78
	298 81
	300 81
.PEN_UP
.PEN_DOWN
	288 104
	286 101
	284 98
	284 95
	282 92
	281 89
	281 86
	279 83
	277 80
	276 77
	275 73
	274 69
	273 66
	272 63
	272 59
	270 56
	270 53
	270 50
	270 47
	272 44
	275 42
	278 43
	281 44
	284 45
	287 46
	290 48
	292 49
.PEN_UP
.PEN_DOWN
	64 51
	68 50
	72 49
	75 48
	79 48
	82 49
	86 50
	89 51
	91 55
	92 58
	94 61
	92 64
	89 65
	86 65
	83 67
	79 67
	76 66
	73 65
	70 62
	67 59
	65 56
	63 52
	63 49
	63 45
	63 42
	64 38
	67 36
	70 34
	73 34
	77 34
	80 34
	83 36
	86 36
	89 37
	92 37
.PEN_UP
.PEN_DOWN
	100 62
	100 59
	100 56
	99 52
	99 49
	98 45
	97 42
	96 39
	95 35
	96 35
.PEN_UP
.PEN_DOWN
	106 84
	109 82
	112 80
	113 80
.PEN_UP
.PEN_DOWN
	137 54
	136 57
	133 59
	130 60
	126 59
	123 59
	120 58
	116 56
	113 52
	111 49
	110 46
	110 43
	112 39
	113 36
	116 34
	119 34
	122 34
	126 36
	128 39
	130 42
	132 45
	133 48
	134 51
	131 48
	130 45
	130 42
	129 38
	128 32
	127 27
	126 24
	125 21
	125 18
	124 15
	123 11
	122 8
	121 5
	119 2
	116 0
	113 0
	111 3
	109 7
	109 12
	110 15
	111 18
	113 21
	115 24
	118 26
	121 27
	125 28
	129 28
	132 30
	135 30
	139 30
	142 31
	143 30
.PEN_UP
.PEN_DOWN
	148 97
	147 93
	146 90
	145 87
	145 83
	144 80
	144 77
	144 74
	143 69
	141 63
	141 60
	141 57
	141 54
	140 51
	139 46
	138 43
	137 40
	137 37
	138 41
	140 44
	141 47
	143 51
	146 55
	149 58
	151 61
	154 63
	157 64
	160 64
	163 65
	166 63
	165 60
	164 57
	163 54
	163 51
	161 48
	160 45
	159 42
	158 39
	157 36
	160 34
	160 35
.PEN_UP
.PEN_DOWN
	176 74
	181 73
	185 72
	189 71
	192 71
	195 71
	198 71
	201 71
	204 71
	204 72
.PEN_UP
.PEN_DOWN
	195 94
	195 91
	194 88
	192 84
	190 79
	189 75
	186 71
	186 67
	184 63
	184 60
	182 56
	182 53
	181 50
	181 47
	179 44
	179 41
	179 38
	182 37
	185 35
	189 35
	192 35
	195 36
	198 37
	200 38
.PEN_UP
.PEN_DOWN
	197 61
	196 57
	201 54
	204 53
	207 52
	210 52
	215 52
	219 53
	222 54
	225 56
	226 59
	228 63
	227 67
	225 70
	222 72
	218 72
	215 72
	211 72
	209 69
	208 66
	206 62
	206 59
	205 56
	204 52
	204 49
	204 46
	204 43
	205 40
	206 37
	209 35
	212 35
	215 36
	218 37
	221 38
	224 39
	227 40
	229 40
.PEN_UP
.PEN_DOWN
	233 51
	236 51
	239 49
	242 49
	246 49
	249 49
	252 51
	255 53
	256 56
	256 59
	255 62
	253 65
	249 67
	246 67
	243 67
	240 65
	237 64
	236 61
	235 58
	233 55
	232 52
	231 49
	231 46
	230 43
	230 40
	230 37
	233 34
	236 33
	239 32
	242 32
	245 33
	248 33
	251 33
	254 34
	255 34
.PEN_UP
.PEN_DOWN
	261 66
	261 63
	261 59
	261 56
	261 53
	260 49
	259 45
	258 42
	257 38
	256 35
	256 32
	254 29
	255 32
	256 35
	259 38
	261 41
	261 44
	264 46
	266 49
	270 53
	272 56
	275 59
	278 61
	281 64
	284 67
	288 67
	291 67
	294 65
	294 62
	293 59
	291 56
	291 53
	289 50
	287 47
	287 44
	287 41
	286 38
	286 35
	285 32
	285 29
	286 29
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 77
	59 74
	59 70
	58 67
	57 63
	57 60
	55 57
	54 54
	54 50
	52 47
	52 43
	50 38
	49 35
	49 31
	47 27
	46 24
	44 21
	43 18
	42 15
	41 11
	41 15
	42 18
	44 21
	45 25
	47 29
	50 32
	51 35
	54 37
	56 40
	60 43
	63 44
	66 44
	67 41
	67 38
	67 35
	66 32
	66 29
	66 26
	64 23
	63 20
	62 17
	61 14
	60 11
	60 7
	63 6
	63 7
.PEN_UP
.PEN_DOWN
	74 27
	77 25
	81 25
	84 25
	88 24
	91 24
	94 24
	96 27
	98 30
	99 33
	99 36
	96 37
	92 38
	89 39
	86 39
	83 39
	80 36
	79 33
	77 30
	76 27
	75 24
	73 20
	72 16
	71 13
	71 10
	72 7
	75 6
	78 3
	81 3
	84 3
	87 4
	90 4
	94 6
.PEN_UP
.PEN_DOWN
	107 36
	107 33
	107 30
	106 27
	106 24
	104 20
	104 16
	103 13
	102 10
	100 7
	99 4
	100 7
	101 10
	104 13
	106 17
	109 20
	110 23
	112 26
	114 29
	117 29
	120 31
	122 34
	125 34
	128 35
	131 35
	132 32
	132 31
.PEN_UP
.PEN_DOWN
	138 21
	141 20
	144 18
	147 17
	150 17
	154 17
	158 20
	160 23
	163 23
	164 26
	165 29
	165 32
	163 35
	160 37
	157 39
	153 41
	150 41
	147 39
	144 38
	144 35
	141 33
	138 29
	136 26
	134 23
	133 20
	132 17
	131 14
	131 11
	131 8
	132 4
	135 2
	138 0
	141 0
	145 0
	149 0
	152 1
	156 2
	159 3
	162 4
	164 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	67 37
	65 40
	62 42
	59 44
	55 45
	52 45
	49 44
	46 43
	43 42
	42 39
	40 36
	40 33
	42 30
	45 29
	49 27
	52 26
	55 26
	59 25
	64 23
	67 20
	69 16
	69 13
	69 10
	68 7
	67 4
	64 1
	61 0
	58 0
	55 0
	52 0
	49 1
	46 2
	44 5
	44 6
.PEN_UP
.PEN_DOWN
	96 40
	93 41
	89 41
	86 40
	83 38
	80 37
	78 33
	77 30
	77 27
	77 23
	78 20
	79 17
	80 14
	83 11
	86 9
	90 8
	94 8
	97 9
	99 12
	102 15
	104 19
	106 22
	107 25
	107 28
	107 31
	107 34
	104 37
	101 39
	98 41
	96 40
.PEN_UP
.PEN_DOWN
	118 83
	118 79
	117 76
	117 72
	117 69
	117 65
	116 61
	115 57
	115 52
	115 49
	115 46
	115 42
	115 38
	114 34
	113 30
	113 26
	113 21
	113 18
	112 15
	113 15
.PEN_UP
.PEN_DOWN
	155 43
	152 46
	149 48
	146 50
	143 51
	140 51
	136 50
	132 48
	130 44
	128 41
	126 37
	126 34
	126 31
	126 28
	127 25
	129 22
	129 19
	132 17
	135 17
	138 19
	142 23
	145 25
	146 29
	149 32
	150 36
	151 40
	153 44
	154 48
	155 52
	158 56
	159 60
	160 64
	161 67
	162 70
	164 73
	164 76
	162 73
	160 69
	159 66
	158 60
	157 57
	157 52
	155 49
	155 45
	155 41
	155 38
	154 35
	152 32
	152 29
	152 26
	151 23
	151 19
	151 16
	152 15
.PEN_UP
.PEN_DOWN
	176 49
	176 46
	175 43
	174 40
	174 36
	174 33
	173 30
	172 26
	172 23
	172 20
	172 17
	173 16
.PEN_UP
.PEN_DOWN
	180 66
	184 62
.PEN_UP
.PEN_DOWN
	187 33
	190 31
	194 28
	197 27
	200 27
	204 27
	208 28
	211 30
	212 34
	212 37
	211 40
	209 44
	206 45
	203 46
	200 46
	197 47
	194 47
	191 46
	188 44
	186 41
	185 38
	184 35
	183 32
	182 29
	182 26
	182 23
	183 19
	186 16
	189 15
	194 12
	197 12
	200 12
	203 12
	206 12
	209 14
	212 15
	213 15
.PEN_UP
.PEN_DOWN
	220 47
	220 44
	220 41
	220 38
	220 35
	220 32
	219 28
	218 24
	218 21
	218 18
	217 15
	216 11
	216 8
	216 11
	216 15
	218 18
	221 21
	222 25
	225 28
	228 30
	230 33
	233 36
	236 36
	239 39
	242 40
	245 41
	248 42
	251 42
	255 42
	259 41
	262 41
	263 39
.PEN_UP
.PEN_DOWN
	56 33
	55 29
	54 26
	54 23
	53 20
	52 17
	51 13
	49 10
	49 7
	48 4
	47 1
	48 0
.PEN_UP
.PEN_DOWN
	61 60
	64 57
	66 54
	68 52
.PEN_UP
.PEN_DOWN
	112 68
	113 71
	113 74
	113 77
	112 80
	110 83
	107 83
	104 84
	101 83
	98 81
	95 78
	93 74
	92 71
	91 68
	90 65
	88 62
	88 59
	86 55
	85 50
	83 47
	83 43
	82 39
	82 36
	81 33
	79 28
	78 25
	77 22
	76 19
	75 16
	75 13
	75 10
	73 7
	73 4
	72 1
	73 0
.PEN_UP
.PEN_DOWN
	71 46
	74 46
	78 46
	82 46
	86 46
	89 46
	93 46
	97 46
	100 46
	101 45
.PEN_UP
.PEN_DOWN
	79 41
	76 43
	73 43
	70 42
	67 41
	64 39
	61 37
	59 34
	58 31
	60 28
	63 27
	66 25
	69 24
	72 24
	75 24
	78 22
	81 22
	84 20
	87 18
	88 14
	85 10
	82 8
	79 5
	76 4
	73 3
	69 3
	66 4
	63 6
	61 9
	59 12
	58 15
	58 18
	59 18
.PEN_UP
.PEN_DOWN
	86 39
	89 39
	93 39
	96 39
	101 39
	104 39
	110 39
	115 38
	118 38
	119 38
.PEN_UP
.PEN_DOWN
	111 59
	110 56
	108 53
	105 50
	105 47
	103 44
	102 41
	101 38
	101 32
	99 28
	98 24
	98 21
	97 18
	97 14
	97 10
	100 8
	104 8
