.WRITER_ID	rkp
806 2625
814 2625
819 2625
827 2625
831 2633
840 2633
844 2641
852 2646
861 2646
861 2654
865 2654
865 2658
865 2667
873 2667
873 2671
873 2679
873 2688
873 2692
865 2692
861 2692
861 2700
852 2700
844 2700
840 2700
840 2692
831 2692
827 2692
827 2688
831 2688
840 2688
844 2692
852 2692
861 2692
865 2700
873 2700
877 2700
886 2700
890 2700
890 2704
898 2704
903 2704
911 2700
911 2692
911 2688
911 2679
911 2671
911 2667
903 2667
903 2658
903 2654
903 2646
911 2646
911 2654
919 2654
919 2658
924 2658
932 2667
936 2671
945 2671
945 2679
949 2679
949 2688
957 2688
966 2692
970 2692
970 2700
970 2692
978 2692
978 2688
978 2679
970 2679
970 2671
970 2667
970 2658
966 2658
966 2654
966 2646
966 2641
966 2633
970 2633
978 2633
982 2633
991 2641
995 2641
1003 2641
1003 2646
1012 2646
1016 2654
1024 2654
1029 2658
1037 2667
1041 2667
1050 2671
1054 2679
1062 2688
1071 2688
1071 2692
1075 2700
1083 2700
1083 2704
1083 2713
1087 2713
1087 2717
1083 2717
1075 2717
1071 2717
1062 2717
1054 2717
1054 2713
1050 2713
1041 2704
1037 2700
1029 2692
1029 2688
1029 2679
1029 2671
1029 2667
1037 2658
1041 2654
1050 2654
1054 2646
1062 2646
1071 2646
1075 2646
1083 2646
1087 2646
1096 2646
1100 2646
1108 2646
1117 2654
.PEN_UP
.PEN_DOWN
1222 2688
1213 2692
1205 2700
1205 2692
1201 2692
1192 2692
1188 2692
1180 2692
1180 2688
1176 2688
1167 2688
1167 2679
1159 2679
1155 2679
1155 2671
1146 2671
1146 2667
1142 2667
1142 2658
1134 2658
1134 2654
1134 2646
1142 2646
1146 2646
1155 2641
1159 2641
1159 2646
1167 2646
1176 2646
1180 2654
1188 2658
1192 2667
1201 2667
1205 2671
1213 2688
1222 2692
1226 2700
1226 2704
1234 2713
1234 2717
1239 2734
1239 2738
1247 2746
1247 2751
1251 2759
1251 2763
1251 2772
1251 2776
1251 2784
1247 2784
1247 2776
1239 2772
1239 2763
1239 2759
1234 2751
1234 2746
1234 2738
1234 2725
1234 2717
1226 2713
1226 2704
1226 2700
1226 2688
1234 2679
1234 2671
1234 2667
1234 2658
1234 2654
1239 2646
1239 2641
1247 2633
1251 2633
1251 2625
1260 2625
.PEN_UP

.PEN_DOWN
1764 2704
1759 2704
1751 2704
1747 2700
1738 2700
1734 2692
1726 2692
1722 2688
1713 2679
1705 2671
1701 2667
1701 2658
1692 2658
1692 2654
1692 2646
1692 2641
1701 2633
1705 2633
1713 2633
1722 2633
1726 2633
1734 2641
1738 2641
1738 2646
1747 2646
1751 2654
1751 2658
1759 2658
1764 2658
1764 2667
1772 2671
1772 2679
1780 2688
1780 2692
1785 2700
1780 2704
1780 2700
1772 2700
1772 2692
1764 2692
1764 2688
1759 2679
1759 2671
1759 2667
1759 2658
1759 2654
1759 2646
1764 2646
1764 2641
1772 2641
1780 2641
1785 2641
1793 2641
1797 2646
1806 2646
1806 2654
1810 2654
1818 2658
1827 2658
1827 2671
1831 2679
1839 2688
1843 2692
1843 2700
1852 2704
1856 2713
1856 2717
1864 2734
1873 2738
1873 2746
1873 2751
1877 2759
1877 2763
1877 2772
1885 2776
1885 2784
1877 2784
1877 2776
1873 2776
1873 2772
1873 2763
1864 2759
1864 2751
1856 2746
1856 2738
1852 2734
1852 2725
1852 2717
1843 2713
1843 2704
1843 2700
1839 2692
1839 2688
1839 2679
1839 2671
1839 2667
1839 2658
1839 2654
1843 2646
1843 2641
1852 2641
1852 2633
1856 2633
1864 2633
1873 2633
1877 2633
1885 2641
1890 2641
1890 2646
1898 2646
1898 2654
1902 2658
1902 2667
1902 2671
1902 2679
1902 2688
1902 2692
1898 2700
1890 2700
1890 2704
1885 2704
1877 2704
1873 2704
1873 2700
1864 2700
1864 2692
1873 2692
1877 2692
1885 2692
1890 2692
1898 2692
1902 2692
1911 2692
1915 2692
1923 2700
1932 2700
1936 2700
1944 2700
1948 2700
1957 2704
1961 2704
1969 2704
1978 2704
1982 2713
1990 2713
1995 2713
2003 2713
2007 2713
2016 2717
2024 2717
2028 2717
2037 2725
2037 2717
2028 2717
2024 2717
2016 2713
2007 2713
2003 2713
1995 2704
1990 2704
1990 2700
1982 2700
1978 2692
1969 2688
1969 2679
1978 2679
1982 2679
1982 2671
1990 2671
1995 2671
1995 2667
2003 2667
2007 2667
2016 2667
2016 2658
2024 2658
2028 2654
2028 2646
2028 2641
2024 2641
2024 2633
2016 2633
2007 2633
2007 2625
2003 2625
1995 2620
1990 2620
1982 2620
1978 2620
1969 2620
1961 2620
1961 2625
.PEN_UP
.PEN_DOWN
2121 2692
2112 2700
2108 2700
2100 2700
2095 2692
2087 2692
2083 2692
2083 2688
2074 2688
2074 2679
2066 2679
2062 2671
2062 2667
2053 2658
2053 2654
2049 2654
2049 2646
2049 2641
2053 2641
2053 2633
2053 2625
2062 2625
2066 2620
2074 2620
2074 2612
2083 2612
2087 2612
2087 2620
2095 2620
2100 2620
2108 2625
2112 2633
2121 2641
2121 2646
2129 2654
2129 2658
2129 2667
2129 2671
2129 2679
2129 2688
2129 2692
2129 2700
2121 2700
2121 2704
2112 2704
2108 2704
2108 2700
2112 2700
2112 2692
2121 2692
2129 2700
2133 2700
2142 2704
2146 2704
2146 2713
2154 2713
2158 2717
2167 2725
2171 2734
2179 2738
2188 2746
2188 2751
2192 2759
2192 2763
2200 2772
2205 2776
2205 2784
2213 2793
2213 2797
2213 2793
2205 2793
2205 2784
2205 2776
2200 2772
2200 2763
2200 2759
2192 2751
2192 2746
2192 2738
2192 2734
2192 2725
2188 2713
2188 2704
2188 2692
2188 2688
2179 2679
2179 2671
2179 2667
2179 2658
2188 2654
2188 2646
2188 2641
2192 2641
2192 2633
2200 2633
2205 2633
2213 2641
2217 2641
2217 2646
2226 2646
2234 2654
2234 2658
2238 2658
2247 2667
2251 2671
2251 2679
2259 2688
2259 2692
2263 2692
2263 2700
2263 2704
2272 2704
2263 2704
2263 2700
2259 2700
2259 2692
2259 2688
2259 2679
2259 2671
2251 2671
2251 2667
2251 2658
2251 2654
2251 2646
2259 2646
2263 2646
2272 2646
2280 2654
2284 2654
2293 2658
2297 2667
2305 2667
2305 2671
2310 2671
2310 2679
2318 2688
2322 2692
2331 2700
2331 2692
2331 2688
2322 2679
2322 2671
2322 2667
2322 2658
2322 2654
2322 2646
2322 2641
2322 2633
2331 2633
2331 2625
2339 2625
2343 2625
2343 2633
2352 2633
2356 2633
2364 2641
2368 2646
2377 2654
2385 2658
2389 2667
2389 2671
2398 2679
2402 2688
2402 2692
2410 2704
2415 2713
2415 2717
2423 2725
2431 2734
2431 2746
2436 2751
2436 2759
2444 2763
2444 2772
2444 2776
2448 2784
2448 2793
2448 2797
2448 2805
2448 2797
2444 2797
2444 2793
2444 2784
2436 2784
2436 2776
2436 2772
2431 2763
2431 2759
2423 2751
2423 2746
2423 2738
2415 2734
2415 2725
2415 2717
2410 2713
2410 2704
2410 2700
2410 2688
2410 2679
2410 2671
2410 2667
2410 2658
2410 2654
2410 2646
2415 2646
2415 2641
2423 2641
2431 2633
2431 2641
2436 2641
2444 2641
2444 2646
.PEN_UP
.PEN_DOWN
2385 2725
2398 2725
2402 2725
2410 2725
2415 2725
2423 2725
2431 2725
2436 2725
2444 2725
2448 2725
2457 2725
2461 2725
.PEN_UP
.PEN_DOWN
2457 2667
2461 2658
2469 2658
2473 2658
2482 2658
2490 2658
2494 2658
2503 2667
2507 2667
2515 2671
2520 2679
2520 2688
2528 2688
2528 2692
2528 2700
2520 2704
2515 2704
2507 2704
2503 2700
2494 2700
2490 2692
2482 2692
2482 2688
2482 2679
2473 2679
2473 2671
2473 2667
2473 2658
2469 2658
2473 2654
2473 2646
2473 2641
2482 2641
2490 2633
2494 2633
2503 2633
2507 2633
2515 2633
2520 2633
2528 2641
2536 2641
2541 2646
2553 2646
2562 2654
2566 2658
2574 2667
2583 2671
2587 2679
2595 2688
2595 2700
2599 2704
2608 2713
2612 2717
2620 2725
2620 2734
2625 2738
2625 2746
2625 2751
2633 2759
2633 2763
2633 2772
2633 2776
2625 2772
2620 2763
2612 2759
2612 2751
2612 2746
2608 2738
2608 2734
2599 2725
2599 2717
2599 2713
2595 2704
2595 2700
2595 2692
2587 2688
2587 2679
2587 2671
2587 2667
2587 2658
2587 2654
2587 2646
2587 2641
2595 2641
2595 2633
2599 2633
2608 2633
2612 2633
2620 2641
2625 2641
2625 2646
2633 2646
2641 2646
2641 2654
2646 2654
2646 2658
2654 2658
2658 2667
2667 2671
2671 2679
2671 2671
2667 2671
2667 2667
2658 2658
2658 2654
2658 2646
2658 2641
2658 2633
2658 2625
2667 2625
2671 2625
2679 2625
2688 2625
2692 2633
2700 2633
2700 2641
2704 2641
2713 2646
2717 2654
2725 2658
2734 2658
2734 2667
2734 2671
2738 2671
2738 2679
2738 2671
2738 2667
2734 2667
2734 2658
2734 2654
2734 2646
2725 2646
2725 2641
2725 2633
2725 2625
2725 2620
2717 2612
2717 2608
2717 2599
2717 2595
2717 2587
2717 2583
2717 2574
2713 2574
2713 2566
2713 2562
2713 2553
2713 2549
2713 2541
2713 2536
2704 2528
2704 2520
2704 2515
2700 2515
2700 2507
2692 2507
2688 2507
2679 2515
2671 2515
2671 2520
2667 2528
2667 2536
2667 2541
2667 2549
2667 2553
2667 2562
2671 2566
2671 2574
2679 2574
2679 2583
2688 2583
2688 2587
2692 2595
2700 2595
2700 2599
2704 2599
2713 2608
2717 2612
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
210 2200
193 2205
189 2200
180 2200
176 2192
168 2188
163 2188
155 2179
155 2171
147 2171
142 2167
142 2158
134 2154
134 2146
134 2142
134 2133
134 2129
142 2129
147 2129
155 2129
163 2129
168 2129
176 2133
180 2133
180 2142
189 2142
193 2146
201 2154
210 2158
210 2167
214 2167
214 2171
214 2179
210 2179
210 2171
201 2167
201 2158
201 2154
201 2146
201 2142
201 2133
210 2133
210 2129
214 2129
222 2129
222 2121
226 2121
235 2121
239 2121
239 2129
.PEN_UP
.PEN_DOWN
331 2192
319 2188
315 2179
306 2171
298 2171
294 2167
294 2158
285 2154
285 2146
285 2142
285 2133
285 2129
294 2129
298 2121
306 2121
315 2121
319 2121
.PEN_UP
.PEN_DOWN
420 2192
411 2188
407 2188
399 2179
390 2179
390 2171
386 2171
378 2167
373 2158
373 2154
365 2154
365 2146
365 2142
365 2133
365 2129
373 2129
373 2121
378 2121
386 2121
390 2121
399 2121
407 2121
420 2121
420 2129
424 2129
432 2133
436 2133
445 2142
449 2146
457 2154
466 2158
470 2167
470 2171
478 2171
478 2179
483 2179
483 2188
483 2192
478 2192
470 2192
470 2188
466 2188
457 2179
449 2171
449 2167
445 2167
445 2158
436 2154
436 2146
436 2142
436 2133
436 2129
445 2121
449 2121
449 2112
457 2112
466 2112
470 2112
470 2121
478 2121
483 2121
491 2129
495 2129
504 2133
512 2142
512 2146
516 2146
516 2154
525 2158
525 2167
529 2167
525 2158
525 2154
525 2146
525 2142
516 2133
516 2129
516 2121
512 2121
512 2112
512 2100
512 2095
504 2087
504 2083
504 2074
504 2066
495 2066
495 2062
495 2053
491 2049
491 2041
491 2049
491 2053
495 2062
495 2066
495 2074
504 2083
504 2087
504 2095
512 2100
512 2108
512 2112
516 2121
525 2129
525 2133
529 2142
537 2146
537 2154
541 2154
541 2158
550 2158
550 2167
558 2167
562 2167
571 2167
571 2158
571 2154
562 2146
562 2142
558 2133
550 2129
541 2121
537 2112
529 2108
529 2100
537 2100
541 2108
550 2112
558 2112
558 2121
562 2121
571 2129
575 2129
583 2133
588 2142
596 2146
600 2158
609 2167
617 2171
621 2179
630 2188
634 2200
642 2205
646 2213
646 2226
655 2226
663 2238
667 2247
667 2251
676 2259
676 2263
680 2272
680 2280
688 2280
688 2284
688 2293
688 2297
680 2297
680 2293
676 2284
676 2280
667 2280
667 2272
663 2263
663 2259
655 2251
655 2247
655 2238
646 2234
646 2226
642 2217
642 2213
642 2200
642 2192
642 2188
642 2179
642 2171
634 2167
634 2158
642 2154
642 2146
642 2142
642 2133
642 2129
642 2121
646 2121
655 2121
646 2129
.PEN_UP
.PEN_DOWN
600 2205
600 2213
609 2213
617 2213
621 2213
630 2213
634 2213
642 2213
646 2213
655 2213
663 2213
676 2213
680 2213
688 2213
693 2213
701 2217
.PEN_UP
.PEN_DOWN
768 2188
760 2188
751 2188
747 2179
739 2179
739 2171
735 2171
726 2171
726 2167
722 2167
714 2158
714 2154
709 2154
709 2146
709 2142
701 2142
701 2133
701 2129
693 2129
701 2121
709 2121
714 2121
722 2121
726 2129
735 2129
739 2133
739 2142
747 2142
747 2146
751 2146
751 2154
760 2154
760 2158
768 2158
768 2167
772 2167
772 2171
772 2179
772 2171
768 2171
768 2167
760 2167
760 2158
751 2158
751 2154
751 2146
747 2142
747 2133
747 2129
747 2121
747 2112
751 2108
760 2108
768 2108
772 2108
781 2108
785 2112
793 2112
798 2121
806 2121
814 2129
819 2133
827 2142
831 2146
840 2154
840 2158
844 2158
844 2154
840 2146
840 2142
840 2133
840 2129
831 2129
831 2121
831 2112
840 2112
844 2121
852 2121
852 2129
861 2129
865 2133
873 2142
877 2146
886 2146
886 2154
890 2154
898 2158
903 2167
911 2167
919 2167
919 2158
919 2154
919 2146
919 2142
919 2133
919 2129
911 2121
911 2112
903 2112
903 2108
.PEN_UP
.PEN_DOWN
1029 2188
1016 2188
1016 2179
1012 2179
1003 2171
995 2171
991 2167
982 2158
978 2158
978 2154
970 2154
970 2146
966 2146
966 2142
966 2133
966 2129
966 2121
970 2121
978 2121
978 2112
982 2112
991 2112
995 2112
1003 2112
1012 2121
1016 2121
1024 2121
1029 2121
1037 2129
1041 2129
1050 2133
1062 2133
1071 2142
1075 2142
1083 2146
1087 2154
1096 2154
1100 2158
1108 2167
1108 2171
1117 2171
1121 2179
1121 2188
1129 2188
1129 2192
1129 2200
1129 2205
1121 2205
1117 2205
1108 2200
1100 2200
1096 2192
1096 2188
1087 2188
1087 2179
1083 2171
1075 2167
1075 2158
1071 2154
1071 2146
1071 2142
1071 2133
1071 2129
1075 2129
1075 2121
1083 2121
1083 2112
1087 2112
1096 2112
1100 2108
1108 2108
1117 2108
1121 2108
1129 2112
1134 2112
1142 2112
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
210 1159
193 1146
189 1146
189 1142
180 1142
176 1134
168 1129
163 1121
155 1117
155 1108
147 1108
147 1100
147 1096
147 1087
155 1087
163 1087
168 1087
176 1096
180 1096
189 1100
193 1108
201 1117
210 1121
210 1129
214 1134
214 1142
214 1134
214 1129
210 1121
214 1117
214 1108
214 1100
222 1100
222 1096
226 1096
235 1087
239 1087
247 1087
.PEN_UP
.PEN_DOWN
344 1146
344 1155
340 1155
331 1146
327 1146
327 1142
319 1142
315 1134
306 1134
306 1129
306 1121
298 1121
298 1117
298 1108
298 1100
298 1096
306 1087
315 1087
319 1083
327 1083
331 1083
340 1083
344 1083
344 1087
352 1087
361 1087
365 1087
373 1096
378 1096
386 1100
390 1100
390 1108
399 1108
407 1117
411 1117
420 1121
424 1121
424 1129
432 1129
436 1134
445 1134
445 1142
449 1142
457 1142
457 1146
466 1146
470 1146
470 1155
478 1155
478 1159
483 1159
478 1159
470 1159
466 1159
457 1159
449 1155
445 1155
445 1146
436 1146
432 1142
424 1142
420 1134
411 1129
411 1121
407 1117
407 1108
407 1100
407 1096
411 1096
411 1087
420 1087
424 1087
432 1087
436 1087
445 1087
449 1087
457 1096
466 1096
470 1096
478 1100
483 1100
491 1108
495 1108
504 1117
512 1117
512 1121
516 1121
525 1129
529 1129
529 1134
537 1134
529 1134
529 1129
525 1121
525 1117
516 1117
516 1108
516 1100
516 1096
516 1087
525 1087
529 1083
537 1083
541 1083
550 1083
558 1087
562 1087
571 1087
575 1087
575 1096
583 1096
588 1100
596 1108
596 1117
600 1121
600 1129
600 1134
596 1134
596 1142
588 1146
583 1146
575 1146
571 1146
562 1146
558 1146
558 1142
.PEN_UP
.PEN_DOWN
630 1129
634 1129
634 1134
642 1134
642 1142
646 1142
646 1146
655 1146
663 1146
663 1142
667 1142
667 1134
667 1129
667 1121
667 1117
667 1108
667 1100
667 1096
667 1087
676 1087
676 1096
680 1096
680 1100
680 1108
688 1108
688 1117
693 1121
701 1129
709 1134
709 1142
714 1142
714 1146
722 1146
722 1155
726 1155
735 1155
.PEN_UP
.PEN_DOWN
831 1167
819 1167
814 1167
806 1167
806 1159
798 1159
793 1155
785 1155
781 1146
772 1142
768 1142
768 1134
760 1134
760 1129
751 1129
751 1121
751 1117
751 1108
760 1108
768 1108
772 1108
781 1108
785 1117
793 1121
798 1121
806 1129
806 1134
814 1134
819 1142
827 1146
831 1155
831 1159
840 1167
840 1176
844 1188
844 1192
852 1192
852 1205
852 1213
861 1213
861 1222
861 1226
861 1234
861 1239
861 1247
852 1247
852 1239
852 1234
844 1226
844 1222
844 1213
840 1205
840 1201
840 1192
840 1188
831 1180
831 1176
831 1167
831 1155
831 1146
831 1142
831 1134
831 1129
831 1121
831 1117
831 1108
840 1100
840 1096
844 1096
852 1096
861 1096
865 1100
873 1100
877 1108
886 1117
890 1121
898 1129
903 1134
903 1142
911 1142
911 1134
903 1134
903 1129
903 1121
903 1117
898 1108
898 1100
898 1096
903 1096
903 1087
903 1083
911 1083
919 1083
919 1075
924 1075
932 1083
936 1083
936 1087
945 1087
945 1096
.PEN_UP
.PEN_DOWN
936 1239
949 1247
957 1247
.PEN_UP
.PEN_DOWN
991 1146
978 1121
978 1117
978 1108
978 1100
978 1096
978 1087
982 1087
982 1096
991 1096
991 1100
995 1100
995 1108
1003 1108
1003 1117
1012 1117
1012 1121
1016 1121
1024 1129
1029 1134
1037 1142
1041 1142
1050 1142
1050 1134
1054 1129
1050 1121
1050 1117
1050 1108
1050 1100
1050 1096
1050 1087
1050 1083
1054 1083
1054 1087
1062 1087
1071 1087
1075 1096
1083 1096
1083 1100
1087 1100
1087 1108
1096 1108
1100 1117
1108 1117
1117 1121
1121 1121
1129 1129
1134 1134
1142 1134
1142 1142
1146 1142
1155 1142
1155 1146
1159 1146
1159 1155
1155 1155
1146 1155
1142 1146
1134 1146
1129 1142
1121 1142
1117 1134
1117 1129
1108 1129
1108 1121
1100 1121
1100 1117
1100 1108
1100 1100
1096 1100
1096 1096
1100 1096
1108 1087
1117 1087
1117 1096
1121 1096
1129 1096
1129 1100
1134 1100
1142 1100
1142 1108
1146 1108
1146 1117
1155 1117
1155 1121
1159 1121
1159 1129
1167 1134
1167 1142
1176 1142
1176 1146
1180 1146
1180 1155
1176 1155
1176 1146
1176 1142
1167 1142
1167 1134
1167 1129
1159 1129
1159 1121
1159 1117
1159 1108
1159 1100
1159 1096
1159 1087
1159 1083
1155 1075
1155 1071
1155 1062
1155 1054
1155 1050
1155 1041
1155 1037
1146 1029
1155 1029
1146 1024
1146 1016
1146 1012
1146 1003
1146 995
1146 991
1142 991
1142 982
1142 991
1142 995
1142 1003
1146 1003
1146 1012
1146 1016
1155 1016
1155 1024
1155 1029
1159 1037
1159 1041
1167 1050
1176 1054
1176 1062
1180 1071
1188 1075
1192 1083
1201 1087
1201 1100
1205 1108
1213 1117
1222 1129
1226 1134
1226 1142
1234 1146
1239 1155
1247 1159
1247 1167
1251 1176
1260 1180
1260 1188
1268 1192
1268 1201
1272 1201
1272 1205
1272 1213
1272 1205
1268 1205
1268 1201
1268 1192
1260 1192
1260 1188
1260 1180
1251 1176
1251 1167
1247 1159
1247 1155
1247 1146
1239 1142
1239 1134
1239 1129
1239 1121
1239 1117
1239 1108
1239 1100
1239 1096
1239 1087
1247 1087
1251 1087
1260 1087
1268 1096
1272 1100
1281 1100
1281 1108
1285 1108
1285 1117
1293 1117
1293 1121
1297 1121
1297 1129
1306 1129
1306 1134
1310 1134
1306 1134
1306 1129
1306 1121
1306 1117
1297 1117
1297 1108
1297 1100
1297 1096
1297 1087
1306 1087
1306 1083
1310 1083
1310 1087
1318 1087
1327 1087
1331 1096
1339 1096
1339 1100
1344 1100
1344 1108
1352 1108
1352 1117
1356 1117
1356 1121
1365 1121
1365 1129
1365 1121
1365 1117
1356 1117
1356 1108
1356 1100
1356 1096
1352 1087
1352 1083
1352 1075
1352 1071
1352 1062
1352 1054
1352 1050
1344 1041
1344 1037
1344 1029
1344 1016
1344 1012
1339 1003
1339 995
1339 991
1339 982
1331 978
1331 970
1331 966
1327 957
1327 949
1318 949
1318 945
1310 945
1306 945
1297 945
1297 949
1293 957
1293 966
1285 970
1285 978
1285 982
1285 991
1285 995
1293 1003
1293 1012
1297 1016
1297 1024
1297 1029
1306 1029
1306 1037
1310 1041
1310 1050
1318 1054
.PEN_UP

.PEN_DOWN
1873 1159
1864 1159
1856 1159
1852 1159
1852 1155
1843 1155
1839 1155
1831 1146
1827 1146
1818 1142
1810 1134
1806 1129
1797 1121
1797 1117
1793 1117
1793 1108
1793 1100
1793 1096
1797 1087
1806 1087
1810 1087
1818 1087
1818 1096
1827 1096
1831 1096
1831 1100
1839 1100
1839 1108
1843 1108
1843 1117
1852 1117
1852 1121
1856 1129
1864 1129
1864 1134
1864 1142
1856 1142
1856 1134
1852 1134
1852 1129
1852 1121
1852 1117
1852 1108
1852 1100
1852 1096
1856 1087
1864 1087
1864 1083
1873 1083
.PEN_UP
.PEN_DOWN
1990 1146
1978 1155
1969 1155
1961 1155
1957 1155
1957 1146
1948 1146
1944 1146
1936 1142
1932 1134
1923 1129
1915 1121
1915 1117
1915 1108
1915 1100
1923 1096
1932 1096
1936 1096
1936 1087
1944 1087
1948 1087
1948 1096
1957 1096
1961 1096
1969 1096
1978 1100
1990 1108
1995 1108
2003 1117
2007 1121
2016 1129
2024 1134
2028 1142
2037 1146
2041 1155
2049 1159
2053 1167
2053 1180
2062 1188
2066 1192
2066 1201
2074 1205
2074 1213
2083 1222
2083 1226
2083 1234
2087 1239
2087 1247
2083 1247
2083 1239
2074 1239
2074 1234
2074 1226
2066 1222
2066 1213
2066 1205
2066 1201
2062 1192
2062 1188
2053 1180
2053 1167
2053 1159
2049 1155
2049 1146
2049 1142
2049 1134
2049 1129
2041 1121
2041 1117
2041 1108
2041 1100
2041 1096
2041 1087
2049 1087
2053 1087
2062 1096
2066 1100
2074 1108
2083 1117
2083 1121
2087 1121
2087 1129
2095 1129
2095 1134
2100 1134
2100 1142
2108 1142
2108 1134
2108 1129
2108 1121
2108 1117
2108 1108
2108 1100
2108 1096
2108 1087
2112 1083
2121 1083
2129 1083
2133 1087
2142 1087
2146 1096
2154 1100
2158 1108
2167 1117
2171 1121
2171 1129
2171 1121
2171 1117
2171 1108
2167 1100
2167 1096
2171 1087
2171 1083
2179 1075
2179 1083
2188 1083
.PEN_UP
