
.WRITER_ID Dave_Washburn
1123 15033
1114 15008
1098 14981
1081 14953
1070 14929
1064 14910
.PEN_UP
.PEN_DOWN
1156 14922
1156 14918
1157 14916
1156 14916
1154 14927
1152 14946
1148 14968
1146 14982
1145 14988
1146 14992
1152 14994
1166 14998
1184 14999
1205 15006
1225 15009
1234 15009
1238 15008
1238 15001
1236 14988
1234 14970
1231 14954
1230 14936
1230 14922
1229 14913
.PEN_UP
.PEN_DOWN
1364 15029
1365 15026
1360 15023
1338 15015
1316 15008
1302 14999
1292 14991
1292 14984
1302 14977
1325 14971
1344 14979
1360 14988
1371 15005
1375 15016
1375 15022
1373 15022
1369 15009
1363 14988
1360 14964
1360 14930
1365 14895
1369 14855
1369 14814
1362 14772
1344 14738
1322 14714
1296 14707
1266 14717
1241 14744
1221 14778
1203 14809
.PEN_UP
.PEN_DOWN
1156 15177
1161 15174
1166 15169
1174 15166
1181 15170
.PEN_UP
.PEN_DOWN
692 14579
700 14586
707 14594
709 14596
709 14597
713 14597
715 14597
712 14584
698 14559
669 14519
638 14473
613 14433
601 14412
600 14405
607 14415
.PEN_UP
.PEN_DOWN
718 14554
723 14555
729 14555
735 14552
735 14539
729 14522
718 14501
704 14484
692 14470
683 14463
678 14466
.PEN_UP
.PEN_DOWN
820 14583
820 14579
813 14569
793 14556
775 14549
764 14543
758 14539
758 14538
765 14532
782 14529
802 14525
820 14519
835 14511
839 14501
833 14491
820 14481
807 14477
797 14477
789 14480
787 14488
.PEN_UP
.PEN_DOWN
975 14656
986 14662
987 14659
984 14651
970 14631
946 14602
913 14563
878 14516
853 14477
844 14450
848 14440
930 14521
937 14542
937 14553
924 14562
899 14560
875 14553
857 14552
847 14555
.PEN_UP
.PEN_DOWN
966 14549
977 14545
997 14543
1022 14545
1041 14552
1050 14560
1053 14567
1046 14573
1022 14570
994 14560
975 14545
961 14532
955 14521
957 14512
966 14505
.PEN_UP
.PEN_DOWN
1030 14497
1030 14490
1030 14487
1035 14488
1050 14500
1064 14518
1081 14532
1103 14549
1123 14560
1147 14563
1174 14560
1194 14549
1200 14522
1192 14497
1181 14477
1174 14470
1165 14471
.PEN_UP
.PEN_DOWN
740 14618
745 14607
751 14603
757 14601
763 14603
.PEN_UP
.PEN_DOWN
980 14367
991 14367
995 14357
997 14339
984 14312
962 14274
935 14234
906 14196
882 14167
870 14152
870 14158
.PEN_UP
.PEN_DOWN
1026 14270
1033 14278
1041 14279
1043 14278
1044 14271
1037 14254
1019 14231
999 14209
985 14189
977 14179
.PEN_UP
.PEN_DOWN
1096 14250
1097 14247
1099 14237
1106 14233
1123 14231
1146 14237
1168 14244
1181 14255
1185 14261
1179 14267
1158 14271
1127 14261
1099 14244
1076 14224
1063 14202
1063 14184
1074 14171
1103 14168
1132 14168
1152 14171
1160 14182
.PEN_UP
.PEN_DOWN
1056 14361
1068 14357
1082 14354
1097 14351
.PEN_UP
